language;xstorycloze
hin_Deva;"एक कहानी सुनिए:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
विकल्प ए:  {sentence_quiz1} 
विकल्प बी: {sentence_quiz2} 
कहानी का कौन सा अंत सबसे अधिक संभावना है? 
विकल्प ए और बी में से चुनें। 
उत्तर:  {cot}"
hun_Latn;"Figyeljük meg a következő történetet:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
A. opció:  {sentence_quiz1} 
B. opció: {sentence_quiz2} 
Melyik a legvalószínűbb a történetnek? 
Válasszon az A és B lehetőségek közül. 
Válasz:  {cot}"
hrv_Latn;"Razmotri sljedeću priču:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opcija A:  {sentence_quiz1} 
Opcija B: {sentence_quiz2} 
Koji je kraj priče najvjerojatniji? 
Izaberite između opcija A i B. 
Odgovor:  {cot}"
hye_Armn;"Հաշվի առնենք հետեւյալ պատմությունը.  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Ընտրություն A:  {sentence_quiz1} 
B տարբերակ {sentence_quiz2} 
Ո՞ր վերջն է ամենահավանականը: 
Ընտրեք A եւ B տարբերակների միջեւ: 
Պատասխան.  {cot}"
ind_Latn;"Perhatikan kisah berikut ini:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Pilihan A:  {sentence_quiz1} 
Pilihan B: {sentence_quiz2} 
Apa akhir dari cerita yang paling mungkin? 
Pilih antara pilihan A dan B. 
Jawabannya:  {cot}"
ita_Latn;"Considerate la seguente storia:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opzione A:  {sentence_quiz1} 
Opzione B: {sentence_quiz2} 
Quale finale della storia e' piu' probabile? 
Scegli tra le opzioni A e B. 
Risposta:  {cot}"
jav_Latn;"Gatèkna crita iki:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Pilihan A:  {sentence_quiz1} 
Pilihan B: {sentence_quiz2} 
Apa sing paling mungkin bakal kelakon ing crita iki? 
Pilih ing antarane opsi A lan B. 
Wangsulan:  {cot}"
jpn_Jpan;"物語 を 考える  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
オプションA:  {sentence_quiz1} 
オプションB: {sentence_quiz2} 
物語のどちらの結末が 最もありそうか? 
選択肢AとBのどちらかを選択する. 
答え: 答えは  {cot}"
khm_Khmr;"[ រូបភាព នៅ ទំព័រ ១៦ ]  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ជម្រើស A:  {sentence_quiz1} 
ជម្រើស B: {sentence_quiz2} 
តើ រឿង នេះ អាច បញ្ចប់ ទៅ ដោយ របៀប ណា? 
ជ្រើសរើសពីចន្លោះជម្រើស A និង B ។ 
ចម្លើយ:  {cot}"
kor_Hang;"다음 의 이야기 를 고려 해 보십시오.  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
옵션 A:  {sentence_quiz1} 
옵션 B: {sentence_quiz2} 
어떤 이야기가 가장 잘 끝날까요? 
선택 A와 B 중에서 선택하세요. 
답:  {cot}"
lao_Laoo;"ເບິ່ງ ເລື່ອງ ຕໍ່ ໄປ ນີ້:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ທາງເລືອກ A:  {sentence_quiz1} 
ທາງເລືອກ B: {sentence_quiz2} 
ເລື່ອງນີ້ຈະສິ້ນສຸດລົງແບບໃດ? 
ເລືອກລະຫວ່າງທາງເລືອກ A ແລະ B. 
ຄໍາຕອບ:  {cot}"
mai_Deva;"निम्नलिखित कथा पर विचार करू:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
विकल्प ए:  {sentence_quiz1} 
विकल्प बीः {sentence_quiz2} 
कथाक कोन अंत बेसी संभावना अछि? 
विकल्प ए आ विकल्प बी मे सँ चुनू. 
उत्तर:  {cot}"
mal_Mlym;"ഒരു കഥ:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ഓപ്ഷൻ എ:  {sentence_quiz1} 
ഓപ്ഷൻ ബി: {sentence_quiz2} 
കഥയുടെ ഏത് അവസാനം ആണ് ഏറ്റവും സാധ്യത? 
ഓപ്ഷനുകള് എ, ബി എന്നിവയില് നിന്ന് തെരഞ്ഞെടുക്കുക. 
ഉത്തരം:  {cot}"
mar_Deva;"पुढील कथा पाहा:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
पर्याय अ:  {sentence_quiz1} 
पर्याय ब: {sentence_quiz2} 
कथेचा कोणता शेवट सर्वात जास्त संभव आहे? 
पर्याय अ आणि ब मधून निवडा. 
उत्तर:  {cot}"
mya_Mymr;"[စာမျက်နှာ ၂၃ ပါ ရုပ်ပုံ]  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ရွေးချယ်စရာ A:  {sentence_quiz1} 
ရွေးချယ်စရာ B: {sentence_quiz2} 
ဘယ်အဆုံးသတ်က ဖြစ်နိုင်ခြေအရှိဆုံးလဲ။ 
ရွေးချယ်စရာ A နဲ့ B အကြားမှာ ရွေးပါ။ 
အဖြေက  {cot}"
nno_Latn;"Ta til dømes denne historia:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Alternativ A:  {sentence_quiz1} 
Alternativ B: {sentence_quiz2} 
Kva for ein slutt på historia er mest sannsynleg? 
Velg mellom alternativ A og B. 
Svar:  {cot}"
nld_Latn;"Beschouw het volgende verhaal eens:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Optie A:  {sentence_quiz1} 
Optie B: {sentence_quiz2} 
Welk einde van het verhaal is het meest waarschijnlijk? 
Kies tussen optie A en B. 
Antwoord:  {cot}"
npi_Deva;"[पृष्ठ २३-मा भएको चित्र]  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
विकल्प ए:  {sentence_quiz1} 
विकल्प बी: {sentence_quiz2} 
कथाको कुन अन्त हुने सम्भावना बढी छ? 
विकल्प ए र बी बीचमा छनौट गर्नुहोस्। 
उत्तर:  {cot}"
pol_Latn;"Rozważmy następującą historię:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opcja A:  {sentence_quiz1} 
Opcja B: {sentence_quiz2} 
Który koniec tej historii jest najbardziej prawdopodobny? 
Wybierz opcję A lub B. 
Odpowiedź:  {cot}"
por_Latn;"Veja a seguinte história:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opção A:  {sentence_quiz1} 
Opção B: {sentence_quiz2} 
Qual é o final mais provável da história? 
Escolhe entre as opções A e B. 
Resposta:  {cot}"
slk_Latn;"Zamyslime sa nad nasledujúcim príbehom:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Možnosť A:  {sentence_quiz1} 
Možnosť B: {sentence_quiz2} 
Ktorý koniec príbehu je najpravdepodobnejší? 
Vyberte si medzi možnosťami A a B. 
Odpoveď:  {cot}"
quy_Latn;"Kay willakuypi tʼukurina:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
A:  {sentence_quiz1} 
Imachus kanman chayta ajllay: {sentence_quiz2} 
¿Mayqen tukukuynin aswan allin kanman? 
A, B nisqamanta akllay. 
Rikun:  {cot}"
ron_Latn;"Să ne gândim la următoarea poveste:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opțiunea A:  {sentence_quiz1} 
Opțiunea B: {sentence_quiz2} 
Care este cel mai probabil final al poveştii? 
Alege între opţiunile A şi B. 
Răspuns:  {cot}"
rus_Cyrl;"Рассмотрим следующую историю:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Вариант А:  {sentence_quiz1} 
Вариант Б: {sentence_quiz2} 
Какой конец истории наиболее вероятен? 
Выбирай между вариантами А и В. 
Ответ:  {cot}"
slv_Latn;"Razmislite o naslednji zgodbi:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Možnost A:  {sentence_quiz1} 
Možnost B: {sentence_quiz2} 
Kateri konec zgodbe je najverjetnejši? 
Izbiraj med možnostma A in B. 
Odgovor:  {cot}"
spa_Latn;"Veamos el siguiente relato:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opción A:  {sentence_quiz1} 
Opción B: {sentence_quiz2} 
¿Qué final de la historia es más probable? 
Elige entre las opciones A y B. 
La respuesta es:  {cot}"
srp_Cyrl;"Размислимо о следећој причи:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Опција А:  {sentence_quiz1} 
Опција Б: {sentence_quiz2} 
Који крај приче је највероватнији? 
Изаберите између опција А и Б. 
Одговор:  {cot}"
swe_Latn;"Tänk på följande berättelse:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Alternativ A:  {sentence_quiz1} 
Alternativ B: {sentence_quiz2} 
Vilket slut på historien är mest troligt? 
Välj mellan alternativ A och B. 
Svar:  {cot}"
swh_Latn;"Fikiria kisa hiki:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Chaguo A:  {sentence_quiz1} 
Chaguo B: {sentence_quiz2} 
Ni mwisho gani wa hadithi hiyo ambao huenda ukawa wa kweli zaidi? 
Chagua kati ya chaguo A na B. 
Jibu:  {cot}"
tam_Taml;"ஒரு கதை  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
விருப்பம் A:  {sentence_quiz1} 
விருப்பம் B: {sentence_quiz2} 
கதைக்கு எந்த முடிவு மிகவும் சாத்தியம்? 
A மற்றும் B விருப்பங்களில் ஒன்றைத் தேர்ந்தெடுங்கள். 
விடை:  {cot}"
tel_Telu;"ఈ కింది కథను పరిశీలిద్దాం:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ఎంపిక A:  {sentence_quiz1} 
ఎంపిక B: {sentence_quiz2} 
కథకు ఏ ముగింపు ఎక్కువగా ఉంటుంది? 
ఎంపికలు A మరియు B మధ్య ఎంచుకోండి. 
జవాబు:  {cot}"
tgl_Latn;"Isaalang-alang ang sumusunod na kuwento:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Pagpipilian A:  {sentence_quiz1} 
Pagpipilian B: {sentence_quiz2} 
Alin ang malamang na wakas ng kuwento? 
Pumili sa pagitan ng mga pagpipilian A at B. 
Sagot:  {cot}"
tha_Thai;"พิจารณา เรื่องราว ต่อไป นี้  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ตัวเลือก A:  {sentence_quiz1} 
ตัวเลือก B: {sentence_quiz2} 
เรื่องนี้จบลงแบบไหนดี 
เลือกระหว่างตัวเลือก A และ B 
ตอบ:  {cot}"
tur_Latn;"Şu hikayeyi düşünün:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Seçenek A:  {sentence_quiz1} 
Seçenek B: {sentence_quiz2} 
Hikayenin hangi sonu daha muhtemel? 
A ve B seçenekleri arasında seçim yap. 
Cevap:  {cot}"
ukr_Cyrl;"Розгляньмо наступну історію:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Опція А:  {sentence_quiz1} 
Вариант В: {sentence_quiz2} 
Який кінець історії найбільш ймовірний? 
Вибирай між варіантами А і В. 
Відповідь:  {cot}"
urd_Arab;"ایک کہانی پر غور کریں:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
آپشن A:  {sentence_quiz1} 
آپشن بی: {sentence_quiz2} 
کہانی کا کون سا اختتام زیادہ امکان ہے؟ 
اختیارات A اور B میں سے انتخاب کریں. 
جواب:  {cot}"
vie_Latn;"Hãy xem câu chuyện sau đây:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Tùy chọn A:  {sentence_quiz1} 
Tùy chọn B: {sentence_quiz2} 
Câu chuyện này có kết thúc như thế nào? 
Chọn giữa lựa chọn A và B. 
Trả lời:  {cot}"
yue_Hant;"嚟睇下呢一個故事:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
選擇A:  {sentence_quiz1} 
選擇 B: {sentence_quiz2} 
呢個故事到底會點樣結束呢? 
喺選項A同B之間做決定 
答案:  {cot}"
zho_Hant;"請考慮以下故事:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
選擇A:  {sentence_quiz1} 
選擇B: {sentence_quiz2} 
這故事的結局是什麼? 
選擇A和B的選項. 
答案:沒有  {cot}"
zsm_Latn;"Pertimbangkan kisah berikut:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Pilihan A:  {sentence_quiz1} 
Pilihan B: {sentence_quiz2} 
Yang mana akhir cerita yang paling mungkin? 
Pilih antara pilihan A dan B. 
Jawapan:  {cot}"
zul_Latn;"Cabanga ngalokhu okulandelayo:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Okukhethwa kukho A:  {sentence_quiz1} 
Okukhethwa kukho B: {sentence_quiz2} 
Yikuphi ukuphela kwendaba okungenzeka kakhulu? 
Khetha phakathi kwezinketho A no-B. 
Impendulo:  {cot}"
