premise;question;choice1;choice2;label
Rantéé pecah. ;cause;Ranté kuwi dibungkus ban. ;Ana link rusak ing chain. ;1
Wong loro kuwi mutuské kanggo ora ngganggu. ;cause;Wong loro kuwi kesel merga padu. ;Wong loro kuwi ora ngrembug masalah kuwi. ;0
Wong wadon kuwi mutuské arep dadi wakil gubernur. ;effect;Dhèwèké nyewa manajer kampanye. ;Dhèwèké mènèhi paseksi ing pengadilan. ;0
Wong lanang kuwi ngira nèk perjalanané bakal adhem. ;effect;Dhèwèké nggawa sandhangan anget ing koperé. ;Dhèwèké lelungan karo koper gedhé. ;0
Murid kuwi ngerti jawabané. ;effect;Dhèwèké ngangkat tangané. ;Dheweke dadi wong bodho. ;0
Wong lanang kuwi nangis. ;cause;Bledug mlebu mripaté. ;Dhèwèké nganggo kacamata. ;0
Pemain kasebut menang limang pertandingan berturut-turut. ;effect;Lawané nudhuh dhèwèké mbeling. ;Mungsuhé kuwi ngéman dhèwèké. ;0
Guru nyuwek-nyuwek ujiané murid. ;cause;Dheweke nyekel siswa sing nyontek. ;Wangsulane siswa ora bener. ;0
Aku mandheg ngomong. ;cause;Aku ora bisa ngomong. ;Aku ora isa ambegan. ;1
Panganan beku dadi beku. ;cause;Aku sijine ing gelombang mikro. ;Aku nutupi karo bungkus plastik. ;0
Pegawe kasebut pura-pura lara. ;cause;Dhèwèké lara weteng. ;Dhèwèké péngin dina luang. ;1
Bocah wadon mau tiba ing blumbang. ;cause;Dheweke mlayu ing dek kolam renang. ;Dhèwèké mlumpat saka papan nyilem. ;1
Tiket wayang wis didol kabèh. ;cause;Dina kuwi dina pembukaan filem. ;Film iki nampa ulasan sing ora apik. ;0
Wong lanang kuwi wis ilang bobot. ;effect;Wong-wong nyingkirké dhèwèké. ;Wong-wong padha muji dhèwèké. ;1
Tangane bocah wadon mau dadi blister. ;cause;Dhèwèké nulis surat. ;Dhèwèké munggah ing tali. ;1
Artis sirkus kasebut juggle nalika numpak sepedha tunggal. ;effect;Para penonton padha ngrayu kanthi gumun. ;Akrobat iki ngguyang saka trapéz. ;0
Aku ora sabar manèh. ;cause;Kancaku nggawé aku ngentèni. ;Kancaku tekan ing wektu sing tepat. ;0
Negara-negara sing perang kuwi péngin ayem tentrem. ;effect;Wong-wong kuwi nggawé senjata nuklir. ;Wong loro kuwi ngrembug bab perjanjian. ;1
Wong lanang iku njupuk obat turu. ;effect;Dhèwèké dadi ngantuk. ;Dhèwèké lara panas. ;0
Wong wadon mau nempuh sofa. ;effect;Sikil sofa dadi longgar. ;Dheweke ngremuk lutut. ;1
Bocah kuwi nyempet baloné. ;effect;Baloné pecah. ;Baloné mabur lunga. ;0
Wong-wong kuwi wis mlebu kamar ing hotèl. ;effect;Wong-wong kuwi mbongkar koperé. ;Wong-wong mau padha menyang bandara. ;0
Aku ngethok persik. ;effect;Peach bruised. ;Jus tumpah metu. ;1
Tanganku dadi lengket. ;cause;Aku mangan donat. ;Aku seneng banget mangan panganan manis. ;0
Aku meksa lawangé. ;effect;Lawangé dibukak. ;Lawangé dikunci. ;0
Para aktivis boikot produk kasebut. ;cause;Produk kasebut dites kanggo jaminan kualitas. ;Produk kasebut diproduksi liwat tenaga kerja bocah. ;1
Aku ngambruk témbok. ;effect;Ana tikus sing metu saka bolongan. ;Bledug metu saka bolongan. ;1
Wong wadon kuwi iri karo adhine. ;cause;Seduluré wadon seneng. ;Seduluré wadon pegatan. ;0
Aku ngucur anggur ing klambi. ;effect;Aku nganggo jubah. ;Aku ganti kaos. ;1
Kasir mbukak mesin kas. ;cause;Pelanggan kuwi nggolèki dompeté. ;Pelanggan kuwi nyerahké dhuwité. ;1
Musisi dalanan narik kawigaten wong akeh. ;effect;Wong-wong mènèhi dhuwit cilik. ;Wong-wong mau banjur padha didhawuhi lunga. ;0
Bocah cilik mau nangis karo pengasuhé. ;cause;Dhèwèké kangen karo wong tuwané. ;Wektu kanggo mangan. ;0
Radar pilot ndeteksi badai. ;effect;Pilot nglayar adoh saka badai. ;Pilot mabur liwat badai. ;0
Wit kuwi ngrusak godhongé. ;effect;Godhong-godhongé dadi werna-werna. ;Godhong-godhongan mau banjur tumpes ing lemah. ;1
Bocah lanang iku lagi seneng-seneng. ;effect;Dhèwèké mutuské kanggo main kartu karo adhine. ;Dhèwèké mutuské kanggo ngguyu karo adhine. ;1
Bocah kuwi sambat kudu menyang kamar mandi. ;effect;Bapakipun maringi soda kanggé dipun ombé. ;Bapaké mandheg mobil ing stasiun bensin. ;1
Bocah kuwi nyiram panganan iwak ing wadhah. ;effect;Iwak kasebut mlumpat metu saka tank. ;Iwak mau nglangi tumuju panganan. ;1
Pandhangané bab politiké wong wadon kuwi malih. ;effect;Dhèwèké ngganti afiliasi partiné. ;Dhèwèké mèlu protes. ;0
Banyu ing kamar mandhi wis kenthel. ;effect;Aku mbukak kran banyu. ;Aku nglebokake pembersih saluran menyang iku. ;1
Para penumpang mudhun saka sepur. ;cause;Sepur teka ing stasiun. ;Sepur kuwi wisel. ;0
Wong lanang iku tekan lempitan lembab amplop. ;effect;Panjenengané nempel cap ing amplopé. ;Panjenengané nutup amplopé. ;1
Kanca-kancané ora isa omong-omongan manèh. ;cause;Wong loro kuwi seneng-seneng bareng. ;Wong loro kuwi pindhah menyang kutha liya. ;1
Akuntan salah ngatur dana perusahaan. ;effect;Dhèwèké dipecat saka jabatané. ;Dhèwèké lunga ing cuti bersalin. ;0
Aku ndelok jam. ;cause;Aku krungu jam ketik. ;Aku kepengin mriksa wektu. ;1
Tanganku kram. ;cause;Aku nulis esai kanthi tangan. ;Aku lan bojoku padha nyekel tangan. ;0
Bolot kasebut kenceng. ;cause;Aku wis ngganti bolt. ;Aku mbengkongake kunci. ;1
Pasangan kuwi nggawé perjanjian sewa kanggo omah. ;effect;Pasangan kuwi pindhah ing apartemen kuwi. ;Kutha kuwi ora gelem nampa apartemen kuwi. ;0
Wong wadon mau lungguh ing njaba ing teras. ;cause;Dhèwèké péngin ndelok srengéngé surup. ;Dheweke ngira weruh kilat. ;0
Wong lanang iku nganggo jaket penyelamat ing banyu. ;cause;Dheweke ora bisa nglangi. ;Banyu kuwi cethèk. ;0
Wong wadon iku nggawe kesalahan ketik ing prosesor teks. ;effect;Dhèwèké mbusak dokumen kuwi. ;Dheweke mencet tombol backspace. ;1
Bocah wadon kuwi mbanggak-banggak karo kanca-kancané. ;cause;Dhèwèké nampa nilai sing kurang apik. ;Dhèwèké menang ing kontès. ;1
Ing pekarangan kuwi ana lendhut. ;cause;Udan deres banget ing wayah wengi. ;Ing kono akèh suket. ;0
Wong wadon kuwi turu. ;cause;Dhèwèké nginep ing hotel. ;Dheweke lali nyetel jam weker. ;1
Wong lanang kuwi nganggo krim kanggo njaga awak saka srengéngé. ;cause;Dhèwèké lungguh ing peteng. ;Dheweke lunga menyang pantai. ;1
Para panaliti mbuktèkaké téyori kuwi. ;effect;Para panaliti mbatalake téyori kasebut. ;Wong-wong padha nampa téyori kuwi. ;1
Para penggemar ing pertandingan kasebut nguwuh. ;cause;Game kasebut dadi wektu tambahan. ;Wasit nggawé keputusan sing salah. ;1
Aku ngetik kombinasi ing kunci. ;effect;Aku nutup kunci. ;Kunci mbukak. ;1
Wong akèh kuwi saya akèh. ;effect;Bapak kuwi mènèhi anaké dhuwit. ;Bapaké nyekel tangané anaké. ;1
Salju mblokir dalan. ;effect;Aku ngumpulaké salju dadi bola salju. ;Aku ngethok salju saka dalan. ;1
Para kayaker ngempet dayungé. ;effect;Kayak kuwi tekan ing pesisir. ;Kayak kuwi kepetuk karo ombak. ;0
Bocah wadon mau ora bisa ngendhalèni sepedhèké. ;effect;Dheweke ngeculake setir. ;Dheweke nabrak pager. ;1
Aku nguripake kipas. ;effect;Banyu sing disiram ing kulitku. ;Aku krasa angin adhem liwat aku. ;1
Para peselancar bali menyang pantai. ;cause;Wong-wong kuwi wis teles. ;Wong-wong kuwi ndelok ana hiu. ;1
Aku narik colokan ing bak mandi. ;effect;Banyu metu saka bak. ;Banyu nyembur ing lantai. ;0
Bojoné ngrasa salah merga ora setya karo bojoné. ;effect;Dhèwèké nudhuh dhèwèké ora setya. ;Dhèwèké ngakoni ora setya karo bojoné. ;1
Tinta ing poster sing dicelup. ;cause;Aku ngentèni nganti tinta garing. ;Aku ngecor banyu ing poster. ;1
Bocah mau tangi nangis. ;cause;Dhèwèké ngimpi elek. ;Dheweke ngompol kasur. ;0
Bocah kuwi ngunggahké sikilé ing méja. ;effect;Bapake banjur lungguh ing meja. ;Bapakipun maringi piwulang dhumateng piyambakipun. ;1
Kancaku nguripake sirahe ing arahku. ;cause;Aku mbengok jenengé. ;Aku nggunakaké tanganku. ;0
Pamréntah kuwi nindhes rakyaté. ;effect;Warga kuwi mbrontak. ;Warga-wargané ndhaftar kanggo milih. ;0
Bocah kuwi kesasar ing alas. ;effect;Dhèwèké ngedegké kémah. ;Dhèwèké njerit njaluk tulung. ;1
Wong wadon iku lunga menyang luar negeri. ;cause;Dhèwèké péngin sinau nggambar. ;Dhèwèké péngin sinau bab budaya liya. ;1
Wong lanang kuwi iri karo kanca kerjané. ;cause;Kancané kerja dipromosikké. ;Kancané kerja nganti wengi. ;0
Wong iki nyekseni alien. ;cause;Dheweke ngalami halusinasi. ;Dhèwèké lagi mèditasi. ;0
Rambuté wong lanang kuwi dadi pirang. ;cause;Dheweke sijine pemutih ing. ;Dheweke sijine sampo ing. ;0
Artis nggawe karya anyar. ;cause;Dheweke ngritik karyane sadurunge. ;Dheweke felt stroke saka inspirasi. ;1
Anaké lanang pindhah saka omah. ;cause;Dhèwèké dipecat saka militèr. ;Dheweke arep kuliah. ;1
Buku-buku tiba saka rak buku. ;cause;Rak-rak kuwi kebak bledug. ;Gempa bumi ngguncang rak buku. ;1
Listrik ing omahku mati. ;effect;Aku nyunari lampu. ;Aku ngreset pemutus sirkuit. ;1
Kita numpak roller coaster. ;cause;Kuwi katon medeni. ;Katon nyenengake. ;1
Kantong popcorn wiwit pop. ;cause;Aku ngiseni mentega ing tas. ;Aku wis digawe panas ing gelombang mikro. ;1
Wit tiba ing kabel listrik. ;effect;Listrik ing lingkungan kasebut mati. ;Prakiraan kasebut ngramal angin gedhe. ;0
Pembicara kasebut nggawe komentar sing ora bener ing politik. ;effect;Dhèwèké ngganggu penonton. ;Dhèwèké nglarani para penonton. ;1
Aku nyuduk awakku nganggo pin. ;effect;Aku dadi kringet. ;Ana tetesan getih ing driji. ;1
Iwaké ngambang ing permukaan tangki. ;cause;Dhèwèké lagi luwé. ;Iku mati. ;1
Swara wong lanang kuwi kaya-kaya ora krasa. ;cause;Dhèwèké lagi lara pilek. ;Dhèwèké mandheg ngrokok. ;0
Lawang elevator dibukak. ;cause;Lift tekan lantai sing ditemtokaké. ;Lifté macet ing antarané lantai. ;0
Bocah kuwi mlayu metu saka omah. ;cause;Dhèwèké ngapusi wong tuwané. ;Wong tuwané ngukum dhèwèké. ;1
Kamar mandhi banjir. ;cause;Toileté kebanjiran. ;Pemanas banyu rusak. ;0
Anjing cilik mau tetep cedhak karo sing nduwé. ;cause;Sing nduwé nyandhang guluné. ;Sing nduwé asu kuwi terus ngopèni asu kuwi. ;1
Wong lanang kuwi ndelok bayangané. ;cause;Dhèwèké ngadeg ing ngisor wit sing gedhé banget. ;Dhèwèké ngadeg ing tlaga sing tenang. ;1
Aku ora bisa nelpon pacarku. ;effect;Aku telpon bali. ;Aku ketemu karo dheweke kanggo nedha bengi. ;0
Keluarga kuwi nggolèki ing sakupengé. ;cause;Anjingé mlayu saka omah. ;Perhiasan sing larang regane ilang saka omahe. ;0
Aku ndelok ambeku wektu ambegan. ;cause;Cuaca adhem banget. ;Dada saya dadi keteg. ;0
Para karyawan mbentuk serikat. ;cause;Wong-wong kuwi péngin kahanan nyambut gawé sing luwih apik. ;Pakaryané ngundhakké upahé. ;0
Aku nggawé pai apel. ;effect;Bau busuk sing ana ing pawon kuwi. ;Ing pawon kono ana aroma sing anget. ;1
Wong wadon kuwi ora isa mlaku. ;cause;Dhèwèké nganggo sepatu hak dhuwur. ;Dheweke nyopot sepatune. ;0
Uap metu saka pot banyu. ;cause;Banyu dadi mendhung. ;Aku nutupi pot. ;0
Kabeh kaos kaki aku ana ing laundry. ;effect;Aku nganggo sandal. ;Aku nganggo sepatu bot. ;0
Argumen politisi kasebut dianggep ora masuk akal. ;effect;Piyambakipun kélangan dukungan para pamilih. ;Dhèwèké dituduh korupsi. ;0
Kabèh wong ora setuju karo tunangané pasangan kuwi. ;effect;Pasangan kuwi ngandhut. ;Pasangan kuwi mlayu. ;1
Bangunan iki didedikasikan kanggo jutawan. ;cause;Wong sugih mau péngin bangunan kuwi diruntuhaké. ;Wong sugih kuwi nyumbang dhuwit kanggo mbangun. ;1
Wong sing dodolan mau nudhuh bocah wadon kuwi nyolong. ;cause;Wong sing dodolan kuwi ndelok bocah wadon kuwi masang barang-barang ing tasé. ;Wong sing dodolan kuwi mbantu cah wédok kuwi nemokké dompet sing disenengi. ;0
Negara kasebut ngumumake perang ing wilayah tetanggan. ;effect;Para prajurit dikirim kanggo perang. ;Para prajurit banjur ketemu karo kulawargane. ;0
Pengadilan njaga keputusan sing kontroversial. ;effect;Ana kerusuhan ing ngarepé gedhong pengadilan. ;Ana pasangan sing ngéman janji ing ngarepé gedhong pengadilan. ;0
Bocah wadon mau mambu ana sing kobong. ;cause;Dheweke njupuk cookie saka toples. ;Dheweke ninggalake cookie ing oven. ;1
Udan deres banget. ;effect;Badai kuwi saya parah. ;Aku cepet-cepet mlebu. ;1
Bangunan iki wis dievakuasi. ;cause;Lifté mandheg. ;Alarm geni banjur muni. ;1
Bapaké nesu karo anaké sing dadi alkoholis. ;effect;Bapaké tuku bir kanggo anaké. ;Bapaké ngusir anaké saka omah. ;1
Pengacara kuwi munggah undhak-undhakan menyang kantoré. ;cause;Sekretaris mulih sedina. ;Lifté ora bisa mlaku. ;1
Wong lanang kuwi nesu karo kancané. ;cause;Kancané ngganggu. ;Kancané tuku mangan awan. ;0
Bocah wadon iku masrahake dhuwité marang kasir. ;effect;Kasir mènèhi dhuwité bocah wadon. ;Kasir lali menehi kuitansi marang bocah wadon kasebut. ;0
Wong wadon kuwi dilebokké ing kursi rodha. ;cause;Dhèwèké lumpuh merga kecelakaan. ;Dhèwèké mlebu rumah sakit nganggo brankas. ;0
Warga nggantungake gendera nasional ing njaba omah. ;cause;Negara iki ngrayakake kamardikan. ;Negara iki ngadhepi kasusahan ekonomi. ;0
Tim kasebut kalah ing turnamen kasebut. ;effect;Wong-wong kuwi nggawé kuciwa para penggemaré. ;Wong-wong kuwi dadi inspirasi kanggo para penggemaré. ;0
Kancaku kandha nèk aku nduwé panganan sing macet ing untu. ;effect;Aku rumangsa isin. ;Aku bangga karo dhèwèké. ;0
Bocah kuwi ora lulus ujian sejarah. ;cause;Dhèwèké nggatèkké ing kelas. ;Dheweke lali sinau. ;1
Bangunan ing pusat kutha ambruk. ;cause;Kutha iki kena lindhu. ;Tingkat kejahatan ing kutha kasebut saya tambah. ;0
Pacaré wong lanang kuwi wis pisah karo dhèwèké. ;effect;Dhèwèké nyuwun supaya dhèwèké ditampa manèh. ;Dheweke ngenalake dheweke marang wong tuwane. ;0
Bocah loro kasebut bebarengan nyedhaki bal kasebut. ;effect;Balé mau banjur mlayu. ;Kepala-kepalaé padha tabrakan. ;1
Raccoon ngrampok tong sampah. ;cause;Ana karton ing tong sampah. ;Tutupé ora ana ing tong sampah. ;1
Bocah lanang iku ngasah potlot. ;cause;Iku murah. ;Iku ora nyenengake. ;1
Kasir ora gelem mbalekaké dhuwit kanggo klambi kuwi marang wong wadon kuwi. ;cause;Dheweke kelangan kuitansi. ;Gauné ora cocog. ;0
Kulitku dadi goresan sing jero. ;effect;Ora suwé banjur mari. ;Iku kiwa bekas. ;1
Wong lanang kuwi ditonton karo para penumpang ing kréta sing aneh. ;cause;Dhèwèké ndelok ing lemah. ;Dhèwèké ngomong karo dhèwèké dhéwé. ;1
Bocah kuwi ninggalké remah-remah ing lantai. ;effect;Semut-semut kuwi banjur nyusup ing remah-remah kuwi. ;Bocah kuwi nyelehké roti kuwi. ;0
Wong wadon kuwi mènèhi tissu kanggo adhine. ;cause;Seduluré wong wadon kuwi ngambung tangané. ;Seduluré wong wadon kuwi nangis. ;1
Wong lanang iku njupuk mint. ;cause;Bibiné wis pecah. ;Dhèwèké kuwatir bab ambegan. ;1
Pasangan kuwi mangkat luwih dhisik kanggo nonton acara. ;cause;Wong-wong kuwi ngramal nèk bakal ana akèh wong ing sekitar téater. ;Dheweke entuk arah menyang teater. ;0
Wong wadon mau ora kerja ing omah. ;effect;Bosé ngalem dhèwèké. ;Kancané nylametké dhèwèké. ;1
Wong lanang iku nandatangani petisi para aktivis. ;cause;Dhèwèké ndhukung tujuané. ;Dhèwèké nyebut wong-wong kuwi wong edan. ;0
Atine aktor iku gumeter sadurunge tampil. ;cause;Dhèwèké wedi panggung. ;Dhèwèké ngapalake ayat-ayaté. ;0
Aku kesasar. ;effect;Aku ngetung dhuwitku. ;Aku mbukak peta. ;1
Woh-wohan sing wis mateng kuwi isih ana ing srengéngé. ;effect;Wis dipangan. ;Iku shrivelled munggah. ;1
Mobilé rusak. ;cause;Aku nguripake kontak. ;Mesiné panas banget. ;1
Wong lanang iku nglarani punggungé. ;effect;Dhèwèké lunga nemoni psikiater. ;Dhèwèké turu pirang-pirang dina. ;1
Aku miwiti geni ing perapian. ;cause;Aku ora nduwé kayu bakar. ;Ing omah ana adhem. ;1
Wong wadon kuwi mandheg mlaku. ;cause;Dheweke duwe kram ing sisih. ;Dheweke entuk napas liyane. ;0
Aku ngetokké lawangé tangga teparo. ;effect;Tanggaku ngajak aku mlebu. ;Tanggaku lunga saka omahé. ;0
Wong wadon kuwi sedhih banget. ;cause;Bojone salah paham karo kuwatir. ;Bojone ngambung dheweke. ;0
Guru ngalem muridé. ;cause;Murid kuwi njawab pitakonan kuwi kanthi bener. ;Murid mau ragu-ragu njawab pitakonan kuwi. ;0
Wong wadon mau ora ana endhog manèh. ;effect;Dhèwèké lunga menyang peternakan. ;Dheweke lunga menyang supermarket. ;1
Aku ketemu karo kancaku sing wis tuwa. ;effect;Aku ngandhakaké sawijining rahasia marang dhèwèké. ;Aku ngrangkul dhèwèké. ;1
Wong wadon kuwi ora gelem mlebu ing tlaga. ;cause;Dheweke nyekel iwak. ;Katon kaya kena kontaminasi. ;1
Murid kuwi teka ing kelas kanthi kecelup. ;cause;Payungé rusak. ;Sepedhahanipun dipun curi. ;0
Kursor ing layar komputer obah. ;cause;Pangguna ngeklik mouse. ;Panganggo mindhah mouse. ;1
Sopir kuwi ngliwati dalan. ;cause;Ana kacilakan ing dalan utama. ;Dhèwèké ngetutké truk ing ngarep. ;0
Aku nggantung klambi klambi ing lawon klambi ing njaba. ;effect;Kainé garing. ;Linen sing dicemari. ;0
Wong wadon mau nganggo kacamata. ;cause;Cahya srengéngé padhang. ;Dhèwèké ngundang taksi. ;0
Wong lanang kuwi ndelok langit ing wayah wengi. ;cause;Dheweke kepengin dadi musim panas. ;Dhèwèké mikir nèk kuwi apik banget. ;1
Aku rumangsa kesel banget. ;effect;Aku turu luwih dhisik. ;Aku ora turu sewengi. ;0
Wong lanang kuwi lunga menyang tukang cukur. ;cause;Rambuté wis thukul. ;Rambuté saya dawa. ;1
Bocah kuwi ora seneng karo kanca kelasé sing anyar. ;cause;Bocah kuwi nampani kanca kelasé sing anyar. ;Bocah kuwi ora seneng karo kanca kelasé sing anyar. ;1
Aku kepéngin ngombé susu. ;cause;Aku lagi mangan cookie. ;Aku lagi nggawé roti. ;0
Udan wiwit deres. ;effect;Sopiré nyunari lampu. ;Sopiré nyopir mobilé dadi mburi. ;0
Parkiré bangunan kuwi kosong. ;effect;Aku parkir ing sebrang dalan. ;Aku parkir ing cedhak lawang. ;1
Panulis ora bisa ngirim rancangan kasebut ing wektu sing wis ditemtokake. ;cause;Dhèwèké ngalami masalah nulis. ;Dhèwèké nyunting rancangané. ;0
Asosiasi kasebut nyelehake aku. ;cause;Aku njaluk ngomong karo pengawas. ;Aku mènèhi nomer idhèntitasku. ;0
Angin nyebar liwat jendhela sing mbukak. ;effect;Tombolé lawang muni. ;Tirai-tirai dadi gemeter. ;1
Listrik ing omahku mati. ;cause;Aku copot lampu. ;Aku ngetokake sekring. ;1
Wong angkat berat kuwi nggremeng. ;cause;Dheweke ngethok otot ing pangilon. ;Dhèwèké ngangkat bar ing ndhuwuré sirahé. ;1
Siswa kuwi nyoba ngitung nganggo pikirane. ;effect;Dhèwèké njupuk kalkulator. ;Dhèwèké bingung. ;1
Bayi kuwi turu. ;cause;Bapaké ngganti popok bayi. ;Bapaké ngguyangké bayiné kanthi alus. ;1
Bocah wadon iku mbuwang balon banyu marang bocah lanang iku. ;effect;Bocah kuwi ngalami geger otak. ;Bocah lanang mau dadi teles. ;1
Fotografer lali nggunakaké lampu kilat ing kamera. ;effect;Foto-foto mau dadi kabur. ;Kabèh wong ing foto ora gelem mesem. ;0
Aku nolak undhangan kanggo pesta ulang taun. ;cause;Aku kesepian. ;Aku ora ana ing kutha. ;1
Aku wis olahraga. ;cause;Aku rumangsa semangat. ;Aku wedi. ;0
Aku nyempet spons sing udan. ;effect;Iku nyedhot banyu. ;Banyu bocor metu saka iku. ;1
Para wisatawan numpak prau menyang resort. ;cause;Resor wis dipesen. ;Resor kuwi ana ing sawijining pulo. ;1
Bocah kuwi nduwé tato. ;cause;Dhèwèké wedi karo jarum suntik. ;Dhèwèké péngin mbrontak. ;1
Mobil sing ora kenal diparkir ing ngarep omahku. ;effect;Aku dadi curiga. ;Aku ngubungi pulisi. ;0
Pelaku kasebut nyerah. ;cause;Bukti-bukti sing ana ing kono nduduhké nèk dhèwèké kuwi salah. ;Ora ana bukti sing nglawan dhèwèké. ;0
Wong lanang sing abot kuwi mutuské arep ngurangi bobot awaké. ;effect;Dhèwèké ora mangan gula. ;Dhèwèké ora ngombé kafein. ;0
Bocah wadon iku mlaku ing es. ;effect;Dheweke kesandhung. ;Dhèwèké gemeter. ;0
Wong wadon iku nduwé cincin ing ngisor mripaté. ;cause;Dhèwèké ora turu sewengi. ;Bojone banjur didheg. ;0
Lava mili saka gunung geni. ;cause;Gunung geni kuwi njeblug. ;Gunung geni kuwi isih ora aktif. ;0
Wong wadon iku nganggo sepatu. ;cause;Dhèwèké kenal karo kabèh wong ing pésta kuwi. ;Dhèwèké péngin ninggalké pésta kuwi. ;1
Aku mbayar petugas tol. ;effect;Aku dityeluk liwat kantor tol. ;Aku ditundha ing kantor tol. ;0
Eksekutif bangkrut. ;cause;Dhèwèké adol saham perusahaané. ;Dhèwèké mbuwang-mbuwang bandhané. ;1
Wong lanang kuwi lunga menyang dhokter. ;cause;Dokter kuwi lagi cuti. ;Wong lanang kuwi lara. ;1
Aku metu saka kamarku liwat jendela. ;cause;Omahé kobong. ;Omahé kosong. ;0
Jari-jarine bocah lanang dadi prune. ;cause;Dheweke adus suwe. ;Tangane dilapisi sabun. ;0
Aku nyembur susu. ;cause;Sapi kuwi rasane asem. ;Mulutku garing. ;0
Aku ora bisa numpak bis. ;effect;Aku teka kerja luwih dhisik. ;Aku telat kerja. ;1
Truk kasebut tabrakan karo mobil kasebut. ;effect;Truk kuwi cepet banget. ;Mobilé rusak. ;1
Tim iki nggunakké cara sing salah kanggo nggayuh tujuané. ;effect;Wong-wong kuwi menang. ;Wong-wong kuwi ora gelem mèlu sekolah. ;0
Botol soda wisel. ;cause;Aku nguripake botol. ;Aku mbengkongake tutup. ;1
Bocah kuwi dikunci metu saka omahé. ;effect;Dhèwèké nyusup liwat jendhéla sing mbukak. ;Dhèwèké munggah ing atap. ;0
Tombolé lawang muni. ;effect;Pengunjungé ngetokké lawang. ;Wong wadon kuwi ndelok liwat bolongan kunci ing lawang. ;1
Wong lanang iku ngrusak jasé. ;effect;Dheweke wis ngresiki garing. ;Dhèwèké nggantungké ing lemari. ;0
Bocah wadon iku nyempet tabung pasta gigi. ;effect;Pasta untu metu saka tabung. ;Bocah wadon iku nyemburake pasta gigi. ;0
Pati warga sipil saka perang mundhak. ;effect;Para pasifis nganakaké demonstrasi. ;Para pasifis nganakaké pawai. ;0
Bocah wadon iku nyeret pita saka rambuté. ;cause;Dheweke ngiket pita kasebut. ;Pita kuwi katon kaya bocah cilik. ;1
Wong lanang iku nglakoni operasi plastik. ;effect;Dhèwèké dadi tuwa. ;Dhèwèké katon luwih enom. ;1
Anak pitik metu saka endhog. ;cause;Endhogé metu. ;Aku wis ngethok endhog. ;0
Wong tahanan kuwi mati merga keluwen. ;effect;Panjenengané séda. ;Dhèwèké mlayu. ;0
Wong lanang kuwi ora seimbang ing undhak-undhakan. ;effect;Dhèwèké munggah ing undhak-undhakan. ;Dhèwèké tiba saka undhak-undhakan. ;1
Bocah kuwi nggarak. ;cause;Dhèwèké ngunjuk soda. ;Dhèwèké mbukak kaleng soda. ;0
Ana angin adhem mlebu liwat jendhela. ;effect;Aku santai. ;Aku dadi gemeter. ;1
Siswa kasebut nampa beasiswa kanggo kuliah. ;cause;Kanca-kancané kelas ngajèni dhèwèké. ;Dhèwèké nduwé nilai apik. ;1
