"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
