premise;hypothesis;label
ཁྱོད་ཀྱིས་བརྗོད་ཐུབ་པའི་དོན་མང་པོ་ཡོད་པས་ངས་དེ་བསྐྱུར་རྒྱུ་ཡིན། ;ངས་གྲོང་ཁྱེར་འདིའི་ལོ་རྒྱུས་བཤད་རྒྱུ་མིན་ཏེ། གང་བཤད་རྒྱུ་མང་པོ་ཡོད་པས་ཡིན། ;1
དེ་ནི་ང་ཚོས་སྐྱོབ་འདོད་པའི་ཐོག་མ་རེད། གང་ཡིན་ཟེར་ན། མེ་ག་ཊོན་ ༢༠ ཅན་གྱི་ཧི་ཊར་བྷོམ་ཞིག་ ༣༠ དང་། ཀ་༡༢༤ ཅན་ནས་ཕབ་ཐབས་མེད་པས་ཡིན། ;ང་ཚོས་གང་ཞིག་ཀྱང་སྐྱོབ་འདོད་མེད་པ་རེད། ;2
དེ་ནི་ང་ཚོས་སྐྱོབ་འདོད་པའི་ཐོག་མ་རེད། གང་ཡིན་ཟེར་ན། མེ་ག་ཊོན་ ༢༠ ཅན་གྱི་ཧི་ཊར་བྷོམ་ཞིག་ ༣༠ དང་། ཀ་༡༢༤ ཅན་ནས་ཕབ་ཐབས་མེད་པས་ཡིན། ;ང་ཚོས་ལྷག་པར་དོན་གཅིག་སྐྱོབ་འདོད་བྱུང་། ;0
དེ་ནི་ང་ཚོས་སྐྱོབ་འདོད་པའི་ཐོག་མ་རེད། གང་ཡིན་ཟེར་ན། མེ་ག་ཊོན་ ༢༠ ཅན་གྱི་ཧི་ཊར་བྷོམ་ཞིག་ ༣༠ དང་། ཀ་༡༢༤ ཅན་ནས་ཕབ་ཐབས་མེད་པས་ཡིན། ;ང་ཚོས་ཧི་ཊར་ནོ་བུམ་བམ་བསྐྱབ་འདོད་དེ། དེ་ནི་དཀའ་ལས་ཆེན་པོ་ཞིག་རེད། ;1
ངས་ཅིའི་ཕྱིར་ཡིན་མིན་གསལ་པོ་ཤེས་ཀྱི་མེད། ;ངས་དེའི་རྒྱུ་མཚན་ལ་ཡིད་ཆེས་ཡོད། ;2
ངས་ཅིའི་ཕྱིར་ཡིན་མིན་གསལ་པོ་ཤེས་ཀྱི་མེད། ;ཁོ་ལ་སློབ་གྲྭ་གཞན་ཞིག་སྤོས་དགོས་དོན་ངས་མི་ཤེས་སོ། ;1
ངས་ཅིའི་ཕྱིར་ཡིན་མིན་གསལ་པོ་ཤེས་ཀྱི་མེད། ;ངས་དེ་འདྲ་བྱུང་བའི་རྒྱུ་མཚན་མི་ཤེས་པ་ཡིན། ;0
འདི་ནི་ཕཱན་ནི་ཕཱོན་ནོ་ཡིན། ཁོ་ནི་ཨོག་སི་ཊ་ (Augusta) ་ (GA) ་ནས་སྐྱེས་ཤིང་། ཁོ་མོས་རང་གི་བྱིས་པའི་དུས་ཀྱི་ལོ་རྒྱུས་འགའ་ཞིག་བཤད་པར་འགྲོའོ། ;པོ་ནི་ཕི་ལོ་ནོ་ (Fannie Flono) ཀྱིས་ཉིན་རྗེས་མའི་དུས་ཚོད་ལ་ལས་ཀ་བསྐྱར་དུ་བྱེད་དགོས་བྱུང་སྟེ་ དེ་རིང་ང་ཚོར་གཏམ་རྒྱུད་གང་ཡང་བཤད་མ་ཐུབ་པ་རེད། ;2
འདི་ནི་ཕཱན་ནི་ཕཱོན་ནོ་ཡིན། ཁོ་ནི་ཨོག་སི་ཊ་ (Augusta) ་ (GA) ་ནས་སྐྱེས་ཤིང་། ཁོ་མོས་རང་གི་བྱིས་པའི་དུས་ཀྱི་ལོ་རྒྱུས་འགའ་ཞིག་བཤད་པར་འགྲོའོ། ;འདིར་ཕཱན་ནི་ཕི་ལོ་ནོ་ (Fannie Flono) འདུག་ཅིང་། ཁོང་གིས་ང་ཚོ་ལ་ཨ་གྷ་སི་ཊ་ (Augusta, GA) དུ་འཚར་ལོངས་བྱུང་བའི་ཁོང་རང་གི་བྱིས་པའི་ལོ་རྒྱུས་རྣམས་བཤད་པར་བྱའོ། ;0
འདི་ནི་ཕཱན་ནི་ཕཱོན་ནོ་ཡིན། ཁོ་ནི་ཨོག་སི་ཊ་ (Augusta) ་ (GA) ་ནས་སྐྱེས་ཤིང་། ཁོ་མོས་རང་གི་བྱིས་པའི་དུས་ཀྱི་ལོ་རྒྱུས་འགའ་ཞིག་བཤད་པར་འགྲོའོ། ;དེ་རིང་ཕཱན་ནི་ཕི་ལོ་ནོ་ (Fannie Flono) གྱིས་ལས་ཀ་མང་པོ་བྱས་ཡོད་ཀྱང་། ང་ཚོ་དང་གཏམ་གླེང་བྱེད་ནུས་པ་བྱུང་འདུག ;1
ངས་ཨུ་ཊི་ ༢ ནས་སྡེ་ཚན་ལྔ་ཕྱིར་འཐེན་བྱས་ཡོད། ;ངས་U2'sལ་གྲོས་མོལ་བྱས་པ་ཡིན། ;0
ངས་ཨུ་ཊི་ ༢ ནས་སྡེ་ཚན་ལྔ་ཕྱིར་འཐེན་བྱས་ཡོད། ;ངས་U2's ཚོ་མཉམ་དུ་འབྲེལ་བ་གང་ཡང་མེད། ;2
ངས་ཨུ་ཊི་ ༢ ནས་སྡེ་ཚན་ལྔ་ཕྱིར་འཐེན་བྱས་ཡོད། ;ངས་ལོ་ངོ་ ༤༠ རིང་ཉིན་རེ་བཞིན་ U2 ཀྱི་སྡེ་ཚན་དང་ལས་ཀ་བྱས་པ་ཡིན། ;1
ངས་གཅིག་པུ་རང་ཚད་ཚད་འཛིན་བྱེད་ཆས་བེད་སྤྱོད་བྱེད་པ་ཡིན། ཆུང་བའི་མཐོ་ཚད་ཀྱི་ཁང་མིག་ལ་བརྟག་དཔྱད་བྱེད་སྐབས་ ;ངས་བརྟག་དཔྱད་བྱེད་སྐབས་ཚད་འཛིན་མཁན་གཅིག་པུ་ཡིན་པར་དགའ་མི་འདུག ;1
ངས་གཅིག་པུ་རང་ཚད་ཚད་འཛིན་བྱེད་ཆས་བེད་སྤྱོད་བྱེད་པ་ཡིན། ཆུང་བའི་མཐོ་ཚད་ཀྱི་ཁང་མིག་ལ་བརྟག་དཔྱད་བྱེད་སྐབས་ ;ཚོད་ལྟ་བྱེད་སྐབས་མཐོ་ཚད་ཆུང་བའི་ཁང་མིག་ནང་བརྟག་དཔྱད་བྱས་པ་ཡིན། ;0
ངས་གཅིག་པུ་རང་ཚད་ཚད་འཛིན་བྱེད་ཆས་བེད་སྤྱོད་བྱེད་པ་ཡིན། ཆུང་བའི་མཐོ་ཚད་ཀྱི་ཁང་མིག་ལ་བརྟག་དཔྱད་བྱེད་སྐབས་ ;བརྟག་དཔྱད་ཀྱི་ཆེད་དུ་ཚད་འཛིན་མཁན་ལ་འཇུག་མཁན་ང་ཚོ་འགའ་ཤས་ཡོད། ;2
ངས་རི་ཀིན་གྱིས་གསུངས་པ་ལྟར་། ང་ནི་ཨ། ཁྲི་འཛིན་སྤྱི་འགན་ཞིག་ཡིན། ;ངས་ད་ལྟའི་བར་དུ་ལས་ཀ་བྱེད་བཞིན་ཡོད། ;2
ངས་རི་ཀིན་གྱིས་གསུངས་པ་ལྟར་། ང་ནི་ཨ། ཁྲི་འཛིན་སྤྱི་འགན་ཞིག་ཡིན། ;ངས་ཕྱི་ལོ་ ༢༠༠༢ ལོར་ལས་ཀ་ནས་དགེ་འདུན་ཞུ་བ་ཡིན། ;1
ངས་རི་ཀིན་གྱིས་གསུངས་པ་ལྟར་། ང་ནི་ཨ། ཁྲི་འཛིན་སྤྱི་འགན་ཞིག་ཡིན། ;リックགིས་ཁྱེད་རང་ཚོར་ང་ངལ་གསོ་གཅད་ཡོད་ཅེས་བཤད་བྱུང་། ;0
ངའི་སྒོའི་སྟེང་དུ་དངུལ་འབོར་གྱི་འཆར་གཞིའི་ཤོག་ངོས་འགའ་ཞིག་ཡོད། འདིར་མི་དེའི་མིང་འདི་ཡིན། Cutty ;Cutty ཞེས་པའི་ཚོང་པ་དེས་ཟླ་རེར་དངུལ་སྒོར་ ༡༠༠༠༠ བཟོ་གི་ཡོད། ;1
ངའི་སྒོའི་སྟེང་དུ་དངུལ་འབོར་གྱི་འཆར་གཞིའི་ཤོག་ངོས་འགའ་ཞིག་ཡོད། འདིར་མི་དེའི་མིང་འདི་ཡིན། Cutty ;Cutty ཞེས་པའི་ཚོང་པ་ཞིག་ཡོད། ;0
ངའི་སྒོའི་སྟེང་དུ་དངུལ་འབོར་གྱི་འཆར་གཞིའི་ཤོག་ངོས་འགའ་ཞིག་ཡོད། འདིར་མི་དེའི་མིང་འདི་ཡིན། Cutty ;ང་ཚོའི་ནང་དུ་ཀཱ་ཊི་ཟེར་བའི་ཚོང་པ་གཅིག་ཀྱང་མེད། ;2
ང་ལ་རོགས་རམ་བྱེད་ནུས་པའི་བུ་མོ་དེ་གྲོང་ཁྱེར་གི་ཕྱོགས་གཞན་ཞིག་ཏུ་ཡོད། ;ངས་རོགས་རམ་དགོས་ཀྱི་བུ་མོ་དེ་ཐག་རིང་པོར་བསྡད་ཡོད། ;0
ང་ལ་རོགས་རམ་བྱེད་ནུས་པའི་བུ་མོ་དེ་གྲོང་ཁྱེར་གི་ཕྱོགས་གཞན་ཞིག་ཏུ་ཡོད། ;ང་ལ་རོགས་བྱེད་པའི་བུ་མོ་དེ་ནས་རྒྱང་རིང་ས་ཐག་རིང་ས་ ༥ ལ་ཡོད། ;1
ང་ལ་རོགས་རམ་བྱེད་ནུས་པའི་བུ་མོ་དེ་གྲོང་ཁྱེར་གི་ཕྱོགས་གཞན་ཞིག་ཏུ་ཡོད། ;ང་ལ་རོགས་རམ་བྱ་མཁན་སུ་ཡང་མེད། ;2
འོན་ཀྱང་ཁོང་ཚོ་གཉིས་སུ་ས་ཞིང་གི་ལས་བྱེད་པ་དང་ཁྱིམ་གྱི་ལས་བྱེད་པ་གཉིས་སུ་དབྱེ་བར་བྱས་ཡོད་དེ། དེ་ནི་ ;དེ་ཚས་ས་ཞིང་ལས་བྱེད་རྒྱུ་ཁས་ལེན་བྱས་ཡོད། ;2
འོན་ཀྱང་ཁོང་ཚོ་གཉིས་སུ་ས་ཞིང་གི་ལས་བྱེད་པ་དང་ཁྱིམ་གྱི་ལས་བྱེད་པ་གཉིས་སུ་དབྱེ་བར་བྱས་ཡོད་དེ། དེ་ནི་ ;ཁོང་གཉིས་སུ་ཞིག་ཞིང་ལས་བྱེད་པ་དང་སུ་ཞིག་ཁང་པའི་ནང་དུ་སྡོད་མཁན་ཡིན་པ་ལ་ཁ་མཐུན་མ་བྱུང་ངོ་། ;0
འོན་ཀྱང་ཁོང་ཚོ་གཉིས་སུ་ས་ཞིང་གི་ལས་བྱེད་པ་དང་ཁྱིམ་གྱི་ལས་བྱེད་པ་གཉིས་སུ་དབྱེ་བར་བྱས་ཡོད་དེ། དེ་ནི་ ;ཁོང་གཉིས་སུ་ཞིག་བལ་ཞིང་དུ་ལས་ཀ་བྱེད་རྒྱུ་དང་། སུ་ཞིག་ས་ཐོག་ཕྱིས་དགོས་པར་གྲོས་མོལ་མ་ཐུབ་པ་རེད། ;1
དེ་རིང་ཁོང་གིས་ང་ཚོ་ལ་ SS ༣ པ་དང་ U2 Quick དང་ Blackbird སྐོར་གླེང་བར་ཕེབས་ཀྱི་ཡོད། ;ཁོང་རང་ཁ་གཏད་བྱེད་རྒྱུ་མཚམས་འཇོག་བྱེད་རྒྱུ་ཐག་བཅད་པ་རེད། ;2
དེ་རིང་ཁོང་གིས་ང་ཚོ་ལ་ SS ༣ པ་དང་ U2 Quick དང་ Blackbird སྐོར་གླེང་བར་ཕེབས་ཀྱི་ཡོད། ;ཁོང་ཚོས་ཆུ་ཐོག་གྲུ་གཟིངས་ཁྱད་པར་ཅན་གསུམ་གྱི་སྐོར་བཤད་ཀྱི་འདུག ;1
དེ་རིང་ཁོང་གིས་ང་ཚོ་ལ་ SS ༣ པ་དང་ U2 Quick དང་ Blackbird སྐོར་གླེང་བར་ཕེབས་ཀྱི་ཡོད། ;ཁོང་གིས་དོན་གསུམ་གྱི་སྐོར་བཤད་ཀྱི་འདུག ;0
ཁོང་ཚོར་ཕྲུ་གུ་ལྔ་ཙམ་ཡོད་པ་ལས་གཅིག་གྲོངས་འདུག ;ཁོང་ཚོའི་ཕྲུ་གུ་ཚང་མ་གསོན་པོར་གནས་སོ། ;2
ཁོང་ཚོར་ཕྲུ་གུ་ལྔ་ཙམ་ཡོད་པ་ལས་གཅིག་གྲོངས་འདུག ;བུ་ལྔ་ལས་གཅིག་ཤི་སོང་། ;0
ཁོང་ཚོར་ཕྲུ་གུ་ལྔ་ཙམ་ཡོད་པ་ལས་གཅིག་གྲོངས་འདུག ;ཕྲུ་གུ་དེ་སྐྱེས་དུས་ནད་ལ་བརྟེན་པས་ཤི་བ་རེད། ;1
Androv Gromikov གྱིས་ལན་གང་ཡང་མ་གསུངས་པ་མ་ཟད། U2 ཀྱིས་གློག་བརྙན་ལེན་པའི་གནས་ཚུལ་ཚང་མ་ང་ཚོས་ཤེས་ཀྱི་ཡོད། ;U2 ཚོས་གློག་བརྙན་མང་པོ་ལེན་པ་རེད། ;0
Androv Gromikov གྱིས་ལན་གང་ཡང་མ་གསུངས་པ་མ་ཟད། U2 ཀྱིས་གློག་བརྙན་ལེན་པའི་གནས་ཚུལ་ཚང་མ་ང་ཚོས་ཤེས་ཀྱི་ཡོད། ;U2 ཀྱིས་ཆུ་འོག་ནས་གློག་བརྙན་ཊོན་མང་པོ་བཏོན་པ་རེད། ;1
Androv Gromikov གྱིས་ལན་གང་ཡང་མ་གསུངས་པ་མ་ཟད། U2 ཀྱིས་གློག་བརྙན་ལེན་པའི་གནས་ཚུལ་ཚང་མ་ང་ཚོས་ཤེས་ཀྱི་ཡོད། ;ང་ཚོས་གློག་བརྙན་ཞིག་ཀྱང་མེད་པས་ཚོད་ལྟ་བྱས་པ་ཡིན། ;2
མོ་ལ་མིག་ཆུ་འབབ་བཞིན་འདུག་ཅེས་བཤད་པ་དང་། དེ་ནས་མོ་གིས་ཇོ་དེ་སྒོའི་སྒོར་ཡོང་གི་འདུག་ཅེས་བཤད་དོ། ;མོ་གིས་ཁོ་ལ་སྒོའི་ཐོག་ཡོང་དགོས་པའི་བཀའ་བབས་སྐབས་མིག་ཆུ་རྒྱུགས་འདུག ;0
མོ་ལ་མིག་ཆུ་འབབ་བཞིན་འདུག་ཅེས་བཤད་པ་དང་། དེ་ནས་མོ་གིས་ཇོ་དེ་སྒོའི་སྒོར་ཡོང་གི་འདུག་ཅེས་བཤད་དོ། ;མོ་ཡིས་ཡོ་ལ་ཁང་པའི་སྒོའི་ཐོག་ནས་ཕུད་པའི་རྗེས་ལ་མྱུར་དུ་མིག་ཆུ་ཕྱིས་པ་རེད། ;2
མོ་ལ་མིག་ཆུ་འབབ་བཞིན་འདུག་ཅེས་བཤད་པ་དང་། དེ་ནས་མོ་གིས་ཇོ་དེ་སྒོའི་སྒོར་ཡོང་གི་འདུག་ཅེས་བཤད་དོ། ;མོ་ནི་ཇོ་མཐོང་བར་ཤིན་ཏུ་དགའ་བས་ངུ་བར་གྱུར་འདུག ;1
གལ་ཏེ་གྲུ་གཟིངས་མེ་འབར་ཡོད་ཀྱང་མེ་འབར་བ་དང་སྣུམ་གྱི་ཆ་ཤས་ཤིག་བཞུ་ནས་རླུང་རླུང་ཐོན་ཐུབ་ཀྱི་རེད། ;མེ་རྐྱེན་སྐབས་ཀྱང་རླུང་ཤུགས་བཀག་ཐུབ་ཀྱི་འདུག ;1
གལ་ཏེ་གྲུ་གཟིངས་མེ་འབར་ཡོད་ཀྱང་མེ་འབར་བ་དང་སྣུམ་གྱི་ཆ་ཤས་ཤིག་བཞུ་ནས་རླུང་རླུང་ཐོན་ཐུབ་ཀྱི་རེད། ;འབར་མ་བྱུང་བའི་རྗེས་སུ། གློག་ཤུགས་ཀྱི་རྒྱུ་ཆ་ཞིག་ནས་རླུང་འཕྲིན། ;0
གལ་ཏེ་གྲུ་གཟིངས་མེ་འབར་ཡོད་ཀྱང་མེ་འབར་བ་དང་སྣུམ་གྱི་ཆ་ཤས་ཤིག་བཞུ་ནས་རླུང་རླུང་ཐོན་ཐུབ་ཀྱི་རེད། ;མེ་རྐྱེན་སྐབས་རླུང་རླུང་འཕྲིན། ;2
འདི་ནི་ཨམ་རིའི་གནམ་དམག་ལས་ཕྱིར་འཐེན་བྱས་པའི་ ཆེ་མཐོའི་དམག་དཔོན་ Clem Francis མཆོག་ཡིན། ;ཊི་ཕི་ནི་ཨ་རིའི་གནམ་གྲུ་ལས་ཕྱིར་འཐེན་བྱས་ཡོད། ;0
འདི་ནི་ཨམ་རིའི་གནམ་དམག་ལས་ཕྱིར་འཐེན་བྱས་པའི་ ཆེ་མཐོའི་དམག་དཔོན་ Clem Francis མཆོག་ཡིན། ;དབུ་འཛིན་དེ་དུས་ཡུན་བདུན་ཕྲག་ཁ་ཤས་རིང་ལ་ལས་ཀ་ནས་ཕྱིར་ཐོན་པ་རེད། ;1
འདི་ནི་ཨམ་རིའི་གནམ་དམག་ལས་ཕྱིར་འཐེན་བྱས་པའི་ ཆེ་མཐོའི་དམག་དཔོན་ Clem Francis མཆོག་ཡིན། ;ཨ་རིའི་གནམ་གྲུ་དམག་དཔོན་གྱིས་ལས་ཀ་འདི་བདུན་ཕྲག་འདི་ནས་འགོ་ཚུགས་པ་རེད། ;2
བདུན་ཕྲག་གཅིག་གི་ནང་འཁོད་གནམ་གྲུ་གཉིས་གསུམ་ཡོང་གི་ཡོད། ངས་དེ་ཚོ་གང་དུ་འཕུར་འགྲོ་བ་མི་ཤེས་པ་རེད། ;བདུན་ཕྲག་རེ་རེར་གནམ་གྲུ་གཅིག་ལས་མང་བ་ཡོང་གི་འདུག ;0
བདུན་ཕྲག་གཅིག་གི་ནང་འཁོད་གནམ་གྲུ་གཉིས་གསུམ་ཡོང་གི་ཡོད། ངས་དེ་ཚོ་གང་དུ་འཕུར་འགྲོ་བ་མི་ཤེས་པ་རེད། ;གནམ་གྲུ་རྒྱུན་འགྲུལ་ཡར་སེང་གིས་དཀའ་ངལ་ཆེན་པོ་བྱུང་། ;1
བདུན་ཕྲག་གཅིག་གི་ནང་འཁོད་གནམ་གྲུ་གཉིས་གསུམ་ཡོང་གི་ཡོད། ངས་དེ་ཚོ་གང་དུ་འཕུར་འགྲོ་བ་མི་ཤེས་པ་རེད། ;གནམ་གྲུ་གང་ཡང་མ་ཡོང་བ་རེད། ;2
ཁོང་ཚོས་སྔོན་ནས་རང་རང་གི་སྦྱོང་བརྡར་ཆ་ཚང་བྱས་ཟིན་པ་དང་། ཤུགས་ཆེན་གྱི་གྱོན་གོས་གྱོན་མཁན་ཚོས་ང་ལ་དུས་ཡུན་རིང་པོ་འགོར་བར་བྱས་པ་ཡིན། ;སྦྱོང་བརྡར་ཆ་ཚང་ཞིག་བྱེད་རྒྱུ་དེ་ཟླ་བ་གསུམ་ཙམ་འགོར་བ་རེད། ;1
ཁོང་ཚོས་སྔོན་ནས་རང་རང་གི་སྦྱོང་བརྡར་ཆ་ཚང་བྱས་ཟིན་པ་དང་། ཤུགས་ཆེན་གྱི་གྱོན་གོས་གྱོན་མཁན་ཚོས་ང་ལ་དུས་ཡུན་རིང་པོ་འགོར་བར་བྱས་པ་ཡིན། ;ཤུགས་ཚད་ཆ་ཚང་ཅན་གྱི་གྱོན་གོས་བེད་སྤྱོད་བྱེད་སྟངས་སྦྱོང་བརྡར་བྱེད་རྒྱུར་དུས་འགོར་གྱི་འདུག ;0
ཁོང་ཚོས་སྔོན་ནས་རང་རང་གི་སྦྱོང་བརྡར་ཆ་ཚང་བྱས་ཟིན་པ་དང་། ཤུགས་ཆེན་གྱི་གྱོན་གོས་གྱོན་མཁན་ཚོས་ང་ལ་དུས་ཡུན་རིང་པོ་འགོར་བར་བྱས་པ་ཡིན། ;དེ་རིང་གི་ཉིན་མཇུག་གི་སྔོན་ལ་ཁྱེད་རང་ཚོར་ཤུགས་སྣོན་གོས་ཆ་ཚང་ཞིག་སྤྱོད་ཐུབ་པའི་སྦྱོང་བརྡར་སྤྲོད་ཐུབ་ཀྱི་རེད། ;2
ངས་བརྗོད་འདོད་དོན་ནི། འབར་རྫས་མཉམ་དུ་འགྲོ་བཞིན་པའི་ཉེན་ཁ་གང་ཡང་མེད། གང་ཡིན་ཟེར་ན། འབར་རྫས་ས་ས་ལ་ཤུགས་ཇི་ཙམ་ཕོག་ཀྱང་དེ་མེ་ལྕེ་འབར་མི་ཐུབ་པས་ཕྱིར་རོ། ;གློག་མེ་དེ་དེད་དཔོན་གྱིས་བཀག་པ་རེད། ;1
ངས་བརྗོད་འདོད་དོན་ནི། འབར་རྫས་མཉམ་དུ་འགྲོ་བཞིན་པའི་ཉེན་ཁ་གང་ཡང་མེད། གང་ཡིན་ཟེར་ན། འབར་རྫས་ས་ས་ལ་ཤུགས་ཇི་ཙམ་ཕོག་ཀྱང་དེ་མེ་ལྕེ་འབར་མི་ཐུབ་པས་ཕྱིར་རོ། ;གློག་མེ་དེ་འཕུར་བའི་གོ་སྐབས་མེད། ;0
ངས་བརྗོད་འདོད་དོན་ནི། འབར་རྫས་མཉམ་དུ་འགྲོ་བཞིན་པའི་ཉེན་ཁ་གང་ཡང་མེད། གང་ཡིན་ཟེར་ན། འབར་རྫས་ས་ས་ལ་ཤུགས་ཇི་ཙམ་ཕོག་ཀྱང་དེ་མེ་ལྕེ་འབར་མི་ཐུབ་པས་ཕྱིར་རོ། ;འབར་རྫས་ཀྱི་ཉེན་ཚབས་ཆེན་པོ་ཡོད། ;2
ངས་གང་བྱེད་འདོད་པ་དེ་འདྲ་ཡིན་ན། ;ཁྱེད་ཚོས་འདི་འདྲ་མཐོང་བ་མིན་པར་ཡིད་ཆེས་བྱེད་རྒྱུ་ཡོད་ ;2
ངས་གང་བྱེད་འདོད་པ་དེ་འདྲ་ཡིན་ན། ;ངས་དེ་ལྟར་བྱ་རྒྱུར་བརྩོན་བཞིན་ཡོད། ;0
ངས་གང་བྱེད་འདོད་པ་དེ་འདྲ་ཡིན་ན། ;ང་རང་གི་ལས་འགུལ་འདི་ཕྱི་ཚེས་གཅིག་ལ་མཇུག་བསྡུ་བར་བརྩམས་ཡོད། ;1
ཡིན་ནའང་སེམས་ཅན་རྣམས་དུས་རྒྱུན་རང་དབང་ཐོབ་ཀྱི་འདུག དམིགས་བསལ་ར་རྣམས་རེད། ;ར་རྣམས་ཉིན་རེར་བལ་ཁང་ནས་བྲོས་འགྲོ་གི་འདུག ;1
ཡིན་ནའང་སེམས་ཅན་རྣམས་དུས་རྒྱུན་རང་དབང་ཐོབ་ཀྱི་འདུག དམིགས་བསལ་ར་རྣམས་རེད། ;ར་རྣམས་འཕྲལ་དུ་བྲོས་སོང་། ;0
ཡིན་ནའང་སེམས་ཅན་རྣམས་དུས་རྒྱུན་རང་དབང་ཐོབ་ཀྱི་འདུག དམིགས་བསལ་ར་རྣམས་རེད། ;ར་རྣམས་བདེ་འཇགས་དང་བདེ་འཇགས་སུ་བཞག་ཡོད། ;2
ང་ཚོས་ནང་དུ་འཛུལ་སྐབས་སྒོ་བརྟན་པོར་བཞག་ཡོད། ;སྒོ་ཚང་མའི་སྒོ་ཕྱེས་ཡོད། ;2
ང་ཚོས་ནང་དུ་འཛུལ་སྐབས་སྒོ་བརྟན་པོར་བཞག་ཡོད། ;ང་ཚོས་དྲ་མིག་མཉམ་དུ་ཡོད། ;1
