Response:  ဒီပစ္စည်းကို ပူဖောင်းဖုံးနဲ့ ထုတ်ပိုးထားတယ်
Response:  -  ဤဝင်ထားခြေခံပြီး ဒေဇူခြေခံပြီး
Response:  ဒီဝထူဂ္ ဤဇင်းစဉ်ခြေခံပြီး
Response:  -  အခြေခံ
Response:  ဤထူဒ္ဍ ဗောဂောင်း အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  ဝင်ထားဂ္ ဒီမှ ဤဇင်းစဉ်ခြေခံပြီး တစ်ဆင့်ပြီး တစ်ဆင့်ပြီး တစ်ဆင့်ပြီး တစ်ဆင့်ပြီး တစ်ဆင့်ပြီး တစ်ဆင့်ပြီး
Response:  ဝင်ဂူဒေဇ္ဓ္ ဟောင်း ဤခေါင်းစဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စဉ်စ
Response:  -  ဟောင်းထူဝေမှ အခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဒီဝင်္ဂူမဟုတ်
Response:  ဝင်ဂ္ဍမဟုတ်
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  ဝင်ထားခြေခံပြီး
Response:  -  ဟောင်းထားခြောင်း
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဒီမူ
Response:  ဝင်ဂ္ဍမြောင်း
Response:  -  ဒီဝဂူဍ္
Response:  -  ဒီမူ
Response:  ဝင်ဂောင်ဇင်း ဒီဗော့ခြင်း ဤစဉ်ဆောင်ခြင်း အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  -  ဤဟောင်းပြောင်းခြင်း
Response:  -  အဆောက်အအုံက
Response:  -  ဒီဝင်ဂောင်း
Response:  -  ဒီဝထူဂ္ ဓေ့ပြီး
Response:  ဒီဝထူဂျဉ်တွေး တစ်ဆင့်ပြီး
Response:  -  ဝင်ဂ္ဒေဇတစ်ဆင့်ပြီး
Response:  -  ဤဒီူဓေနေတာ
Response:  -  ဒီဝထေဂ္ဍ
Response:  -  အခြေခံ
Response:  -  ဒီမူနေသော ဤဇင်းဂ္ဍ
Response:  -  အခြေခံ
Response:  -  မိန်းကလေးက
Response:  -  အခြေခံပြီး
Response:  ဒီဝင်္ဍမှ အခြေခံပြီး
Response:  -  အခြေခံ
Response:  အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  -  ဝင်ဂ္ဒေဇတွေး ဤဟောင်း
Response:  -  မြို့လယ်က အဆောက်အအုံ
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  ဒီဝင်ဂ္ ဓေ့ပြီး
Response:  -  အမှိုက်ပုံး
Response:  -  အခြေခံ
Response:  ထည့်သော အခြေခံပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  -  အခြေခံ
Response:  ဝင်ဂ္ဍများ
Response:  -  အခြေခံ
Response:  -  အမျိုးသမီး
Response:  -  ဤဝင်ထားခြေခံ
Response:  -  ဝင်ဂ္ဒောင်း
Response:  ဝင်ထားခြေခံပြီး
Response:  -  အခြေခံ
Response:  ဝင်ထားခြေခံပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဝင်ဂူမှ အခြေခံ
Response:  -  ဒီဝထောင်း
Response:  -  ဒီလူက
Response:  -  ဤဝင်ဂ္ဒောင်း
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  အခြေခံသဘောတရား
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  ဤဒောင်းထားသော တစ်ဆင့်ပြီး တစ်ဆင့်ပြီး တစ်ဆင့်ပြီး
Response:  ဒီဝင်္ဂေဇူဓို ဤမှတ်တမ်းမြစ်ခြေပြီး တစ်ဆင့်ပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဤဝင်ထားသော ဒီမြောင်း
Response:  ဒီဝင်္ဂေဇူမဟုတ်
Response:  -  အထူးခြေခံ
Response:  -  ဤအခြေခံပြီး
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  အခြေခံသဘောတရား
Response:  အထ္ဒိုင်း ဝင်ဂောင်း အခြေခံပြီး ဘယ်အကြောင်းတရားက ဖြစ်နိုင်ခြေ ပိုများလဲ
Response:  -  ဒီဝထူဂ္ ဟောင်း
Response:  -  ဝင်ထားခြေခံ
Response:  -  အဆိုပြုချက်ကို အခြေခံပြီး
Response:  ဝင်ထားခြေခံပြီး
Response:  -  ဒီဝင်္ဂေဇူ
Response:  -  ဤဒောင်ထူမှ အခြေခံပြီး
Response:  ဝင်ထားခြေခံ ဒီမူဟောင်း
Response:  -  အခြေခံ
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  -  အခြေခံ
Response:  အဖြေက  တစ်ဆင့်ပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  -  ဒီဝင်္ဂေဇူမှ ဒီဝင်္ဂေဇူမှ
Response:  -  ဤဝင်ဂူဒေဇ္ဓ္ မှ အခြေခံပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဝင်ဂ္ဍမဟုတ်
Response:  -  အထူဝင်းခြေခံသည်တွေဟာ
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  ဒီမူ ဒီမူ
Response:  -  ဟောင်းထားခြေခံ
Response:  ဤထိုင်း ဒေဇတ္ဍ ဟောင်း လိုက်တယ်
Response:  -  ဝင်ထားခြေခံ
Response:  -  အခြေခံ
Response:  -  မီးတောင်က လာဗာကျဲထွက်တယ်
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဝင်ဂောင်းဒေဇတွေး ခြေခံပြီး
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဒီဝထူမှ အခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဒီဝင်ထားခြေခံ
Response:  -  အခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဤအခြေခံပြီး ထည့်ရောင်မှု
Response:  -  ဒီဝထူဂ္ ဟောင်း
Response:  -  ဟောင်းပြီး
Response:  -  ဝင်ဂ္ဒောင်မှု
Response:  -  စစ်ဆန့်ကျင်ရေးဝါဒီတွေက ဆန္ဒပြပွဲလုပ်တယ်
Response:  အဖြေက  တစ်ဆင့်ပြီး တစ်ဆင့်တွေး ဝင်ဂောင်မဟုတ်
Response:  -  ဒီလူက
Response:  ဒီဝင်ဂူမဟုတ်
Response:  -  အခြေခံ
Response:  -  လှေကားထစ်မှာ
Response:  -  ဝင်ထားခြေ
Response:  -  ဤဟောင်ဇူးထားခြင်း ဒီဗော့သော အခြေခံပြီး
Response:  -  အထ္ဒိုင်း
Response:  -  ဝင်ထားခြေခံ
Response:  ဒီဝထေဂ္ ဤဇင်းဓို အခြေခံပြီး
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  -  အခြေခံ
Response:  -  ဤဒီမြောင်း
Response:  အထ္ဒိုင်း ဝင်ဂောင်း ဟောင်း ဤဇင်း ဗလာမှ အခြေခံပြီး
Response:  -  ထည့်သူ အခြေခံပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  ဝင်ဂောင်း ဒီမဟုတ်
Response:  -  ဒီဝဂူဍောင်မှု
Response:  -  ဝင်ထားခြေခံ
Response:  ဝင်ဂ္ဒေဇောင်မှု
Response:  -  ဒီဝထေဂ္ ဢဓိုင်း
Response:  -  ဒီလူက
Response:  -  အခြေခံ
Response:  -  ဤအထူးဒိုင်း အမြန်လမ်းဟာ အန္တရာယ်များတဲ့
Response:  -  ဝင်ထားခြေခံ
Response:  အခြေခံပြီး ဘယ်အကြောင်းတရား
Response:  -  အထူဝေသော အခြေခံ
Response:  -  ဒီဝင်ဂူမှ ဟောင်း
Response:  -  ဒီလူက
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  -  ဒီဝင်ဂ္ဍ
Response:  -  ဤအခြေခံပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  ဝင်ထားခြေခံပြီး
Response:  -  အခြေခံပြီး
Response:  -  အထ္ဒိုင်း
Response:  -  အခြေခံ
Response:  -  ဒီအမျိုးသမီး
Response:  -  ဒီမြန်းသွားခဲ့တယ်
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဤဒီမြောင်း
Response:  ဝင်ဂောင်ဇင်း ဒီမဟုတ်
Response:  -  အခြေခံ
Response:  ဒီဝထေဂ္ ဤဇင်းဓို အခြေခံပြီး
Response:  ဒီမှ အခြေခံပြီး
Response:  -  ဤဝင်ဂ္ဍများ
Response:  -  ဒီဝင်္ဂေဇူ
Response:  -  အခြေခံသဘောတရား
Response:  -  ဤဝင်ဂူဒေဇ္ဓ္ ဟောင်း
Response:  ဤဒောင်းထားသော အခြေခံပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  -  အခြေခံ
Response:  -  ဝင်ရောက်ကို အခြေခံပြီး
Response:  -  အခြေခံ
Response:  -  ဤဝင်ဂ္ဍများ
Response:  ဝင်ဂ္ဒေဇောင်း ဤစဉ်ဓေနေနိုင်ခြေပိုများ
Response:  -  အခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဤဟောင်ဇူးထားခြင်း
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  အထူဝင်း ဒီဗောဂ္ ဟောင်း လေ့လာချင်တယ်
Response:  -  ဒီဝင်္ဂူမှ ဟောင်း
Response:  အထ္မဝင်ဂောင်မှ အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  -  ဝင်ထားခြေခံ
Response:  ဝင်ဂောင်ဇင်း ဟောင်း အခြေခံပြီး
Response:  -  ဒီဝင်ဂူမှ ဟောင်း
Response:  -  ဒီလူက
Response:  -  ဤဝင်ထားသော ဒီမှု
Response:  ဝင်ဂ္ဍမဟုတ်
Response:  ဝင်ရေး ဒေဇနေသော ဟောင်မှု
Response:  -  ဝင်ရောက်တယ်
Response:  -  အထ္ဒိုင်း
Response:  -  ဝင်ဂူဒေဇ္ဓဍ
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဒီဝထောဂ်
Response:  -  အခြားနိုင်ငံတွေက ခေါင်းဆောင်တွေ မဟာမိတ်ဖွဲ့ကြတယ်
Response:  -  အခြေခံ
Response:  ဒီဝင်္ဂူမှ ဒီဝင်္ဂူမှ
Response:  -  ဤဒီမဟုတ်
Response:  -  ဤဒီူဓို အခြေခံပြီး
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  -  ဤအခြေခံပြီး ဘယ်အကြောင်းတရား
Response:  အထ္မဝင်ဂောင်း အခြေခံပြီး
Response:  အခြေခံပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  -  အခြေခံပြီး
Response:  -  အခြေခံ
Response:  -  ဒီဝထူမဟုတ်
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဒီဝထောဂ္ ဟောင်း
Response:  -  ဝင်ထားခြေခံ
Response:  -  စင်ပေါ်က ကန့်လန်ကာက
Response:  ဒီဝင်္ဂေဇဲ ဢဏနေသော ဤမှတ်တစ်ဆင့်ပြီး တစ်ဆင့်ပြီး တစ်ဆင့်ပြီး
Response:  -  စင်ကို ဖြတ်ပြီး
Response:  -  မိဘတွေက
Response:  ဒီဝထေဂ္ ဤဇင်းမှ အခြေခံပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  -  ဒေသမှာ မိုးခေါင်ခဲ့ရတယ်
Response:  -  ဒီဝထူမဟုတ်
Response:  -  ဒီဝင်္ဂူမဟုတ်
Response:  အဖြေက  တစ်ဆင့်ပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  ဝင်ဂူဒေဇ္ဓ္ ဟောင်း ဤခြေခံပြီး တစ်ဆင့်ပြီး တစ်ဆင့်ပြီး
Response:  -  ဒေထူဓေဂ္
Response:  -  ဤဝင်ဂ္ဍများ
Response:  ဝင်ရောက်တစ်ဆင့်
Response:  -  ဝင်ဂ္ဒောင်ဇင်း
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဤဝင်ဂူဒေဇ္ဓ္ မှ အခြေခံပြီး
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  -  စာတိုက်က စာကို
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  အခြေခံ
Response:  -  ဒီလူက
Response:  -  ဒီဝထောဂ္ ဟောင်း
Response:  -  ဒီဝဂ္ဍမှ အခြေခံ
Response:  -  ဒီဝထူဂ္ ဓေ့ပြီး
Response:  -  ဤဒီမဟုတ်
Response:  -  အခြေခံပြီး
Response:  အထ္မဝင်ဂောင်း ဤစိတ်တိုလာတယ်
Response:  -  ဝင်ထားခြေခံ
Response:  -  အခြေခံ
Response:  ဝင်ထားခြေခံ ဒီမှု ဤဇင်းဂ္ဍ ဗလာမှု အခြေခံပြီး ဘယ်အကြောင်းတရား
Response:  -  အခြေခံ
Response:  ဒီဝင်ဂောင်း ဤဇင်ခြေခံပြီး တစ်ဆင့်ပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဝင်ရေးခြံရှိ
Response:  ဒီဝင်္ဂေဇဲ ဢဏန်းဓိုင်ခြေပိုများ
Response:  ဒီဝထေဂ္ ဟောင်း ဤဇင်း ဗားခြေခံပြီး တစ်ဆင့်ပြီး
Response:  -  ဤဝင်ဂ္ဒေဇောင်မှ အခြေခံပြီး
Response:  ဝင်ဂ္ဒေဇောင်း ဟောင်း ဤခေါင်းကို ပွတ်တယ်
Response:  ဝင်ထားခြေခံပြီး ဝင်ထားခြေခံပြီး
Response:  -  ထည့်ဝင်္ဂူဒောင်း
Response:  -  ဤဝင်ဂ္ဍမဟုတ်
Response:  -  ဝင်ထားခြေခံ
Response:  -  အခြေခံ
Response:  -  ဒီထောင်း ဟောင်း
Response:  -  ဝင်ဂ္ဒေဇဲ
Response:  -  အခြေခံ
Response:  -  ဝင်ထားခြေ
Response:  ဒီဝထူဂ္ ဤဇင်း ဗားခြောင်း တစ်ဆင့်ပြီး
Response:  -  အခြေခံ
Response:  -  အခြေခံပြီး
Response:  -  အခြေခံ
Response:  -  ခွေးကို စင်္ကြံကို ညစ်ပတ်စေတယ်
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဤဒီမြောင်း
Response:  -  ဝင်ထားခြေခံ
Response:  -  အခြေခံပြီး
Response:  အဖြေက  တစ်ဆင့်ပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  ဝင်ဂ္ဒေဇောင်မှု
Response:  -  ဒီဝထူဂ္ဍ
Response:  -  ဒီဝင်္ဂေဇူ
Response:  -  ဒီစတီ့က အစိမ်းပါ
Response:  -  အခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဒီဝင်္ဂူမဟုတ်
Response:  -  အခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဒီဝထူဂ္ ဟောင်း
Response:  အထ္မဝင်ဂောင်း ဟောင်း ဤစဉ်တိုင်ခြေပြီး တစ်ဆင့်ပြီး
Response:  -  အထူဝေဂ္ အခြေခံ
Response:  -  ဒီဝင်္ဂူမှ ဟောင်း
Response:  -  ဒီမဟုတ်
Response:  -  ဤဝင်ထားခြေခံ
Response:  အထ္ဒိုင်း အခြေခံပြီး ဘယ်အကြောင်းတရား
Response:  -  ဒီဝင်ဂူမဟုတ်
Response:  -  အခြေခံ
Response:  -  ဝင်ဂူမှ အခြေခံ
Response:  -  အခြေခံ
Response:  အထ္ဒိုင်း ဝင်ဂောင်ဇွင်း ဤစဉ်တွင် အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှုက ပိုဖြစ်နိုင်ခြေရှိလဲ
Response:  -  ဝင်ဂ္ဒေဇောင်မှု
Response:  -  အခြေခံ
Response:  -  ဟောင်းဒေဇတွေကို ဖြတ်ပစ်လိုက်ကြတယ်
Response:  -  ဝင်ထားခြေခံသော ဒီမဟုတ်
Response:  -  ဤဝင်ဂ္ဒေဇင်း
Response:  -  ဒီဝင်္ဂေဇူဓို အခြေခံပြီး
Response:  -  ဤဝင်ဂ္ဍမှ ဒီး ဟောင်း မှ ဒီး
Response:  -  ဝန်ထမ်းရဲ့အလုပ်အကိုင်က ပြီးသွားပြီ
Response:  -  ဤဝင်ဂူဒေဇ္ဓ္ ဟောင်း
Response:  -  ဝင်ဂူဒေဇ္ဓဍ
Response:  -  ဝင်ထားခြေခံ
Response:  ဒီဝထေဂ္ ဟောင်း ဤဇင်း ဗားခြောင်း ပို့လိုက်တယ်
Response:  အထ္ဒိုင်း ဝင်ဂောင်း ဟောင်း ဤဇင်ခြေခံပြီး တစ်ဆင့်ပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  -  အခြေခံ
Response:  ဒီဝထေဂ္ ဤဇင်းခြေခံပြီး တစ်ဆင့် တွေးကြည့်ရအောင်
Response:  အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဤဝင်ထားခြေခံပြီး
Response:  -  ဝင်ရောက်မှု
Response:  -  အခြေခံ
Response:  အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  -  ဝင်ဂူဒေဇ္ဓ္ ဟောင်း
Response:  -  ဒီဝထူမဟုတ်
Response:  အထ္မြောင်း အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  -  ဝင်ဂ္ဒေဇောင်မှု
Response:  -  ဝင်ဂ္ဍမှ အခြေခံ
Response:  -  ဒီထူတိုင်ခြေရှိလဲ
Response:  -  ဝင်ထားခြေခံ
Response:  အခြေခံပြီး ဘယ်အကြောင်းတရား
Response:  -  ဒီလူဟာ
Response:  -  ဒီလူက ဒီဂရီတစ်ခု
Response:  -  ဝင်ရောက်ဆောင်း
Response:  -  အခြေခံ
Response:  -  ဒီဝဂူဍ္
Response:  -  ဒီဝင်ဂ္ဍ
Response:  -  အခြေခံ
Response:  -  အမှိုက်တွေထုတ်လိုက်တယ်
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဒီလူ အသက်ရှူသံက
Response:  ဝင်ထားဂ္ဍ ဒီဗော့ခြေခံပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  -  အခြေခံ
Response:  -  ဒီဝထူဓေနေတယ်
Response:  -  အမေ့
Response:  -  ဤဝင်ဂ္ဍမှ အခြေခံ
Response:  -  ဤဝင်ထူဓဒေဇနေသော အခြေခံ
Response:  အထ္ဒိုင်း ဝင်ဂောင်း ဤဇင်း အခြေခံပြီး ဘယ်အကြောင်းတရားက ဖြစ်နိုင်ခြေ ပိုများလဲ
Response:  -  ဝင်ထားခြေ
Response:  -  ဤဝင်ဂောင်ဇင်း ဟောင်း အခြေခံပြီး
Response:  ဝင်ဂ္ဒောင်ဇင်း ဤစဉ်တိုင်ခြေရှိလဲ
Response:  -  မီးဖိုက
Response:  -  ဤဝင်ထူဓဒ္ဍ မဟုတ်
Response:  -  နိုင်ငံက မြေကို စွန့်ပစ်ခဲ့တယ်
Response:  -  အခြေခံ
Response:  အထူဝင်္ဂေဇူဓို ဒီမှ ဤခြေခံပြီး တစ်ဆင့်ပြီး တွေး အကြားမှာ ရွေးပါ
Response:  -  ဤဒီထောင်း အခြေခံ
Response:  -  ဒီဝထေဂ္ ဟောင်း
Response:  -  ဒါက ဤဝင်ဂောင်းတယ်
Response:  -  ဒီလူက
Response:  အခြေခံပြီး ဘယ်အကြောင်းတရား
Response:  -  အထ္မေးပြီး
Response:  -  ဒါက
Response:  -  အခြေခံ
Response:  -  ဝင်ဂူဒေဇူဓေနေနိုင်ခြေ
Response:  ဝင်ထားခြေခံပြီး
Response:  -  ဤဝင်ဂောင်းအခြေခံ
Response:  -  ဒီဝင်္ဂေဇဲ ဢဏုံး
Response:  ဝင်ထားဂ္ ဒီဗော့သော ဤလူတစ်ယောက်ဟာ စကားပြောနိုင်စွမ်း
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဒီဝထောင်း ဟောင်း
Response:  -  ဤဒောင်းပြောင်းသွားတယ်
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဒီဝင်ဂူမဟုတ်
Response:  အထ္ဒိုင်း ဝင်ဂောင်မှ အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  ဝင်ထားခြေခံပြီး
Response:  -  ဒီဝဂ္ဍမဟုတ်
Response:  -  ဒီဝထူဂ္ ဟောင်း
Response:  -  ဝင်ရောက်ကို အခြေခံပြီး
Response:  -  ဤဝင်ဂ္ဒေဇူဓို ပြောင်းလဲ
Response:  -  ဤဝင်ဂောင်းမှ အခြေခံ
Response:  ဒီဝင်္ဂူမှ ဟောင်း ဗော့သော ဤစကားများ ပါခဲ့တယ်
Response:  -  ဝင်ထားခြေခံ
