"Response: 2018-07-31
Qwaqwa:  Ithembiso zasebenza kuphela ngu- 31 Jul 2018.";
Response: 2018-03-07 16:49:57;
"Response: 10/09/2018 QUESTION:  What did the teacher do to the student who had been cheating in an examination?
ANSWER:  The teacher tore up the student's exam paper and gave him a zero grade.";
"Response: 2019-05-30T14:37:16+02:00 ene 2018 by Khangwi M.

Please help me with the translation of this passage from isiZulu to English. Thank you in advance for your assistance!";
Response: 2019-05-30T14:47:16+02:00 ene 2018 by Khangule Khanyile. Revised on 2019-05-30T14:47:16+02:00 May 30th, 2019.;
"Response: 2018-04-17T13:59:46+02:00 en

Please assist me with the following sentences in isiZulu:

1. Isisekelo: The employee faked sick.
2. Okukhethwa kukho A: He had stomach cramps.
3. Okukhethwa kukho B: He wanted a day off.
4. Ngokusekelwe esimisweni, iyiphi imbangela okungenzeka kakhulu ukuthi yaba khona? How did you find out that the employee was not genuinely sick?
5. Khetha phakathi kwezinketho A no-B. What will happen to the employee who lied about being sick?";
"Response: 2018-07-31
Qonceleli sikhumbuzo: 5
Answer:  Sure! Here are some possible answers to the questions you provided:

Okukhethwa kukho A:  She swam laps in the pool.
Okukhethwa kukho B: She played water polo with her friends.
Ngokusekelwe esimisweni, iyiphi imbangela okungenzeka kakhulu ukuthi yaba khona?  Both of them enjoyed their time at the pool and had a great workout.
Khetha phakathi kwezinketho A no-B: They both agreed that the pool was a great place to relax and exercise.
I hope these answers help! Let me know if you have any other questions.";
Response: 2019-05-30T14:47:16+02:00 | Epalethi: 2019-05-30T14:48:00+02:00;
"Response: 2019-05-30T14:47:16+02:00 en

Please help me with the answers to these questions:

1. What did the man do to lose weight?
2. How did people react when they saw the man's new appearance?
3. Why was the man unhappy despite losing weight?
4. What does the phrase ""umacabanga ngalokhu"" mean?
5. Who were the two groups of people that interacted with the man?";
"Response: 2019-05-30T14:47:16+02:00 en

Please help me with the translation of this passage from isiZulu to English. I will be grateful if you could provide me with an accurate and detailed translation. Thank you in advance for your assistance.";
"Response: 2019-05-24T13:46:17+02:00 en

Please help me with the translation of this passage into English. I'm having trouble understanding some of the words and phrases used. Thank you!

Here is the passage again for your reference:
""Isisekelo: The circus performer juggled while riding a unicycle. Okukhethwa kukho A: The audience cheered in astonishment. Okukhethwa kukho B: The acrobat swung from a trapeze. Uma sicabanga ngalokhu, yikuphi okungenzeka? Khetha phakathi kwezinketho A no-B.""

I would be grateful if you could provide me with an accurate translation of each sentence or phrase, as well as any cultural context that might be helpful to understand the passage better.";
Response: 10/09/2018 14:57:36 | E-mail this to a friend;
"Response: 2018-03-07 15:49:56
Chisimba, Charles M.
Return to sender:  Please return the package to the address below.

I hope this helps! Let me know if you have any questions or need further clarification on any of the steps.";
"Response: 2018-07-31
Qela:  Yes

Please note that the translation provided is in the Xhosa language and may not be accurate or complete. If you have any questions or need further clarification on any of the phrases, please feel free to ask.";
"Response: 2018-07-31
Qwaqwa:  I don't understand what you are saying. Can you explain it again?";
Response: 2018-03-07 15:49:56;
"Response: 

A) The travelers were tired from their journey and decided to take a nap before going out to explore the city.
B) The travelers had a long day of sightseeing and decided to return to their hotel to rest.";
"Response: 2019-05-30T14:47:16+02:00 | Epailla: 30 May 2019, 14:47

This is a Zulu language text that describes an event where someone bites into a peach and it bruises. The text includes words such as ""isisekelo"" (bit), ""okuphela"" (peach), ""ukuthola"" (spilled), and ""phakathi"" (juice). It also includes phrases such as ""ngalokhu"" (out) and ""kwezinketho"" (between).";
"Response: 2018-07-31
Qwaqwa: 2018-08-01";
"Response: 10/02/2023 14:59:47

Please help me with this conversation in isiXhosa. Here's what I have so far:

Isisekelo:  I pushed the door.
Okukhethwa kukho A:  The door opened.
Okukhethwa kukho B: The door locked.
Uma sicabanga ngalokhu, yikuphi okungenzeka?
Khetha phakathi kwezinketho A no-B.

Can you please provide me with the correct translation of the sentences above and also explain them to me?";
"Response: 2019-05-30
Qefika qotho:  English";
Response: 2018-03-07 15:49:46;
"Response: 2018-07-31
Qwaqwa:  Isiphithi zalo zasebenza";
"Response: 10 points

Answer:
A) I put on an apron.

Explanation:
In this situation, the best response to spilling wine on one's shirt is to put on an apron to protect the clothing from getting stained further. This is a practical and logical solution that shows consideration for cleanliness and hygiene.";
"Response: 2018-07-31 14:56:49 | Language: Zulu (ZUL)
---|---";
"Response: 2018-04-17
Qela:  Yes

Please provide more information or context about this passage so that I can better understand and assist you.";
"Response: 2019-05-30T14:47:16+02:00 en

Please help me with the translation of this passage from isiZulu to English. I will be grateful if you could provide me with a detailed translation and also explain some of the words that are difficult for me to understand. Thank you in advance.";
Response: 2018-03-07 15:49:46;
Response: 1985;
"Response: 2015-03-06 14:47:49
Chisimba kubeko:  English";
"Response: 

Explanation:
The conversation is between two people, Isisekelo and Okukhethwa, about a child who needs to use the restroom. Isisekelo mentions that the child's father gave him a soda to drink, which may have caused the child to need to use the restroom urgently. Okukhethwa asks if the child has already gone to the bathroom, and Isisekelo replies that he does not know because his father stopped the car at a gas station.";
"Response: 10/02/2023 14:59:47

Please help me with this isiXhosa homework assignment. I am having trouble understanding how to translate some of the sentences and would appreciate any assistance you can provide. Thank you in advance!";
Response: 2018-03-07 15:49:46;
"Response: 2018-07-31 14:56:49
Chat with us in real-time for instant responses. Click here to chat.";
Response: 2018-03-07 15:49:56;
"Response: 

A) The letter was delivered to its destination.
B) The letter was lost in transit.";
Response: 10/20;
"Response: 
A) The accountant mismanaged the company's funds. 
B) She was fired from her position.";
"Response: 10:30 am
I checked my watch and saw that it was 10:30 in the morning.";
Response: 2018-03-07 15:49:46;
Response: 2015-04-03 16:37:49 | HH:mm:ss;
"Response: 2018-03-07
Qela:  Yes

Please provide more information or clarify your question so I can help you better.";
"Response: 2018-07-30
Qonceleli sikhumbuzo: 5
Izinsiza zaseZulu";
"Response: 2019-05-30T14:47:16+02:00 en

Please help me with this passage. I am having trouble understanding it and would like some clarification on certain words or phrases. Thank you!

The passage is about a man who went for a swim but could not swim. He wore a life jacket to try and stay afloat, but he still struggled to keep his head above water. Eventually, he managed to make it back to shore.

I have identified several challenging words or phrases in the passage that may be difficult for non-native speakers to understand:

* ""Isisekelo"" - This word means ""he wore"" in Zulu, but it can also mean ""he had on"" or ""he donned"". In this context, it seems to refer to the fact that the man put on a life jacket before going into the water.
* ""Okukhethwa kukho A"" - This phrase means ""He couldn't swim"" in Zulu. It is used to describe the man's ability (or lack thereof) in the water.
* ""Okukhethwa kukho B"" - This phrase means ""The water was shallow"" in Zulu. It is used to explain why the man was able to make it back to shore despite struggling to swim.
* ""Ngokusekelwe esimisweni, iyiphi imbangela okungenzeka kakhulu ukuthi yaba khona?"" - This sentence is quite complex and contains several challenging words and phrases. Here is my best attempt at translating it: ""How did he manage to get out of the deep water without drowning?""
* ""Khetha phakathi kwezinketho A no-B"" - This phrase means ""It is said that..."" in Zulu. It is used to introduce a statement or rumour about something that happened.

I hope this helps clarify any difficulties you may have encountered while reading the passage. Please let me know if you have any further questions or need additional assistance!";
"Response: 2018-04-17 Issued: 2018-04-16 Revised: 2018-04-17

This is a Zulu language joke that plays on the similarity between the words ""ukuthetha"" (to delete) and ""ukugcinelwa"" (to make a mistake). In the punchline, the speaker asks which one of two people (A or B) made a mistake, but then reveals that they are actually asking which one of them deleted the document. The humor comes from the clever use of language to create a pun based on the similar sounds of the two verbs.";
Response: 2018-03-07 15:49:56;
Response: 2019-05-30T14:47:16+02:00 ene 2018 by Khangethemba Mdluli. Revised on 2019-05-30T14:47:16+02:00 by Khangethemba Mdluli.;
"Response: 2018-07-31
Qonceleli sikhumbuzo: 5
Answer:  C
Explanation:  In this situation, option C is the best answer because it provides the most logical explanation for why the woman missed her train. According to the passage, she overslept and did not wake up on time to catch her train. This suggests that she may have been tired or groggy from sleeping in late, which could be attributed to oversleeping. Therefore, option C is the most plausible reason for why the woman missed her train.";
"Response: 2019-05-30T07:46:18+02:00 en

Please help me with this isiXhosa sentence:
""The man put on sunscreen and then he sat in the shade.""
I need to know how to translate ""and then"" in Xhosa. Can you please assist me?";
"Response: 

The study aimed to investigate whether individuals who accept a scientific theory are more likely to change their behavior in response to new evidence that contradicts the theory than those who reject it. Participants were randomly assigned to either accept or reject a fictitious scientific theory about the causes of climate change. After being exposed to conflicting evidence, participants' attitudes and behaviors towards reducing carbon emissions were measured. Results showed that individuals who initially rejected the theory were more likely to change their attitude and behavior after exposure to conflicting evidence than those who initially accepted the theory. These findings suggest that challenging one's existing beliefs can lead to greater changes in behavior than simply accepting a new idea without question.";
"Response: 2019-05-30
Qonceleli sikhumbuzo:  Yes";
"Response: 2018-07-31 14:56:49
Category:  Science and Technology
---

A simple lock can be opened using a combination of two different keys. This is done by entering the first key into the lock and then using it to unlock the second key, which is already inside the lock. Once both keys are inside the lock, they can be used together to open the lock.

To demonstrate this concept, we will use two keys, one labeled ""A"" and the other labeled ""B"". We will enter the combination ""AB"" onto the lock, which means that we will insert the key labeled ""A"" followed by the key labeled ""B"". Once the combination is entered, we will try to open the lock using each of the keys separately. If the lock does not open with either key alone, we will try combining them again until the lock opens.

The process of opening the lock using the combination ""AB"" is as follows:

1. Insert the key labeled ""A"" into the lock and turn it clockwise until it clicks. This will engage the mechanism inside the lock and allow us to open it.
2. Immediately after inserting the key ""A"", insert the key labeled ""B"" into the lock and turn it clockwise until it clicks. This will complete the combination and allow us to open the lock.
3. Try turning the handle of the lock in a clockwise direction. If the lock does not open, repeat steps 1 and 2 until the lock opens.

It's important to note that the order in which you enter the combinations matters. In this case, we entered the combination ""AB"", but if we had entered it in reverse (ie. ""BA""), the lock would not have opened.

This demonstration shows how a simple lock can be opened using a combination of two different keys. It also highlights the importance of paying attention to the order in which you enter the combinations, as the outcome may vary depending on the sequence in which the keys are inserted.";
"Response: 

Please note that the translation provided is in the Xhosa language and may not be entirely accurate or idiomatic. Also, please keep in mind that the context of the conversation has been simplified for easier understanding.";
"Response: 2018-07-31 14:56:49
Category:  English Language
---

Isisekelo: The snow was blocking the driveway.
Okukhethwa kukho A: I gathered the snow into a snowball.
Okukhethwa kukho B: I shoveled the snow out of the way.
Uma sicabanga ngalokhu, yikuphi okungenzeka? Khetha phakathi kwezinketho A no-B.";
"Response: 10/02/2023 | 09:45 AM

Please note that this is just an example and not a real conversation. Also, please keep in mind that isiXhosa is a complex language with many nuances and variations, so the translations provided here are simplified for ease of understanding.";
"Response: 2018-07-31
Qwaqwa: isikaze 5

Please help me with this passage by answering the questions below:

1. What happened to the girl on her bicycle?
2. Why did she lose control of her bike?
3. Where did she end up after losing control?
4. Who was involved in the accident (A or B)?
5. When did the incident occur (date and time)?";
"Response: 1985-02-07, Impendulo (07/02/1985)

There are several grammatical errors in this text, including:

* The verb ""turned"" is in the wrong tense form (it should be ""had turned"")
* The verb ""sprinkled"" is in the wrong tense form (it should be ""has sprinkled"")
* The verb ""felt"" is in the wrong tense form (it should be ""have felt"")
* The verb ""is"" is missing after ""I"" in the first sentence
* The verb ""am"" is used instead of ""are"" in the second sentence
* The verb ""was"" is used instead of ""were"" in the third sentence
* The verb ""impendulo"" is not a word in isiXhosa and should be translated as ""meanwhile"".";
"Response: 2019-05-30T07:46:18+02:00 en

Please help me with this isiXhosa sentence. I want to know what it means and how to translate it into English. Thank you!";
Response: 2018-07-31 15:49:56;
"Response: 2018-04-17
Qwaqwa:  IsiSekeko
Issue Number: 536
Page Number: 1";
"Response: 2018-03-07
Qonceleli i-Research and Publishing Support";
"Response: 10/02/2023

Please help me with this isiXhosa homework assignment. I am having trouble understanding how to translate some of the sentences into English. Can you please provide me with the correct translations and explanations for each sentence? Thank you in advance!";
"Response: 

Explanation:
The sentence ""Okukhethwa kukho A"" means that the subject (the boy) is sitting down. The verb ""okukenza"" in this context means to sit or to place something somewhere. So the sentence can be translated as ""He placed/set himself down"".
Similarly, ""Okukhethwa kukho B"" means that the second subject (the father) is also sitting down. The verb ""okukenza"" again means to sit or to place someone/something somewhere. So the sentence can be translated as ""He placed/set himself down too"".
The phrase ""umasicabanga ngalokhu"" means ""he lifted his feet"", and it is used to indicate a change of position from sitting to standing.
Finally, the last part of the sentence ""yikuphi okungenzeka?"" means ""what did he do?"", which is a question asking for more information about what happened next.";
"Response: 2018-07-31
Qwaqwa University

Please help me to translate this passage into isiXhosa. Thank you very much!";
Response: 2017-03-06 15:49:48;
Response: 2018-03-07 15:49:46;
"Response: 2018-07-31
Qwaqwa:  Ithuba yenza ngesimo.";
"Response: 2018-07-31
Qwaqwa:  Isiphithi zalo ezingcono.";
"Response: 2019-05-30T14:47:16+02:00 en

Please help me with the translation of this passage from isiZulu to English. I will be grateful if you could provide me with an accurate and detailed translation. Thank you in advance for your assistance.";
"Response: 2018-07-30T09:54:16+02:00 en

Please help me with the translation of this passage from isiZulu to English. I will be grateful if you could provide me with an accurate and detailed translation. Thank you!";
"Response: 2019-05-30T14:47:16+02:00 en

Please provide the correct answers for each question and explain why they are correct. Thank you!";
"Response: 2018-07-31
Qwaqwa:  Isiphithi zalo zasebenza kuphela ngu 5-10 pm
Izinto ezingcono:  English";
Response: 2015-04-06 13:37:49 | Hits: 8778;
"Response: 10:45 AM

Translation:
Isisekelo: The electricity in my house went off.
A: I turned on a light.
B: I reset the circuit breaker.
What's wrong with the electrical system, did you check it?
A and B: We didn't check it yet.";
"Response: 2019-05-30
Qonceleli kuphela: 46";
Response: 2019-05-27 Emasango e-Newsletter english.pdf;
"Response: 2019-04-15
Qela here is a list of possible answers for each question:
A) Isisekelo:  A tree fell on the power line. 
B) Okukhethwa kukho A:  The electricity in the neighborhood went out. 
C) Uma sicabanga ngalokhu, yikuphi okungenzeka? 
D) Khetha phakathi kwezinketho A no-B. 
E) Impendulo:  2019-04-15";
"Response: 2018-07-31
Qwaqwa University";
"Response: 
A:  I am feeling a little dizzy now. 
B:  My head is spinning too. 

Exercise 3: Fill in the blanks with the correct form of the verb in parentheses to complete each sentence.
1. _____________ (I) the book when I saw it was mine.
2. She _____________ (not/be) here yet.
3. They _____________ (just/finish) their homework when the bell rang.
4. He _____________ (never/travel) to Europe before.
5. The children _____________ (play) outside when it started raining.
6. By next year, they _____________ (finish) their degree.
7. We _____________ (not/like) this restaurant last time we visited.
8. The teacher asked us to _____________ (write) an essay for tomorrow's class.
9. My parents _____________ (never/visit) Japan before they got married.
10. The storm _____________ (pass) before we could go out and play.";
"Response: 2018-07-31
Qwaqwa:  Isiphithi zalo zasebenza kuphela ngu- 31 Jul 2018 utc";
"Response: 2019-05-30T14:47:16+02:00 en

Please help me with the translation of this passage from isiZulu to English. I will be grateful if you could provide me with an accurate and detailed translation. Thank you in advance for your assistance.";
"Response: 10/02/2023 14:57:36
 */
import { ComponentFixture, TestBed } from '@angular/core/testing';
import { ElevatorComponent } from './elevator.component';
describe('ElevatorComponent', () => {
  let component;
  let fixture: ComponentFixture<ElevatorComponent>;
  beforeEach(async () => {
    await TestBed.configureTestingModule({
      declarations: [ElevatorComponent],
      imports: [],
      providers: []
    });
  });
  it('should create', () => {
    fixture = TestBed.createComponent(ElevatorComponent);
    component = fixture.nativeElement;
    expect(component).toBeTruthy();
  });
  it('should display elevator door opening and closing animations', fakeAsync(() => {
    const animationFrameMock = jasmine.createSpy('animationFrameMock');
    fixture = TestBed.createComponent(ElevatorComponent);
    component = fixture.nativeElement;
    spyOn(window,'requestAnimationFrame').andCallFake(animationFrameMock);
    component.ngAfterViewInit();
    tick(); // trigger animation frame
    expect(animationFrameMock).toHaveBeenCalledTimes(2);
  }));
  it('should display elevator arrival on a specific floor', fakeAsync(() => {
    const floorChangeSpy = jasmine.createSpy('floorChangeSpy');
    fixture = TestBed.createComponent(ElevatorComponent);
    component = fixture.nativeElement;
    spyOn(component.elevatorService";"changeFloor').andCallFake(floorChangeSpy);
    component.selectFloor(1);
    tick(); // trigger animation frame
    expect(floorChangeSpy).toHaveBeenCalledOnceWith(1);
  }));
  it('should display elevator getting stuck between floors', fakeAsync(() => {
    const stuckSpy = jasmine.createSpy('stuckSpy');
    fixture = TestBed."
Response: 10/02/2023 | 09:45 AM;
Response: 2019/05/30 14:57:46 | Ngwanese-Indunashe - 10857;
"Response: 2019-05-30T14:57:16+02:00 ene 2018 by Khangwi M.

Please help me with this exercise as I am having trouble understanding it. Thank you in advance for your assistance!";
"Response: 10/02/2023 | 09:46 AM Subject: Re: Urgent: Need help with a poem in isiXhosa
Dear Thembelihle,
Thank you for reaching out to me regarding your request for assistance with an isiXhosa poem. I'm more than happy to help you with this task. Please find below my response to each of the lines you provided:

Isisekelo: The man caught his reflection.
Okukhethwa kukho A: He stood under the sprawling tree.
Okukhethwa kukho B: He stood over the calm lake.
Ngokusekelwe esimisweni, iyiphi imbangela okungenzeka kakhulu ukuthi yaba khona? Khetha phakathi kwezinketho A no-B.

Here are my suggestions for each line:

Isisekelo: The man caught his reflection (ngikuthanda kuphela)
Okukhethwa kukho A: He stood under the sprawling tree (ukuba kubhekana kwaye umntu)
Okukhethwa kukho B: He stood over the calm lake (ukuba kubhekane kwaye umntu)
Ngokusekelwe esimisweni, iyiphi imbangela okungenzeka kakhulu ukuthi yaba khona? Khetha phakathi kwezinketho A no-B: As he looked into the mirror, he saw two reflections staring back at him (ibungazwe ngesiphambili kakhulu ngaphansi)

I hope these suggestions help you complete the poem. If there's anything else I can assist you with, please don't hesitate to ask.";
"Response: 
A: Umuzi wami ngu-B. 
B: Ngiyazisa kuphela ukuthi siyenzawo esikhumbuzo. 
A: Ngiyabonga, uthando lwengane. 
B: Ngiyabonga, sikhumbuzo kakhulu.";
"Response: 2018-07-31
Qonceleli sikhumbuzo:  Yes";
"Response: 2019-05-30T14:47:16+02:00 en

Please help me with the translation of this passage from isiZulu to English. Thank you in advance for your assistance!

Here's the passage again:

""I saw my breath when I exhaled. The weather was chilly. My chest felt tight. As I breathed deeply, I could feel my heart beating fast and hard in my chest. It was as if my lungs were trying to expand beyond their limits.""

Translation would be greatly appreciated!";
"Response: 2018-03-07
Qetlela Mothomme:  Thank you for the information. What are the next steps in this process?
Mthembu J:  We will now proceed to negotiate with the employer on behalf of our clients.
Mthembu J:  Once we have reached an agreement, we will present it to the workers and they will vote on whether or not to accept it.
Mthombi E: If the workers agree to the terms, then the dispute will be resolved.
Mthembu J: But if they do not agree, then we may need to take further action such as going to court.";
"Response: 10 points

Answer: Khetha phakathi kwezinketho A (The smell of rotten apples filled the kitchen).";
"Response: 2018-07-31
Qwaqwa University";
"Response: 2019-05-30T14:47:16+02:00 en

Please help me with this isiXhosa sentence. I want to know what it means and how to translate it into English. Thank you!";
Response: 2018-04-17 15:39:56;
Response: 2018-03-07 15:49:46;
"Response: 2018-07-31T09:54:16+02:00 en

Please help me with this isiXhosa sentence. I want to know what it means and how to translate it into English. Thank you!";
"Response: 2018-07-31
Qralibale ngenyama:  Yes";
"Response: 2018-04-16
Qabe: ZA
Language: isiXhosa

Please help me with this conversation. I'm having trouble understanding what happened and why the sales associate accused the girl of stealing. Can you explain it to me?";
"Response: 2018-03-07 15:49:46
Hlola e-mail: [info@onestop.co.za](mailto:info@onestop.co.za)
People are often faced with difficult decisions in life that can have a significant impact on their future and wellbeing. In this scenario, you have been given two options (A and B) regarding how to handle a situation where your country has declared war on a neighboring territory. Your task is to consider the pros and cons of each option and decide which one you think would be the best course of action.
Option A: Support the War Effort
Pros:
•	Helping to protect your country from potential threats or attacks
•	Showing loyalty and patriotism towards your nation
Cons:
•	Risk of injury or loss of life for soldiers involved in combat
•	Possible long-term consequences of war, such as economic hardship or environmental damage
Option B: Work Towards Peaceful Resolution
Pros:
•	Minimizing harm and suffering for innocent civilians caught in conflict zone
•	Possibility of finding a peaceful solution without resorting to violence
Cons:
•	May not be seen as showing sufficient commitment to national security
•	Could lead to criticism or opposition from those who believe in taking a stronger stance against the enemy
In making your decision, please consider the ethical implications of each option and any potential consequences for yourself and others involved.";
"Response: 2019-03-07 15:48:46
Chisimba kubeko:  Yes, I understand. So, what's the case about?
Isisekelo:  It's a land dispute between two families. One family claims that their ancestors were given this piece of land by the king centuries ago, while the other family says they bought it from a third party recently.
Okukhethwa kukho A:  We need to find out who has the rightful claim to the land.
Okukhethwa kukho B:  And we also need to consider the interests of the community as a whole.
Uma sicabanga ngalokhu, yikuphi okungenzeka? 
Khetha phakathi kwezinketho A no-B. 
Impendulo:  2019-03-07 15:48:46
Chisimba kubeko:  Okay, let's hear both sides and then make a decision.
Isisekelo:  Thank you, Your Honor. For the prosecution, we have witnesses who can testify that our client's ancestors were indeed granted the land by the king.
Okukhethwa kukho A:  And for the defense, we have documents showing that the land was sold to them by a reputable dealer.
Uma sicabanga ngalokhu, yikuphi okungenzeka? 
Khetha phakathi kwezinketho A no-B. 
Impendulo:  2019-03-07 15:48:46
Chisimba kubeko:  After careful consideration, I hereby rule...
Okukhethwa kukho A:...that the land belongs to the defendant!
Okukhethwa kukho B: But Your Honor, how can that be when our ancestors had possession of the land for so long?
Uma sicabanga ngalokhu, yikuphi okungenzeka? 
Khetha phakathi kwezinketho A no-B. 
Imp";
Response: 2019-05-27 14:36:58 | Ngwanese-English Dictionary;
"Response: 2018-03-07
Please note that the language used in this lesson is isiXhosa and not English.";
Response: 14/02/2023 15:49:07 | Ngwanese-English | 86 | Modified: 14/02/2023 15:49:07 | 104;
"Response: 100%

Answer Key:

A) The father resented his son's alcoholism.
B) The father bought his son a beer.
C) The father kicked his son out of the house.";
"Response: 2018-07-31
Qwaqwa:  Isiphithi zalo ezingcono.";
"Response: 2018-07-31
Qwaqwa:  Isiphithizo";
"Response: 

Exercise 3: Fill in the blanks with the correct form of the verb in parentheses.
1. Ngiyazisa (to go) to the store every week. 
2. Indlela (to play) soccer with my friends on Saturday afternoons. 
3. Umlando (to climb) Mount Everest last year was an incredible experience. 
4. Kwenkungena (to learn) how to speak Spanish for three months now. 
5. Sikhathe (to eat) breakfast at home because I don't like eating out. 
6. Ukuthola (to teach) children how to swim during the summer holidays. 
7. Intsika (to visit) my grandparents every Sunday. 
8. Mntongolozi (to watch) TV shows and movies online whenever I want. 
9. Uthando (to help) people who are less fortunate than us. 
10. Kwanele (to drive) my car to work every day.";
"Response: 2018-07-30T09:54:16+02:00 en

Please help me with this exercise. I am having trouble understanding how to use the verb ""to be"" in the past tense and how to form questions using it. Can you explain it to me step by step?";
"Response: 2018-06-14
Qralibele:  English
Dikasemthini:  Sure

Please help me with this exercise. I'm having trouble understanding how to answer the questions and what the correct answers are. Thank you in advance for your assistance!";
"Response: 2019-05-30T14:47:16+02:00 en

Please help me to understand this text better by explaining each sentence and providing examples of how they are used in a conversation. Thank you!";
"Response: 
Ende kuphela ngu- Impendulo";
Response: 2018-03-07 15:49:46;
Response: 2019-05-24 13:37:46;
"Response: 2018-03-07
Please note that this CBD oil review is not a substitute for medical advice. Always consult a doctor or healthcare professional before taking any supplements or making any changes to your diet.";
Response: 2018-03-07 15:49:46;
Response: 2018-07-31 14:56:49 | Language: English | E-mail: zulu@zulutrust.co.za;
Response: 2018-03-07 15:49:56;
"Response: 2018-04-17
Please note that this is a fictional dialogue and should not be taken as an actual conversation.";
"Response: 2019-05-30T14:47:16+02:00 en

Please help me with the translation of this passage from isiXhosa to English. I will be grateful if you could provide me with an accurate and detailed translation. Thank you in advance for your assistance.";
"Response: 2019-05-30T14:47:16+02:00 en

Please help me with this passage by providing a translation of each sentence and an explanation of what is happening in the story. I will be grateful for your assistance.";
Response: 1. The child ate the bread. 2. The ants went to the crumbs.;
