Response: 30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;
"Response: 20 pʼunchay, 3 dólares, 10 cartones. Qhipaqtaq 60 pʼunchay, 4 dólares, 20 cartones. Kamaqtaq 80 pʼunchay, 5 dólares, 40 cartones. (Translation: ""How much does it cost to buy 15 boxes of ice cream at $4 each? If you want to buy 60 boxes, the price is $4 per box. If you want to buy 20 boxes, the price is $3 each. If you want to buy 80 boxes, the price is $5 each."")";;
Response: 30 kilometerstachus chay pasaq.;;
Response: 20 dólares, tupatak: 10 dólares, kutitak: 5 dólares, kachasqanchis: 3 dólares, kachasqanchis: 2 dólares, kachasqanchis: 1 dollar.;;
"Response:  Kutchiy tupaq ayuqanchaykuna. Qhaway:  Uj tapuymanjina, uj númerowan kutichiy. 

Translation: ""Today is Monday, April 7th. The weather is sunny and warm. I went to the store with my friend Allenpa. We bought some food for our family of 10 people. After that, we went fishing at the river. It was a good day.""";;
Response: 100 nishan. Kutchiy: 75 nishan. Nispa: 60 nishan. Kuraj: 40 nishan. Aswan: 30 nishan. Nin: 20 nishan. Yupa: 15 nishan. Muna: 10 nishan. Qanchis: 5 nishan.;;
"Response: 24.

Translation: ""It is Monday, the 10th of April. There are 3 weeks left in the month. How many days are there until the end of the week?""";;
Response: 25 qolqeyuqmi. 7 qolqeyuqmi tʼaqasqamanta. ¿Hayka rikun Gretchenqa?;;
Response:  Siobhanqa Aaronmanta iskay menos valorniyoj. Aaronqa 5 juyasta astawan japʼin Raymondpa juyastajmanta. Sichus Raymondqa 40 juyasta chaskiran chayqa, ¿hayk'a juyastaq Siobhanqa chaskiran?;;
Response: 16-3=13. Kintusqanchispa: 8-2=6. Pukllasqancha: 7-1=6. Chaskiya: 9-4=5.;;
Response: 12 x 5 = 60 dólares. Chay tupiyanpayki, 60 - 30 = 30 dólares.;;
Response: 46.;;
"Response: 25-30 korre.

Translation: ""The road to the town of Tapukuy is 60 kilometers long and takes about a week to travel by horseback. We will ride for three hours each day and rest for two hours in the middle. How many days will it take us to reach Tapukuy?""

Note that this text uses some specific features of Quechua grammar, such as the use of the suffix -sapa to indicate the duration of an action (in this case, the time it takes to travel), and the use of the verb forms -qanchis and -takillas to indicate the frequency or repetition of an action (e.g., ""we will ride for three hours each day"").";;
Response: 2018-07-19 14:57:47.;;
Response:  Kutitachayman jasachaqmi, suyuymanchayman jasachaqmi. Qhipaqmi, chaskachayman jasachaqmi. Chaskachayman jasachaqmi, suyuymanchayman jasachaqmi.;;
"Response: 250-300 meters. Chayrumita: 100-150 meters. Q'anchas: 10-20 meters.

Translation:
""The height of the mountain is approximately 4000 meters above sea level. The slope is steep and rocky, with a vertical drop of about 1000 meters. There are several peaks, including one that reaches an altitude of around 6000 meters. The distance from the base to the summit is approximately 10 kilometers. The climb is challenging due to the high altitude and strong winds.""";;
Response: 20 t'antastamikhuyan, 8 t'antastatarta, 3 t'antastasruna, 6 t'antastasruwa, 7 t'antastaswisqanchis, 9 t'antastaschurarqanku.;;
Response:  Qanchispa, chaskiya, tupaq hukuchinanmi.;;
Response:  K'anchaykunatamanta $2 dólaresta rantiku, sapa k'anchaymanta $4 dólaresta rantiku. Q'illuych'aska:  K'anchaykunatamanta $5 dólaresta rantiku, sapa k'anchaymanta $10 dólaresta rantiku. (Note that the prices are in US dollars and the amounts are given in both US dollars and Peruvian soles.);;
Response: 10-30 minutas. Kutitachay, 10-30 minutas. Chay tupac yanaqanchisqanchis, 10-30 minutas. Chay tupac yanapaytamarka, 10-30 minutas. Chay tupac yanatintikancha, 10-30 minutas. Chay tupac yanahualla, 10-30 minutas. Chay tupac yanakuna, 10-30 minutas. Chay tupac yanapaytanqanki, 10-30 minutas. Chay tupac yanapaytamarka, 10-30 minutas. Chay tupac yanatintikancha, 10-30 minutas. Chay tupac yanahualla, 10-30 minutas. Chay tupac yanakuna, 10-30 minutas.;;
Response: 150 tʼaqasqa caféta sapa ujman churarqa, 70 tʼaqasqa caféta sapa ujman churarqa, 40 tʼaqasqa caféta sapa ujman churarqa, 20 tʼaqasqa caféta sapa ujman churarqa, 10 tʼaqasqa caféta sapa ujman churarqa, 5 tʼaqasqa caféta sapa ujman churarqa, 2 tʼaqasqa caféta sapa ujman churarqa, 1 tʼaqasqa caféta sapa ujman churarqa.;;
Response: 100 dolartas churarqan, 30 dolartas tukupaschunas, 20 dolartas takllaypunchanas, 10 dolartas takllaytinchanas, 5 dolartas takllaytintichas. Total: 160 dolartas.;;
Response: 2017-03-28T15:39:47Z.;;
Response: 20-30 wasikunam kachkan.;;
"Response: 1000 qullaspa, chaytaq 3 dólarmanmi. Uj farmaqanchispa, chay taqataskuna, chaytaq 4 dólarmanmi. Uj farmapi t'aqasqa, chaytaq 5 dólarmanmi.

Translation:
Lloyd is a pharmacist and he has been working for 25 years. He earns $2,520 per month. Is Lloyd satisfied with his salary?

The answer is no. He wants to increase it by 1000 quetzals, which is equivalent to $3 USD. His current salary is not enough for him to support himself and his family. He also wants to receive a bonus of 4 dollars per month. If the pharmaceutical company raises his salary to 5 dollars per month, he will be satisfied.";;
"Response: 25-30 minutas.

Translation: ""The boat is 10 miles away from the port and it will take us 4 hours to get there. The distance is 6 kilometers and we will arrive at noon. Is that possible?""

Note: In this example, the speaker uses a mix of Quechua words and phrases with Spanish loanwords, which is common in many indigenous languages spoken in Latin America where Spanish is the dominant language.";;
"Response: 24 libras, 8 onzas. Kintusqanchispa, 6 libras, 10 onzas. Total: 30 libras, 18 onzas.

Translation: ""This is a book of drawings by the artist Pablito. It has 15 pounds of paper and 30 illustrations of animals. Is there anyone who wants to buy this book?""

In this example, the text is written in a mix of Quechua and Spanish, with some words and phrases being translated into both languages. The use of mixed language can be seen as a way of expressing cultural identity and blending traditional practices with modern communication. However, it also highlights the challenges faced by indigenous communities in preserving their linguistic heritage in the face of globalization and cultural assimilation.";;
Response: 35 dólares, rikun 35 dólares. Jueves pʼunchaykunataj, 6 carreterata, 4 carreterata ima, chay machaykunaq llukʼisqanta allichan. P'unchaykuna, 12 kutillata reparachin, mana ima llant'atapas. ¿Hayk'aqraqtaq chay machayqa aswan qollqeyoq p'unchaypi qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta;;
Response: 30.;;
Response: 25 ch'aska ch'aska. Q'uñi sach'ata Jean, t'akinyt'a yachayta. Huk ch'ulla q'ipillapi churay.;;
Response: 10 dolarmanmi, 30 dolarmanmi, 50 dolarmanmi, 100 dolarmanmi, 200 dolarmanmi, 300 dolarmanmi, 400 dolarmanmi, 500 dolarmanmi, 600 dolarmanmi, 700 dolarmanmi, 800 dolarmanmi, 900 dolarmanmi, 1000 dolarmanmi.;;
Response: 24.869 libra. Kawsacha: 15.000 libra. Total: 40.869 libra.;;
Response: 1234567890.;;
Response: 35 frutasniyoj, 148 frutasniyoj ima kashan. ¿Hayka manzana kan?;;
Response: 36 naranjas kan, 4 naranjas sqa mana allinchu, 20% naranjas sqa mana allinchu, 2 naranjas sqa ch'aki, wakintataq allin. ¿Hayka naranjas allinchu?;;
Response: 200 dolartas, chaymanta 300 dolartas, chay joyerota 400 dolartas. Chaymantataq, segurota apananpaq 10% pagakun. ¿Machkha qollqetachu pay qonan karqa?;;
"Response: 100.000 dólares.

Translation:
""Marcy has been working for our company for 4 years and 8 months. She has worked a total of 40 weeks at 50 hours per week, which is equivalent to 2000 hours. Based on her salary agreement, she is entitled to a bonus equal to 5% of her salary. If we calculate the amount of her bonus based on her last year's salary, it would be $50,000. However, if we subtract the amount of her vacation days from her total work hours, we get 30 weeks x 50 hours per week = 1500 hours. Therefore, her actual bonus amount would be $75,000.""";;
Response:  Qillqataypacha, chay tupatinanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisqanchisq;;
Response: 3500 km.;;
"Response: 2018-03-06T15:37:09Z.

Translation: ""Jimqa is watching too much television and it's affecting his work performance. He needs to focus on his tasks and not waste time in front of the screen. Let's set a goal for him to limit his TV viewing to only 4 hours per week.""";;
Response: 2017-2018, 2018-2019, 2019-2020, 2020-2021, 2021-2022.;;
"Response:  Kutitamanta, kutitamanta, kutitamanta...

Translation: ""The old man was sitting in his hammock, watching the sunset. He had 175 diamonds, 35 less than what he needed for a new blanket. 'Will there be any more days like this?' he thought to himself. The old man sighed and continued to count his stones, repeating the same phrase over and over again: 'Kutitamanta, kutitamanta, kutitamanta...'""";;
Response: 24 sipaskuna, 3 yachakuqkuna ima, sapa yachachiqpaq kashan chayqa, ¿hayka yachachiqkunataq kashanku?;;
"Response: 240 dolaresta 8 semanata. Qanchisqatsi: 360 dolaresta 8 semanata. Kawsachun: 480 dolaresta 8 semanata.

Translation:
""Today is Thursday, March 17th. I have been working at the company for 5 months and 8 days. My salary is $5,800 per month. Is it possible to get a raise of $100 every 8 weeks?""

In this example, the speaker is using a combination of dates (March 17th) and numbers (5 months, 8 days) to provide context for their statement about their employment duration and salary. They also mention that they receive a paycheck every 8 weeks, which is an important detail in determining whether or not they are eligible for a raise.";;
Response: 20 dólares.;;
Response: 15-20 minutas.;;
Response: 10 brownies, 5 cheesecakes, 20 rantikun. Total: 68.;;
Response: 480 dólares.;;
Response: 300 dólares. Qanchispa: 50 dólares. Total: 350 dólares.;;
"Response: 20 qhapaq tupaq chaskanchis, 8 qhapaq tupaq chaskanchis, 5 qhapaq tupaq chaskanchis, 3 qhapaq tupaq chaskanchis, 2 qhapaq tupaq chaskanchis, 1 qhapaq tupaq chaskanchis.
Sichus 4 pisqayoq ch'in pampata ruwachin chayqa, maypichus patapiqa 16 pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pisqayoq pis";;
"Response: 25-30 copasniyoj.

Translation:
Cecilia's veterinary clinic has been open for 18 years and she has helped over 180 animals in the community. She specializes in treating small animals such as dogs and cats, but also helps larger animals like horses and livestock. Her passion for helping animals has led her to become a well-known figure in the area, with many people coming to her for help. However, despite her dedication and expertise, she faces challenges in providing adequate care for all of the animals in need due to limited resources and funding.";;
Response:  I am not able to understand the text you provided as it appears to be written in a language or code that I am not familiar with. Could you please provide me with more context or information about what this text represents?;;
Response: 18 florestas aswanyallin precios rantispachakllan, qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqetatipi qollqet;;
Response: 25 dólares. Kusqanchispa: 75 dólares. Q'orianka: 50 dólares.;;
Response: 30 litros yakuta, 1/6 chʼuspiwan japʼirqanku. Chaymantataq uj wayna 6 litros yakuta japʼerqa. ¿Hayka litro yakutaq qhepakuran?;;
"Response: 45 p'itikasqta tupaqchispi, 67 p'itikasqta tupaqchispi. Kawsay: 21 p'itikasta mallkipi rantikorqa, 23 p'itikastataj navidadpaj jap'erqa.

Translation:
Charlie has 10 cousins who are children of his father's brother. There are 21 people in total in the family, including Charlie and his cousins. Charlie has 9 aunts on his mother's side, and 28 uncles on his father's side. Is there anyone else in Charlie's family?

There are 45 people in total in Charlie's extended family, and 67 people in total in his grandfather's family. The language spoken is Quechua.";;
"Response: 25 kilotas pishan. Kintusi: 17 kilotas pishan. Qullqanchispa: 30 kilotas pishan. (Grace is 40 years old and has 4 children. She sells 40 kilos of potatoes every day. How much money does she make?)

This text shows that the speaker is a woman named Grace who is 40 years old and has four children. She sells 40 kilograms of potatoes every day at the market, which earns her approximately 25 soles per day (based on the exchange rate of 1 USD = 3.60 SOL).";;
Response: 10 q'umarkuna. Kawsay: 40 q'umarkuna. Q'umarkuychi: 60 q'umarkuna. Q'umarkuychin: 80 q'umarkuna. Q'umarkuychis: 100 q'umarkuna. Q'umarkuychin: 120 q'umarkuna. Q'umarkuychis: 140 q'umarkuna. Q'umarkuychin: 160 q'umarkuna. Q'umarkuychis: 180 q'umarkuna. Q'umarkuychin: 200 q'umarkuna. Q'umarkuychis: 220 q'umarkuna. Q'umarkuychin: 240 q'umarkuna. Q'umarkuychis: 260 q'umarkuna. Q'umarkuychin: 280 q'umarkuna. Q'umarkuychis: 300 q'umarkuna. Q'umarkuychin: 320 q'umarkuna. Q'umarkuychis: 340 q'umarkuna. Q'umarkuychin: 360 q'umarkuna. Q'umarkuychis: 380 q'umarkuna. Q'umarkuychin: 400 q'umarkuna. Q'umarkuychis: 420 q'umarkuna. Q'umarkuychin: 440 q'umarkuna. Q'umarkuychis: 460 q'umarkuna. Q'umarkuychin: 480 q'umarkuna. Q'umarkuychis: 500 q'umarkuna. Q'umarkuychin: 520 q'umarkuna. Q'umarkuychis: 540 q'umarkuna. Q'umarkuychin: 560 q'umarkuna. Q'umarkuychis: 580 q;;
