,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
15,Глен имаше настроение за разходка.,Облече си якето и излезе навън.,"Докато вървеше по тротоара, се спъна и си счупи коляното.",Глен се изправи и се върна куцайки към къщата си.,Глен изкарал най-доброто си време на маратон.,"Глен се закле, че никога няма да ходи отново.",2
16,Исус прекара деня в полиране на мебелите.,"С наближаването на нощта той преглеждаше работата, която е свършил.",Всичко изглеждаше чисто и чисто.,Исус покани всичките си приятели на парти тази вечер.,"Казаха, че мебелите му са хубави.",Приятелите му лъскаха мебелите му.,1
17,Наскоро отидох до магазина.,"Когато минавах през изхода, почувствах студена, твърда стомана на ръката си.","Бях шокиран, че ме блъсна кола!","Шофьорът се извини, след като видя, че съм бил ударен.","Казах им, че всичко е наред и си тръгнах.",Шофьорът на колата ми се ядоса.,1
18,Сестрата на Джина си е порязала глезена с чупено стъкло.,Кръвта е текла по крака и в обувката й.,"Когато видя кръвта, избяга вкъщи.","Джина я последва, но не успя да я догони.","Когато се прибраха вкъщи, всички ядоха сладолед.",Сестрата на Джина отиде на лекар.,2
19,Едно малко момче беше в трети клас.,"Беше много умен, но се мъчеше да чете.","Когато четеше на глас, съучениците му му се присмиваха.",Започна да практикува четенето всеки ден.,"Малкото момче прие, че никога няма да се подобри.",В края на годината той се справи добре с теста по четене.,2
20,Класът на Роузи правеше малко парти.,Тя реши да направи плодова салата за всички.,Тя е похарчила много пари за плодовете и много време за приготвянето им.,В деня на партито тя събра огромна купа плодова салата.,Рози и нейният клас са яли плодова салата.,Роузи държеше купата плодова салата в хладилника си вкъщи.,1
21,Кели беше щастлива да има новия си телефон.,Тя го носеше навсякъде.,"За съжаление, тя го разби.","За щастие, тя успя да го оправи.",Магазинът й даде справедлива цена за поправката.,Кели си купи нов телефон.,1
22,"Когато бях в колежа, срещнах един по-възрастен мъж.","Бях на 22, а той на 38.",Имахме добро разбирателство и си прекарахме добре заедно.,"Бяхме заедно през цялото време, когато бях там.",Имам приятни спомени от това време.,Имам негативни спомени от това време.,1
23,Боб искаше да участва в училищната пиеса.,Той е проучил ролята внимателно.,Често репетираше репликите си.,На прослушването той се справи чудесно.,Боб беше много горд.,Боб се срамуваше много.,1
24,Джаки е назначена за наблюдател на осми клас.,Тя е завидна на целия клас.,Съучениците често застрашавали работата й.,Щели да откраднат пропуска на Джаки.,Директорът отстрани нейните шумни съученици.,На съучениците й бяха дадени награди за тяхното поведение.,1
25,Баща ми току-що си беше купил нова кола.,"За да го отпразнуваме, всички отидохме на разходка.","Друга кола премина знак ""Стоп"" и се блъсна в нас.","Ударих прозореца достатъчно силно, за да го счупя.",Излезнах и с баща ми всичко беше наред.,И двамата бяхме смачкани от колата.,1
26,"Племенницата ми обича филма ""Замръзнали"".",Винаги иска да я носи.,Тя обикаля къщата пеейки.,"Обича да крещи ""пусни го"".",Пее я отново и отново.,Обича спорта и мрази принцесите.,1
27,"Алекс се качваше на корта, а отборът му беше с две точки под него.","Погледнал на таблото и видял, че са останали само 5 секунди.","Умът му се разбърка, докато търсеше някой, който да му отвори устата.",Защитниците се прилепваха към съотборниците му като лепило.,Звънят и отборът му печели.,Опита се да хвърли три точки и пропусна.,2
28,Влязох в библиотеката и седнах.,"Когато се огледах, забелязах едно дете.",Той ме зяпаше известно време.,Бях разочарован и се изправих от мястото си.,Не ме интересуваше какво прави хлапето.,Попитах го какъв му е проблемът.,2
29,Ива и Брант се опитваха да заченат дете.,"Опитвали са се шест месеца, но без успех.",На срещата с лекаря те изразиха обезсърчение.,Но тогава видяха лекаря да се усмихва широко.,Брант ще отмени плановете си да отвлече дете.,"Двойката ще се зарадва да знае, че очаква бебе.",2
30,Катрин винаги е била заинтригувана от спортния вид кърлинг.,Катрин обича да гледа спортистите по телевизията.,Един ден Катрин реши да посети тренировка по кърлинг.,На тренировката един от атлетите покани Катрин да играе.,След това Катрин започнала да практикува всеки ден и се усъвършенствала.,"Катрин мисли, че кърлингът изглежда скучен.",1
31,Франсис винаги е искал да се научи да шофира.,"Най-накрая е достатъчно голям, за да получи шофьорска книжка.","Франсис учи много усилено, за да получи лиценз.",Той лесно преминава изпита си за шофьор.,Франсис е много горд с постиженията си.,"Франсис решава, че предпочита да използва обществен транспорт.",1
32,"Вчера се забавлявах да гледам ""Чудесника"".",Напълно ми хареса.,Танцьорите украсяваха сцената. Беше прекрасно.,За мен беше чест да видя шоуто.,Заклех се никога повече да не го видя.,Исках да го видя отново.,2
33,Събудих се за часа си в 8:30 сутринта.,Сънливо станах от леглото и се изкъпах.,Побързах да закуся и тръгнах към клас.,"След 50 минути занятия, започнах да се връщам към общежитието си.",Реших да се върна в клас.,"Когато пристигнах, си дремнах.",2
34,Гари искаше да привлече вниманието на Лиса.,Един ден той решава да напише на Лиса поема.,На следващия ден в училище Гари вижда Лиса в коридора.,Гари се усмихна на Лиса и й подаде стихотворението.,Гари удари Лиса здраво и си тръгна.,"Лиса признава, че също е влюбена в Гари.",2
35,Карлос винаги е искал да посети Франция.,"Решава, че трябва да научи френски, преди да замине.",Записва се за вечерен курс и учи много усърдно.,Карлос най-накрая говори френски доста добре.,Карлос резервира полет до Австралия.,Карлос използва френския си най-добре по време на пътуването си до Париж.,2
36,Ларс винаги е искал да опита фотографията.,"Приятелят му беше отличен фотограф, но никога не се е опитвал.","Един ден си купил проста, но качествена камера.",От този ден нататък Ларс снимаше снимки на природата всеки ден.,Ларс се влюби в фотографията.,Ларс мразеше фотографията.,1
37,Купих телевизор от магазин за електроника.,Това е голям плосък екран с високо качество на изображението.,"Служителят ме убеди да купя гаранция за него, за всеки случай.",Седмица по-късно телевизорът падна от стената и се счупи.,Успях да го оправя с гаранцията.,По-късно служителят е намерен мъртъв.,1
38,Раян беше в парка.,"И видя малко момиче, държещо балон.","Когато напускал парка, видял същия балон, заклещен в дърво.","Той се изкачи на дървото, за да вземе балона.",Раян е изпуснал балона нарочно.,"Раян намери момичето и й даде балона, който беше изгубила.",2
39,"Мениджърът й каза, че трябва да качи автобиографията си.","Тя осъзна, че не е форматирана правилно.",Прехвърли цялото съдържание в правилния шаблон.,"Добавя информация за последната си работа, и актуализира автобиографията си.",После го изпрати на мениджъра си.,Джен мразеше да мие чиниите.,1
40,Нийл обикаляше града на Фес.,Той опитал етническата им кухня.,После отиде да си купи сувенири.,"Той отбеляза, че във Фес има и страхотни улични изпълнители.",Нийл си прекара страхотно.,Нийл и Фез станаха най-добри приятели.,1
41,Трябваше да разходя кучето си.,Моят квартал изисква каишка.,Търсих по къщата си за каишката.,Не можах да го намеря.,Реших да заведа кучето си в задния двор.,Пуснах кучето си в къщата.,1
42,"Беше светъл, топъл ден.","Джо реши, че ще е хубаво да се разходим.",Решил е да отиде пеша до кафенето.,Но на половината път той започна да се уморява.,И той избяга в кафенето.,"Джо съжалява, че е излязъл навън.",2
43,Джен чакаше пакет цял ден.,Накрая видял човека на UPS да идва до вратата.,Той е донесъл пакета и тя го е донесла вътре.,Отворила е пакета с нож.,В кутията имаше новородено бебе.,Джен намери новия си палто в пакета.,2
44,Франк не искаше да си прави домашното.,Искаше да играе видео игри.,Родителите на Франк му казаха да си направи домашното първо.,Франк се разсърди и беше наказан.,Франк загуби видеоигрите си за седмица.,Франк има нова игра.,1
45,Тими се състезаваше в състезанието за 3 точки в училището си.,Победителят ще има шанс да спечели стипендия от 1000 долара.,Тими тренира да стреля три точки през целия уикенд.,"Беше готов, когато дойде денят на състезанието.",Тими спечели състезанието.,Тими отиде на пистата за състезания в деня на състезанието.,1
46,Дрейк е бил на парти в петък.,"Открил, че портфейлът му е бил откраднат от палтото му.","Дрейк веднага се обади на полицията, но портфейла не беше намерен.",Дрейк се обърна към домакина на партито за проблема.,"И домакинът му каза, че не знае.","Дрейк каза на домакина, че иска да присъства на партитата му отново.",1
47,"Боб откри, че камионът му е с спукана гума.",Никога преди не е сменял гума.,Извади джак и желязо.,Не можа да махне болтовете.,Боб се обади на някой да му оправи спукана гума.,Боб отиде с камиона си до пазара.,1
48,Джак се умори да пише имейли на таблета си.,"Решава, че трябва да инвестира в лаптоп.","Той проучва различни лаптопи, докато не намери перфектния.",Най-накрая го купува.,Сега Джак наистина се радва да отговаря на имейли.,Джак сега използва пощенската услуга вместо електронната поща.,1
49,Косата на Джейк стана твърде дълга.,Имаше интервю за работа.,Помоли майка си да му подстриже косата.,"Майка му го подстригнала добре, за да изглежда професионално.",Джейк си е измил ръцете.,Джейк получи работата.,2
50,Шон дойде днес.,"Сам, Шон и аз си играехме игрички.","Започнаха да ми се сърдят, че съм толкова лоша.","Казаха, че не мога да играя повече, докато не се оправя.",Бях много наранен.,Наистина ми беше приятно.,1
51,Сара искаше да изпрати картичка.,Отиде до пощата.,Тя плати за марки.,Тя сложи писмото в плик.,Сара сама достави писмото си.,Писмото на Сара скоро стигна до местоназначението си.,2
52,Чък беше уморен от работа.,Затворил е за известно време.,"Той отвори форума, за да си поговори с колегите.","След тези лоши удари на Золтар, той се нуждаеше от почивка.",Чък реши да напусне работата си.,След това се почувствал принуден да се върне на работа.,2
53,Боб използваше пластмасови торбички за пазаруване.,"Тогава приятелят му му казал, че пластмасата е вредна за околната среда.",Боб реши да се откаже от пластмасовите си торбички.,Боб инвестира в няколко многократно използваеми торбички за хранителни стоки.,Боб използваше многократно използваните си торбички за пазаруване.,Боб продължаваше да използва пластмасовите си торбички за пазаруване.,1
54,Джо трябваше да си направи портрет за един проект.,Обади се на местни артисти и попита за цените им.,Един от артистите имаше разумни цени.,Джо се е срещнал с художника за портрета.,Джо беше много доволен от резултатите.,Художникът е нарисувал котката на Джо.,1
55,Ан се опитваше да спре да пуши.,"Тя направи няколко опита, но винаги се проваляше.","После се е облякла с никотинов пластир, за да й помогне.",И да й помогне да го направи!,"Ан удвои количеството цигари, които пушеше всеки ден.",Ан успя да спре да пуши.,2
56,Джен е била изпратена при леля си през лятото.,Мразише мисълта да бъде далеч от библиотеката си през цялото лято.,"Взела си няколко книги, но ги преглеждала бързо.","Когато пристигнала, леля й я отвела в специална стая в дома си.",Джен видя книгите й да горят в камината.,"Стаята беше пълна с рафтове с книги, които привличаха момичетата.",2
57,Вчера беше почистването на зъбите на Роб.,Обикновено се страхува от зъболекарите.,Но има една сладка нова сестра в офиса.,Беше развълнуван да отиде.,Роб се почувства освежен след колоноскопията.,"Роб беше разочарован, когато сладката сестра не беше там.",2
58,Джо обичаше да яде мръсотия.,Правеше торти от кал при всяка възможност.,"Ядеше пай, когато почувства нещо много твърдо в устата си.",Джо беше ухапал камък и си беше избил зъба.,Джо искаше да дъвче още камъни.,Джо реши да не яде мръсотия отново.,2
59,Роб никога не е бил на влакче.,"Приятелите на Роб му предложиха безплатен билет за ""Шест флага"".","Роб реши, че може да се присъедини.",Всички отидоха и чакаха дълга опашка.,Роб имаше щедри приятели.,Приятелите на Роб бяха безразсъдни.,1
60,Карли чакаше Сам да й се обади.,Обеща да го направи в петък.,Беше късно в събота и тя не беше чула нищо.,Най-накрая реши да му се обади.,Сам вдигна телефона.,Карли поръча храна по телефона.,1
61,Ейми се прибра от училище на рождения си ден в празна къща.,"Беше разстроена, че всички са забравили специалния й ден.",Тя тъжно влезе в хола.,Изведнъж приятелите и семейството й изскочили от скривалищата си.,Ейми се усмихна от удоволствие.,Ейми излезе от стаята и напусна къщата.,1
62,Пан се опита да ме удари без видима причина.,"Бях ядосан, но просто защитих удара й.",Тя продължи да ме удря с юмрук.,"В опит да я спра, я хвърлих на земята.",Пан най-накрая спря.,Прегърнах Пан.,1
63,Беки има братовчедка на име Ашли.,"Беки и Ашли са били приятели, когато са били деца.","Ашли започна да се държи глупаво, когато порасна.",Отиде в затвора за кражба на тампони от магазин за един долар.,Беки загуби връзка с нея.,Беки се гордее с Ашли.,1
64,Бебето на Пам и Том е леко спящо.,Невнимателният им съсед често оставяше кучето си навън да лае цял ден.,"Всеки път, когато Пам караше бебето си да спи, кучето започваше да лае.","Пам си фантазирала как ще пусне кучето, за да избяга.",Една нощ Пам пусна котки в дома си.,Една нощ Пам решила да пусне кучетата.,2
65,Мей беше приета в колеж във Фредония.,Тя взе автобуса до новото си училище.,Разглеждаше кампуса.,"Тя обичаше всичко, което виждаше.",Тя напусна училище.,Дори харесваше всички нейни професори.,2
66,На Мери й трябваше да издърпа зъби.,Искаше зъболекарят да я приспи.,"Всичко, което е могъл да направи е да обезболява района с новокаин.",Мери го погледна в ужас.,"След като видял изражението й, зъболекарят успял да помогне на Мери.",Мери си тръгна от зъболекаря в добро настроение.,1
67,Форд се гордееше с високия си GPA.,"Всеки вечер работи по задачи, за да го подобри.","Приятелите на Форд го предупредиха, че пропуска забавленията.",По-късно Форд става успешен адвокат.,"Форд беше тъжен, че е постигнал толкова много.",Форд се гордееше с постиженията си.,2
68,"Жена ми казва, че не съм страстен.",Че нямам много хобита или интереси.,"Опитах се да споря, но не можах.","Осъзнах, че е права.",Реших да се променя.,Не съм омъжена.,1
69,Нина искаше хубав костюм за Хелоуин.,Но тя не може да си позволи нищо луксозно.,Тя търсеше идеи в къщата си.,После намери страхотен костюм безплатно.,Нина си купи играчка.,Нина беше развълнувана.,2
70,Вероника обичаше да се разхожда в гората.,"Един ден, докато пътешестваше, намерила къща на дърво.",Изкачи се по стълбата и се зачуди на всичко в къщата.,Беше напълно обзаведена с мебели и одеяла.,Вероника не харесваше много къщата на дървото.,Вероника решава да посещава къщичката по-често.,2
71,Беше прекрасен пролетен ден в началото на март.,Трейси реши да се разходи в гората зад къщата си.,Тя чула как кълва и започнала да го търси в дърветата.,Тя се спъна в корен и падна на пътеката.,Трейси се прибра.,Трейси се е отървала от падането си.,2
72,Боб беше много жаден и искаше сода.,"За съжаление, той нямаше никакви пари.",Боб влезе в бензиностанция и попита дали може да пие сода.,Касиерът го попита дали има пари.,Той каза не и напусна бензиностанцията.,Решил е да отиде да тича.,1
73,Джим ме чакаше на летището.,Жена му ще бъде там след час.,Беше много отегчен.,Тогава той реши да се заеме с книгата си.,Джим видял жена си след час.,Джим си тръгна преди жена му да се появи.,1
74,Джо наистина искаше да учи в Колумбийския университет.,"Учеше много в училище, беше в отбора по футбол.",Той е в списъка на чакащите.,"Въпреки че бил разочарован, той се постарал докрай.",Джо все още се гордееше с усърдната си работа.,"Джо реши, че не иска да ходи в колеж.",1
75,"Приятелката на Джина, Тами, имаше папка, която не искаше никой друг да има.","Джина искаше, но не знаеше къде да си купи.",Сега Тами имаше нова Лиса Франк.,"Джина ревнуваше, защото и тя искаше.","Джина е проверила на ебай и е намерила такъв, който може да си позволи.",Джина коси целия двор и не е имала помощ от никого.,1
76,Лия имаше красива коледна елха в къщата си.,Един ден тя си тръгна да пазарува.,"Когато се върна, дървото беше преобърнато.",Котката й се е качила на него и го е сваляла!,"Лия реши, че дървото на пода й харесва повече, отколкото да стои.",Лия наказа котката си.,2
77,Питър е ползвал същия стол от години.,Започна да се износва.,"Решил е да си купи нов, по-удобен стол.","Когато пристигна, Питър беше много щастлив.","Питър си помисли, че може да е по-удобен от стария.",Питър остави кучето да използва стола.,1
78,Рекс се готви за парти довечера.,"Осъзнава, че не е приготвил нищо за гостите да ядат с сирене.",Рекс изтича да вземе багет.,"Той го нарязва на тънки парчета, за да може лесно да се яде.",Рекс е тръгнал на дълго пътуване през океана.,Всички харесаха сиренето и хляба.,2
79,Али винаги пътува с влак за работа всеки ден.,"Един ден тя била много болна, но все пак отишла на работа.",Тя работише усилено цял ден и дори си взе работата вкъщи.,Качи се на влака и заспа.,Тя беше мързелива служителка.,Изпуснала е спирката си и е трябвало да се прибере с автобус.,2
80,Футболен отбор е работил усилено през целия сезон.,Те спечелиха всеки мач и се класираха за шампионата.,Оставаха само секунди и играта беше равна.,Куотърбекът подаде дълъг пас и прихващачът отбеляза.,Тълпата бухаше на екипа.,Тълпата стана от местата си и аплодира безумно.,2
81,Живеем в многоетажна сграда.,"Един ден вятърът беше силен, отчасти поради височината на сградата.","Вятърът раздуха клоните на дърветата толкова силно, че жена ми не можа да заспи.",Вятърът също свали интернет кабела.,"Със съпругата ми бяхме много нещастни, че загубихме интернет връзката си.",Обичахме силен вятър и липса на сън.,1
82,Кейт искаше да си купи нова клавиатура за компютъра си.,"Тя спестяваше месеци, за да си позволи добра клавиатура.",Кейт най-накрая се свърза с интернет и си поръча клавиатурата!,Тя с нетърпение чакаше пристигането му с дни.,После отмени поръчката си.,После нейната клавиатура пристигна по пощата.,2
83,Джон завършил колеж и започнал да търси работа.,Всеки ден кандидатстваше за работа в своята област.,"Три седмици след като започна, той получи обаждане.",Обаждащият се го попита дали би искал да се срещне с него.,Джон прие.,Джон отхвърли предложението.,1
84,"Джули обичаше да чете всичко, което може да хване.",Повечето време прекарваше в библиотеката.,Любимата й библиотека е била на г-ца Уотсън.,Г-ца Уотсън видя любовта на Джули към книгите и й предложи работа.,Джули с радост прие!,Джули удари приятеля си в окото.,1
85,"Семейството на Ейми е отишло в ""Шест флага"".",Тя седна търпеливо в колата и чакаше да пристигне.,"Когато пристигнаха, тя седна на колене и огледа парка.","Чакала е един час в опашка, за да се качи на най-голямата американска верига.",Ейми беше много развълнувана да бъде в парка.,"Ейми мислеше, че парка е скучен.",1
86,Стив бързаше да отиде на мача.,На магистралата Стив караше колата си много бързо.,Патрулът спря колата на Стив.,Полицаят му изписал глоба за превишаване на скоростта.,Стив беше доволен.,Стив беше разстроен.,2
87,Дъщеря ми отиде на първото си рожденно парти за приятел.,"Беше толкова развълнувана, че ще дойде на партито.",Не говореше за нищо друго цяла седмица.,Тя отиде на партито и се забавляваше.,Реши да не ходи на партита повече.,"Когато се прибрала, веднага заспала, изтощена.",2
88,"Боб се нуждаеше от пари, за да си купи храна.","Беше тъжен, че не можеше да яде, защото нямаше пари.",Решил да напише книга за тежкия си живот.,Хората веднага хвалили книгата и купили хиляди екземпляри!,Печалбите от продажбите на книгите даваха на Боб достатъчно пари за храна.,"Реакцията на обществото към книгата означава, че Боб все още гладува.",1
89,Днес завърших първия си маратон.,Беше около шест мили и аз работих много усилено.,Тренирах за това около три месеца.,Винаги е било в списъка ми с неща за вършене.,Никога не съм бил по-щастлив.,Наистина съм разочарован от себе си.,1
90,Боби сгъна плодовата си опаковка във форма на самолет.,"Той си изтръгна ръката и хвърли самолета толкова силно, колкото можеше.",Беше твърде тежко и падна като тухла.,"Боби реши, че самолетите трябва да са от хартия.",Боби беше на пет години.,Боби беше на 35 години.,1
91,Сам гледаше звездите една нощ.,Изведнъж той седнал бутало изправен.,"Той видя блестяща, движеща се звезда!",Той избяга да го покаже на баща си.,"Баща му се смееше, защото звездата беше самолет с светлини.","Бащата на Сам се радваше, че синът му се интересува от геология.",1
92,Джон и Мег са били заедно от пет години.,Джон обичаше Мег и искаше да се ожени за нея.,"Решил е да я помоли да се омъжи за него тази вечер, след като са ходили на кино.","Когато излязоха от киното, той внезапно падна на колене.",Започна да крещи нецензурни думи на Мег.,Той й предложи да се омъжи за него.,2
93,"Красива купчина банани, висящи извън обсега ни.","Боби се опита да хвърли обувката си, но тя се заклещи.","Опитал се е да се катери на дървото, но е паднал.","След това яростно ударил с сопа, но тя била твърде къса, за да достигне.","Боби беше разстроен, че е взел бананите.","Боби отиде в бараката да вземе стълба, за да вземе бананите.",2
94,Бет се възстановяваше от болест.,Тя най-накрая е в състояние да яде храна след 4 дни.,"Въпреки че беше по-добре, не беше добре.",Реши да си вземе почивка в петък и да си вземе време да се излекува.,Бет се нуждаеше от почивка.,Бет играеше футбол в свободния си петък.,1
