input_sentence_1;input_sentence_2;input_sentence_3;input_sentence_4;sentence_quiz1;sentence_quiz2;answer_right_ending
གྲོགས་པོ་ཞིག་ཐུག་འཕྲད་དུ་ཡོང་བ་ཡིན། ;ངས་མོའི་ཁྱི་གིས་སོ་བརྒྱབ་པར་སྨྲས་པ་ཡིན། ;མོ་ཡིས་ཉན་མ་སོང་། ;མོ་ཁོ་ལ་འཐེན་ཅིང་རྩེད་མོ་རྒྱབ་པར་བརྩམས་སོ། ;ངའི་ཁྱིས་མོ་ལ་སོ་བརྒྱབ་སོང་། ;ངའི་ཁྱི་དེ་བྲོས་སོང་སོང་། ;1
ལེསི་ཊར་གྱིས་དུས་རྟག་ཏུ་སྒྱུ་རྩལ་གྱི་ལས་ཀ་བྱེད་འདོད་ཡོད། ;ཉིན་ཞིག་མེ་ཏོག་གི་རི་མོ་འབྲི་རྒྱུའི་ཐག་གཅོད་བྱས་པ། ;ཁོང་ཤིང་སྡོང་གི་མདུན་དུ་བསྡད་ནས་རི་མོ་འབྲི་འགོ་ཚུགས་པ་རེད། ;ལེསི་ཊར་གྱི་རི་མོ་དེ་ལེགས་པོ་འདུག ;ཁོང་རང་གི་ཁང་པའི་རྩིག་པར་པར་པར་རིས་དེ་བཏགས་པ་རེད། ;ཁོང་སླར་ཡང་རི་མོ་འབྲི་རྒྱུ་མིན་པར་ཐག་བཅད་པ་རེད། ;1
པཱ་པཱལ་གྱིས་འབུ་ཟ་འདོད་དོ། ;ཁོང་སློབ་གྲྭའི་ནང་འདི་འདྲ་བྱེད་སྟངས་སྐོར་གྱི་དེབ་ཞིག་ཀློག་པ་རེད། ;ཁོང་གིས་དེ་དག་ཁ་སྐྱུར་པོའི་སྣུམ་ནང་བཙོས་པ་རེད། ;ཁོང་ཟླ་རེར་ཐེངས་གཅིག་ལ་ཡང་དེ་ལྟར་བྱེད་འདོད་ཡོད། ;པཱ་པཱལ་གྱིས་འབུ་སྲིན་ལ་དགའ་ཞིང་དེ་དག་ཟས་སུ་སྤྱོད་པར་བྱེད་དོ། ;པཱ་པཱལ་གྱིས་འབུ་སྲིན་ཟ་བ་ལ་དགའ་མི་འདུག ;1
ཀི་ར་ཡིས་རྒྱ་རིགས་ཀྱི་སྲོལ་རྒྱུན་ལ་བརྩེ་བ་ཆེན་པོ་ཡོད། ;མོ་དགའ་བའི་གློག་བརྙན་མང་ཤོས་ནི་ ཇ་པཱན་གྱི་སྐད་དུ་འདུག ;ཁོ་མོ་དེར་འགྲོ་རྒྱུ་ཐག་བཅད་པ་རེད། ;ལོ་མང་པོའི་རིང་མོས་འགྲུལ་བཞུད་ཀྱི་ཆེད་དུ་དངུལ་གསོག་འཇོག་བྱས་པ་ཡིན། ;མོ་ཡིས་དངུལ་ཚང་མ་ལྷམ་ལ་བཏང་། ;དེ་ནི་མོ་རང་གི་མི་ཚེ་ནང་གི་འགྲུལ་སྐྱོད་ཡག་ཤོས་ཞིག་རེད། ;2
གེལ་ནི་འཁྱམས་འགྲོ་བར་སེམས་པ་ཡོད། ;ཁོང་རང་གི་གོས་གྱོན་ཏེ་ཕྱི་རུ་སོང་ངོ་། ;ཁོང་ལམ་དུ་འགྲོ་བཞིན་པའི་སྐབས་རྐང་པ་འདྲེད་ནས་པུས་མོ་ཤོར། ;གེལ་ནི་ཡར་ལངས་ཏེ་རྐང་པ་རྡོག་རྡོག་རྒྱབ་ནས་རང་གི་ཁྱིམ་དུ་ལོག་སོང་། ;གེལ་གྱིས་མ་ར་ཐུན་གྱི་དུས་ཚད་ལེགས་ཤོས་སུ་རྒྱུགས་མྱོང་། ;གེལ་གྱིས་མནའ་སྐྱེལ་བ་ལྟར། ཁོ་ནམ་ཡང་བསྐྱར་དུ་འགྲོ་མི་ཐུབ་པར་རེད། ;2
ཡེ་ཤུས་ཉིན་གང་ཁང་པའི་ཆས་ཆས་ལ་དཀར་ཆག་བཏང་བ་རེད། ;མཚན་མོ་སླེབས་སྐབས་ཁོང་རང་གིས་བྱས་པའི་ལས་ཀ་ལ་ཞིབ་བཤེར་གནང་གི་རེད། ;དངོས་པོ་ཐམས་ཅད་འོད་ཟེར་འཕྲོ་བའི་གསར་དུ་འགྱུར་འདུག ;མཚན་མོ་དེར་སྐྱབས་མགོན་ཡེ་ཤུ་གྱིས་རང་གི་གྲོགས་པོ་ཐམས་ཅད་གསོལ་སྟོན་ལ་བོས་པ་རེད། ;ཁོང་ཚོས་ཁོང་གི་ཁང་པའི་ཆས་ཆས་ཡག་པོ་འདུག་ཅེས་བཤད་ཀྱི་འདུག ;ཁོང་རང་གི་གྲོགས་པོ་རྣམས་ཀྱིས་ཁོང་གི་ཁང་པའི་ཆས་ཆས་རྣམས་བཀྲུས་པ་རེད། ;1
ཉེ་ཆར་ང་ཚོང་ཁང་དུ་འགྲོ་བཞིན་ཡོད། ;ངས་སྒོའི་ལམ་ཞིག་བརྒྱུད་ནས་འགྲོ་སྐབས། ངའི་ལག་པར་ལྕགས་ཀྱི་གྲང་བ་ཤུགས་ཆེན་པོ་ཞིག་འཐེབ་བྱུང་། ;ངས་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་གློ་བུར་དུ་ ;ཊ་པར་གྱི་ཇོ་བདག་གིས་ང་ལ་བརྡུང་བའི་རྗེས་ལ་ཧ་ཅང་བཤགས་པ་ཞུ་གི་འདུག ;ངས་ཁོ་ཚོར་འགྲིག་པ་རེད་ཟེར་ནས་སོང་བ་ཡིན། ;སྣུམ་འཁོར་གྱི་ཇོ་བདག་ང་ལ་ཧ་ཅང་ཁྲོས་སོང་། ;1
གྷི་ནཱ་ཡི་སྲིང་མོ་གིས་ཤེལ་དུམ་བུར་འཐོར་ནས་རྐང་པ་བཅད་འདུག ;ཁྲག་དེ་མོའི་རྐང་པ་ནས་ལྷམ་དེའི་ནང་རྒྱུག་སོང་། ;མོ་ཡིས་ཁྲག་མཐོང་ནས་ཁྱིམ་དུ་རྒྱུགས་སོང་། ;ཇི་ན་མོ་ལ་རྗེས་འདེད་བྱས་ཀྱང་རྗེས་སུ་འབྲང་མ་ཐུབ་པས། ;ཁོང་ཚོ་ཁྱིམ་དུ་ལོག་སྐབས་ཚང་མས་ཁུ་བ་ཇ་འཐུང་གི་འདུག ;གི་ནཱ་ཡི་སྲིང་མོ་སྨན་པར་སོང་བ་རེད། ;2
བུ་ཆུང་ཞིག་སློབ་རིམ་གསུམ་པར་སློབ་གྲྭར་སོང་ཡོད་པ་རེད། ;ཁོང་ཧ་ཅང་རིག་རྩལ་ལྡན་པ་ཡང་། ཀློག་པར་དཀའ་བ་ཞིག་བྱུང་ཡོད། ;ཁོ་སྐད་ཆེན་པོས་ཀློག་སྐབས་སློབ་གྲྭའི་གྲོགས་པོ་རྣམས་ཀྱིས་ཁོ་ལ་འཕྱ་དགོད་བྱས། ;ཉིན་རེར་ཀློག་པའི་སྦྱོང་བརྡར་བྱེད་འགོ་ཚུགས་པ་རེད། ;བུ་ཆུང་བ་དེས་ནམ་ཡང་བསྒྱུར་མི་ཐུབ་པར་ཁས་ལེན་བྱས་པ་ཡིན། ;ལོ་མཇུག་ཏུ་ཁོང་ནི་ཀློག་རྩལ་གྱི་བརྟག་དཔྱད་ལ་ལེགས་པར་གྲུབ་པ་རེད། ;2
རོ་ཛི་ཡི་སློབ་ཕྲུག་རྣམས་དུས་སྟོན་ཆུང་ངུ་ཞིག་བཤམས་བཞིན་འདུག ;མོ་ཡིས་མི་རེ་རེར་ཤིང་འབྲས་གྱི་ཤ་ལུད་བཟོ་རྒྱུའི་ཐག་གཅོད་བྱས་པ་ཡིན། ;མོས་ཤིང་འབྲས་ཉོ་རྒྱུར་དངུལ་མང་པོ་དང་། དུས་ཡུན་མང་པོ་བེད་སྤྱོད་བྱས་ཡོད། ;ཉིན་མོ་དེར་མོས་ཤིང་འབྲས་དཀར་ཡོལ་ཆེན་པོ་ཞིག་འཐེན་ནས་ ;རོ་ཛི་ཡི་སློབ་ཚན་གྱི་མི་རྣམས་ཀྱིས་ཤིང་འབྲས་གྱི་སལ་ཏ་ཟ་བ་རེད། ;རོ་ཛི་གྱིས་ཤིང་འབྲས་གྱི་སལ་ཏ་ཕོར་པ་དེ་ཁྱིམ་དུ་ཡོད་པའི་འཁྱག་རིམས་ནང་དུ་བཞག་ཡོད། ;1
ཀེ་ལིས་རང་གི་ཁ་པར་གསར་པ་ཐོབ་པར་དགའ་པོ་བྱུང་། ;མོ་ཡིས་དེ་མཉམ་དུ་ས་ཆ་གང་སར་འཁྱེར་འགྲོ་གི་རེད། ;སྙིང་རྗེ་ཆེ། མོ་ཡིས་དེ་བཅག་སོང་། ;ཅི་ཙམ་ཡང་མོ་དེ་ལ་བཅོས་ཐུབ་པ་བྱུང་བས་བཀའ་དྲིན་ཆེ། ;ཚོང་ཁང་ནས་མོ་ལ་གོང་ཚད་དྲང་པོ་ཞིག་སྤྲོད་པ་རེད། ;ཀེལ་ལིས་ཁ་པར་གསར་པ་ཉོས་པ་ཡིན། ;1
ང་རང་མཐོ་སློབ་དུ་སློབ་སྦྱོང་བྱེད་བཞིན་པའི་དུས་སུ། ངས་མི་རྒན་ཞིག་དང་ཐུག་འཕྲད་བྱས་པ་ཡིན། ;ང་རང་ལོ་ ༢༢ ཡིན་པ་དང་ཁོང་ནི་ལོ་ ༣༨ ཡིན་པ་ཡིན། ;ང་ཚོ་ཕན་ཚུན་ལ་གོ་རྟོགས་ཡག་པོ་བྱུང་ནས་མཉམ་དུ་དུས་བདེ་པོ་གྲོལ་སོང་། ;ང་དེར་སྡོད་པའི་དུས་ཡུན་ཚང་མ་ཁོང་ཚོ་མཉམ་དུ་བསྡད་ཡོད། ;ངས་དུས་སྐབས་དེ་དྲན་གྱི་ཡོད། ;སྐབས་དེར་ངའི་ཡིད་ལ་མི་བདེ་བའི་དྲན་སྣང་རྣམས་ཡོད། ;1
བོབ་ཀྱིས་སློབ་གྲྭའི་འཁྲབ་སྟོན་ནང་ཞུགས་འདོད་འདུག ;ཁོང་གིས་རྩོམ་ཡིག་དེ་དལ་གྱིས་སྦྱངས་པ་རེད། ;ཁོང་རང་གི་ཚིག་འགྲེལ་ལ་ཡང་ཡང་སྦྱར་བ་བྱས་ཡོད། ;ཚོད་ལྟ་བྱེད་པའི་ཉིན་མོ་དེར་ཁོང་ཧ་ཅང་ལེགས་པོ་འདུག ;བོབ་ནི་སྤོབས་པ་ཆེ་ཞིག་རེད། ;བོབ་ནི་ཧ་ཅང་ངོ་ཚ་བ་ཞིག་རེད། ;1
ཇི་ཀི་ནི་སློབ་རིམ་བརྒྱད་པའི་སློབ་ཕྲུག་ཞིག་ཡིན་འདུག ;སློབ་གྲྭའི་མི་ཚང་མས་མོ་ལ་ཕྲག་དོག་བྱེད་ཀྱི་ཡོད། ;སློབ་གྲྭའི་གྲོགས་པོ་རྣམས་ཀྱིས་མོའི་ལས་ཀ་ལ་ཉེན་ཁ་ཆེན་པོ་གཏོང་གི་ཡོད། ;ཁོང་ཚོས་ཇེ་ཀི་ཡི་ཁང་མིག་གི་ལག་ཁྱེར་རྣམས་རྐུ་བར་བྱེད། ;མདོ་ཆེན་གྱིས་མོའི་སློབ་གྲྭའི་སློབ་ཕྲུག་དྲག་རྩུབ་ཅན་རྣམས་ལས་ཕྱིར་འབུད་བྱས་འདུག ;ཆུང་འདྲིས་སློབ་ཕྲུག་གཞན་རྣམས་རང་གི་སྤྱོད་ལམ་ལ་གཟེངས་རྟགས་ཐོབ་པ། ;1
ངའི་ཕ་ལ་ད་ལྟའི་ཆར་ཤིང་རྟ་གསར་པ་ཞིག་ཐོབ་འདུག ;ང་ཚོ་དུས་སྟོན་སྲུང་བརྩི་ཞུ་བར་སྣེ་འཁོར་ཞིག་བཏང་བ་རེད། ;སྣུམ་འཁོར་གཞན་ཞིག་ནི་ stop sign ཞིག་བརྒྱུད་ནས་ང་ཚོར་བརྡབ་བྱུང་། ;ངས་སྒེའུ་ཁུང་དེ་ལ་ཤུགས་ཆེན་པོ་རྡབ་ནས་དེ་བཅག་པ་ཡིན། ;ངས་ཡར་ལངས་ནས་ངའི་ཕ་དང་ང་གཉིས་བདེ་པོ་ཡོད་ ;ང་ཚོ་གཉིས་ཤིང་རྟ་འཁོར་ལོའི་འོག་ནས་བརྡུང་བ་རེད། ;1
ངའི་ཚ་མོ་ནི་གློག་བརྙན་ Frozen ཟེར་བ་དེ་ཧ་ཅང་དགའ་པོ་འདུག ;མོ་ལ་རྟག་ཏུ་དེ་གྱོན་འདོད་ཀྱི་འདུག ;མོ་ཁྱིམ་ནང་དུ་གླུ་ལེན་བཞིན་འགྲོ་བཞིན་ཡོད། ;མོ་སྐད་ཅོར་བརྒྱབ་པར་དགའ། ;ཁོ་མོས་ཡང་ཡང་གླུ་འདི་ལེན་བཞིན་འདུག ;མོ་ནི་རྩེད་རིགས་ལ་དགའ་ཞིང་རྒྱལ་སྲས་ཀྱི་ལས་ལ་མི་དགའ་བ་རེད། ;1
ཨ་ལེས་རྩེད་ཐང་དུ་འགྲོ་བཞིན་པའི་སྐབས་ཁོང་ཚོའི་སྡེ་ཚན་གྱིས་ སྐུགས་གཉིས་ཐོབ་ཀྱི་མེད། ;ཁོང་གིས་རྟགས་དཔྱད་ཀྱི་སྒྲོམ་ལ་བལྟས་ཏེ་དུས་ཡུན་སྐར་མ་ ༥ ཙམ་ལྷག་ཡོད་པ་མཐོང་ངོ་། ;ཁོང་རང་གི་སེམས་ཀྱིས་རང་སེམས་དལ་བར་བྱེད་པའི་མི་ཞིག་འཚོལ་བཞིན་བསྡད་འདུག ;སྲུང་སྐྱོབ་པ་དག་ནི་ཁོང་གི ་ གྲོགས་པོ་ཁག་ལ་དམ་ཟབ་ལྟར་འཐམས་བཞིན་འདུག ;འབུད་སྒྲ་གྲགས། ཁོང་གི་སྡེ་ཚན་གྱིས་རྩེད་འགྲན་ལ་རྒྱལ་ཁ་ཐོབ། ;ཁོ་ལ་གསུམ་གྱི་རྟགས་རྒྱག་འདོད་ཀྱང་འཕེན་སོང་། ;2
ངས་དཔེ་མཛོད་ཁང་དུ་སོང་ནས་སྡོད་ས་ཞིག་ལེན་པ་ཡིན། ;ངས་ཕྱོགས་བཞིར་བལྟས་པ་ན། བུ་ཞིག་མཐོང་བྱུང་། ;ཁོ་ང་ལ་དུས་ཡུན་རིང་པོར་བལྟས་ནས་བསྡད་དོ། ;ངས་སེམས་ཕམ་བྱུང་ནས་ཡར་ལངས་ཏེ་བསྡད་ས་ནས་ཡར་ལངས་སོང་། ;ངས་ཕྲུ་གུ་ཚོས་གང་བྱས་པ་དེ་ལ་དོ་སྣང་མ་བྱས་པ་ཡིན། ;ངས་ཁོ་ལ་ཁོའི་དཀའ་ངལ་གང་ཡིན་ཞེས་དྲིས་པ་ཡིན། ;2
ཨི་ཝཱ་དང་བྷར་ནཊ་གཉིས་ཕྲུ་གུ་ཞིག་མངལ་དུ་བཙུག་ཐབས་བྱེད་བཞིན་འདུག ;ཁོང་ཚོས་ཟླ་བ་དྲུག་རིང་ལ་འབད་བརྩོན་བྱས་ཀྱང་ཕན་ཐོགས་མེད། ;ཁོང་གཉིས་ཀྱི་སྨན་བཅོས་སྐབས་ཁོང་གཉིས་སེམས་ཕམ་ཡོད་པ་རེད། ;དེ་ནས་ཁོང་ཚོས་སྨན་པ་དེ་ལ་ཁ་བ་ཆེན་པོ་ཞིག་གད་བཞིན་ཡོད་པ་མཐོང་། ;བརན་ཊ་ཀྱིས་བྱིས་པ་ཞིག་འཕྲོག་བཅོམ་བྱེད་པའི་འཆར་གཞི་དེ་ཕྱིར་འབུད་བྱེད་རྒྱུ་ཡིན། ;ཁོང་གཉིས་ཕྲུ་གུ་ཞིག་ཡོད་པར་དགའ་བར་འགྱུར། ;2
