,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
60,Carly sedang menunggu Sam untuk menelefonnya.,Dia janji pada hari Jumaat.,Ia kini lewat Sabtu dan dia tidak mendengar apa-apa.,Akhirnya dia memutuskan untuk menelefonnya.,Sam menjawab telefon.,Carly pesan makanan melalui telefon.,1
61,Amy pulang dari sekolah pada hari jadi beliau ke rumah kosong.,Dia marah kerana semua orang lupa hari istimewa dia.,Dia berjalan sedih ke ruang tamu.,"Tiba-tiba, rakan-rakannya dan keluarganya melompat keluar dari tempat persembunyian mereka.",Amy tersenyum gembira.,Amy keluar dari bilik dan meninggalkan rumah.,1
62,Pan cuba memukul saya tanpa sebab yang jelas.,"Kerana marah, saya hanya membela pukulan dia.",Dia terus melemparkan tinjunya pada saya.,"Dalam usaha untuk menghentikannya, saya melemparkan dia ke tanah.",Pan akhirnya berhenti.,Saya beri Pan pelukan besar.,1
63,Becky ada sepupu bernama Ashley.,Becky dan Ashley pernah menjadi kawan ketika mereka masih kecil.,Ashley mula menjadi bodoh apabila dia membesar.,Dia masuk penjara kerana mencuri tampon dari kedai dolar.,Becky kehilangan hubungan dengannya.,Becky bangga dengan Ashley.,1
64,Bayi Pam dan Tom tidur ringan.,Jiran mereka yang tidak bijak sering meninggalkan anjingnya di luar sambil menggonggong sepanjang hari.,"Setiap kali Pam meletakkan bayinya tidur, anjing itu mula menggonggong.",Pam berangan-angan melepaskan anjing itu supaya ia lari.,"Suatu malam, Pam membiarkan kucingnya masuk ke dalam rumahnya.","Suatu malam, Pam memutuskan untuk melepaskan anjing-anjing itu.",2
65,May diterima ke kolej di Fredonia.,Dia menaiki bas ke sekolah barunya.,Dia meneroka kampus.,Dia suka semua yang dia lihat.,Dia putus sekolah.,Dia suka semua profesornya.,2
66,Mary perlu mengeluarkan gigi.,Dia mahu doktor gigi untuk meletakkan dia tidur.,Dia hanya boleh buatkan kawasan itu mati rasa dengan Novocaine.,Mary memandang kepadanya dengan ngeri.,"Selepas melihat ekspresi wajahnya, doktor gigi itu dapat membantu Mary.",Mary meninggalkan doktor gigi dalam suasana yang hebat.,1
67,Ford bangga dengan purata GPA yang tinggi.,Dia bekerja setiap malam pada tugasan untuk memperbaikinya.,Kawan Ford memberi amaran kepadanya bahawa dia terlepas keseronokan.,"Kemudian dalam kehidupan, Ford menjadi seorang peguam yang berjaya.",Ford sedih kerana dia mencapai begitu banyak.,Ford bangga dengan pencapaian beliau.,2
68,Isteri saya kata saya kurang semangat.,Saya tak ada banyak hobi atau minat.,Saya cuba berdebat tetapi tidak dapat.,Saya sedar dia betul.,Saya memutuskan untuk berubah.,Saya belum berkahwin.,1
69,Nina mahu kostum Halloween yang bagus.,Tapi dia tak mampu beli barang mewah.,Dia mencari-cari idea di rumahnya.,Kemudian dia mendapat kostum yang hebat secara percuma.,Nina beli mainan.,Nina teruja.,2
70,Veronika suka berjalan kaki di hutan.,Suatu hari dia sedang berjalan dan menemui sebuah rumah pokok.,Dia memanjat tangga dan kagum dengan semua barang di rumah.,Ia telah dilengkapi dengan perabot dan selimut.,Veronika tidak suka rumah pokok itu.,Veronika memutuskan untuk melawat rumah pokok lebih kerap.,2
71,Ia adalah hari musim bunga yang indah pada awal Mac.,Tracey memutuskan untuk berjalan-jalan di hutan di belakang rumahnya.,Dia mendengar burung kayu dan mula mencari di pokok-pokok.,Dia tersandung pada akar dan jatuh di jalan.,Tracey berlari pulang.,Tracey menyerah diri.,2
72,Bob sangat dahaga dan mahu soda.,"Malangnya, dia tidak mempunyai wang.",Bob masuk ke stesen minyak dan bertanya jika dia boleh minum soda.,Pengurus bertanya kepadanya jika dia mempunyai wang.,Dia kata tidak dan meninggalkan stesen minyak.,Dia memutuskan untuk berlari.,1
73,Jim sedang menunggu di lapangan terbang.,Isterinya akan berada di sana dalam sejam.,Dia sangat bosan.,Dia kemudian memutuskan untuk mengejar buku beliau.,Jim melihat isterinya selepas sejam.,Jim memandu jauh sebelum isterinya muncul.,1
74,Joe sangat ingin menghadiri Universiti Columbia.,"Dia bekerja keras di sekolah, dia dalam pasukan bola sepak.",Dia dimasukkan dalam senarai menunggu.,"Walaupun dia kecewa, dia cuba yang terbaik hingga akhir.",Joe masih sangat bangga dengan kerja kerasnya.,Joe memutuskan dia tidak mahu pergi ke kolej.,1
75,"Tami, kawan Gina, ada folder yang dia tak mahu orang lain ada.",Gina mahu satu tetapi tidak tahu di mana untuk membeli satu.,Sekarang Tami mempunyai Lisa Frank Trapper Keeper yang baru.,Gina cemburu kerana dia juga mahu satu.,Gina memeriksa di ebay dan mendapati satu dia mampu.,Gina memotong seluruh halaman dan tidak mendapat bantuan daripada sesiapa.,1
76,Leah mempunyai pokok Krismas yang indah di rumahnya.,"Suatu hari, dia pergi ke kedai.","Apabila dia kembali, pokok itu telah digulingkan.",Kucingnya telah memanjatnya dan menariknya ke bawah!,Leah memutuskan dia lebih suka pokok di lantai daripada berdiri.,Leah menghukum kucingnya.,2
77,Peter telah menggunakan kerusi yang sama selama bertahun-tahun.,Ia menjadi usang.,Dia memutuskan untuk membeli kerusi baru yang lebih selesa.,Apabila ia tiba Peter sangat gembira.,Peter fikir ia mungkin lebih selesa daripada yang lama.,Peter membiarkan anjingnya menggunakan kerusi itu untuknya sendiri.,1
78,Rex bersiap untuk pesta malam ini.,Dia sedar dia tidak menyediakan apa-apa untuk tetamu makan dengan keju.,Rex keluar untuk mendapatkan baguette.,Dia mengirisnya menjadi kepingan tipis supaya mudah dimakan.,Rex pergi dalam perjalanan panjang melintasi lautan.,Semua orang menikmati keju dan roti.,2
79,Ali selalu menaiki kereta api untuk pergi bekerja setiap hari.,Suatu hari dia sakit sangat tetapi masih pergi bekerja.,Dia bekerja keras sepanjang hari dan juga membawa kerja ke rumah.,Dia naik kereta api dan tertidur.,Dia seorang pekerja yang malas.,Dia terlepas perhentian dan terpaksa menaiki bas pulang.,2
80,Pasukan bola sepak telah bekerja keras sepanjang musim.,Mereka telah memenangi setiap perlawanan dan berjaya ke kejohanan.,Hanya ada beberapa saat lagi di atas jam dan permainan itu sama.,Quarterback melalui pas panjang dan penerima menjaringkan gol.,Orang ramai menjilat pasukan dengan kuat.,Penonton semua berdiri di tempat duduk mereka dan bertepuk tangan dengan kuat.,2
81,Kami tinggal di sebuah bangunan bertingkat tinggi.,"Suatu hari angin kencang, sebahagiannya disebabkan ketinggian bangunan itu.",Angin meniup dahan pokok begitu banyak isteri saya tidak boleh tidur.,Angin juga menjatuhkan kabel internet.,Saya dan isteri saya sangat tidak gembira kerana kehilangan sambungan internet kami.,Kami suka angin kencang dan kurang tidur.,1
82,Kate mahu membeli papan kekunci baru untuk komputernya.,Dia menyimpan selama berbulan-bulan untuk membeli keyboard yang baik.,Kate akhirnya pergi dalam talian dan memesan papan kekunci!,Dia menunggu dengan bersemangat selama beberapa hari untuk kedatangannya.,Kemudian dia membatalkan pesanan.,Kemudian papan kekunci dia tiba dalam mel.,2
83,Jon lulus dari kolej dan mula mencari kerja.,Dia memohon pekerjaan dalam bidangnya setiap hari.,"Tiga minggu selepas dia mula, dia mendapat panggilan.",Orang yang menelefon bertanya jika dia berminat untuk temuduga.,Jon bersetuju.,Jon menolak tawaran itu.,1
84,Julie suka membaca apa sahaja yang dia boleh mendapatkan tangannya.,Kebanyakan masa dia dihabiskan di perpustakaan.,Perpustakaan kegemaran dia dikendalikan oleh Cik Watson.,Cik Watson melihat Julie suka buku dan menawarkan dia kerja.,Julie dengan senang hati menerima!,Julie menumbuk mata rakannya.,1
85,Keluarga Amy akan ke Six Flags.,Dia duduk dengan sabar di dalam kereta menunggu untuk tiba.,Apabila mereka tiba dia duduk di atas lututnya mengkaji taman.,Dia menunggu dalam barisan selama satu jam untuk menaiki roller coaster terbesar.,Amy sangat teruja untuk berada di taman.,Amy fikir taman itu membosankan.,1
86,Steve tergesa-gesa untuk ke perlawanan bola sepak.,"Di lebuh raya, Steve memandu kereta dia dengan laju.",Peronda jalan raya menghentikan kereta Steve.,Pegawai itu menulis tiket kepada Steve kerana memandu terlalu laju.,Steve gembira.,Steve marah.,2
87,Anak perempuan saya pergi ke parti hari jadi pertamanya untuk seorang kawan.,Dia sangat teruja untuk pergi ke parti.,Dia bercakap tentang apa-apa lagi untuk seminggu.,Dia pergi ke parti dan mempunyai letupan.,Dia memutuskan untuk tidak pergi ke parti lagi.,"Apabila dia pulang ke rumah dia tertidur dengan segera, letih.",2
88,Bob perlukan wang untuk membeli makanan.,Dia sedih kerana dia tidak dapat makan kerana dia tidak mempunyai wang.,Dia memutuskan untuk menulis sebuah buku tentang kehidupan yang sukar.,Orang ramai segera memuji buku itu dan membeli beribu-ribu salinan!,Keuntungan dari jualan buku memberi Bob cukup wang untuk dimakan.,Reaksi orang ramai terhadap buku itu bermakna Bob masih lapar.,1
89,Saya baru sahaja menyelesaikan maraton pertama saya hari ini.,Ia kira-kira enam batu dan saya bekerja keras.,Saya berlatih untuk itu selama kira-kira tiga bulan.,Ia sentiasa berada dalam senarai saya untuk dilakukan dalam hidup,Saya tidak pernah lebih bahagia.,Saya betul-betul kecewa dengan diri saya.,1
90,Bobby melipat buahnya menjadi bentuk pesawat.,Dia luka lengan dan melemparkan roll-up pesawat sekuat yang dia boleh.,"Ia terlalu berat, dan jatuh seperti batu bata.",Bobby memutuskan bahawa pesawat harus dibuat daripada kertas.,Bobby berusia lima tahun.,Bobby berusia 35 tahun.,1
