,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
10,Bob takut hari pertamanya bekerja di restoran makanan cepat saji.,Dia berencana untuk menunggu untuk mengenakan seragam pelaut yang mencolok.,Bob mulai bekerja membuat burger ikan setelah mengenakan seragam.,"Dia begitu sibuk, dia lupa untuk berubah kembali ke pakaian jalanannya",Bob sangat menyukai pakaian itu sehingga ia menunjukkannya kepada teman-temannya.,Bob pergi keluar setelah bekerja mengenakan kostum pelaut.,2
11,Seorang teman datang berkunjung.,Aku bilang padanya bahwa anjingku menggigit.,Dia tidak mendengarkan.,Dia mencoba untuk membelai dan bermain dengannya.,Anjingku menggigitnya.,Anjingku kabur.,1
12,Lester selalu ingin lebih artistik.,Dia memutuskan untuk mencoba menggambar bunga suatu hari.,Dia duduk di depan anggrek yang indah dan mulai menggambar.,Gambar Lester sangat bagus.,Dia menggantung gambar itu di dinding ruang tamu.,Dia memutuskan untuk tidak pernah menggambar apa-apa lagi.,1
13,Pablo suka makan cacing.,Dia membaca buku di sekolah tentang bagaimana melakukan ini.,Dia menggorengnya dalam minyak zaitun.,Dia suka melakukan ini setidaknya sebulan sekali.,Pablo menikmati cacing dan menganggapnya sebagai makanan lezat.,Pablo tidak suka makan cacing.,1
14,Kira selalu mencintai budaya Jepang.,Banyak film favoritnya dalam bahasa Jepang.,Dia memutuskan bahwa dia akan melakukan perjalanan ke sana.,Selama bertahun-tahun dia menabung uang untuk perjalanannya.,Dia menghabiskan semua uangnya untuk sepatu.,Itu adalah perjalanan terbaik dalam hidupnya.,2
15,Glen sedang dalam suasana hati untuk berjalan-jalan.,Dia memakai jaketnya dan pergi ke luar.,"Saat berjalan di trotoar, ia tersandung dan lututnya pecah.",Glen berdiri kembali dan berjalan kembali ke rumahnya.,Glen berlari waktu maraton terbaiknya.,Glen bersumpah dia tidak akan bisa berjalan lagi.,2
16,Jesus menghabiskan hari mengkilat furnitur.,"Saat malam mendekat, dia melihat pekerjaan yang telah dia lakukan.",Semuanya tampak berkilau dan baru.,Yesus mengundang semua temannya untuk pesta malam itu.,Mereka bilang perabotnya terlihat bagus.,Teman-temannya mengkilat perabotnya.,1
17,Aku berjalan ke toko baru-baru ini.,"Saat aku melewati pintu keluar, aku merasakan dingin, besi keras di lenganku.",Saya terkejut karena saya sedang ditabrak mobil!,Sopirnya sangat minta maaf setelah dia melihat aku ditabrak.,Aku bilang tidak apa-apa dan kemudian pergi.,Sopir mobil itu sangat marah padaku.,1
18,Adik Gina memotong pergelangan kakinya dengan pecahan kaca.,Darah mengalir ke kakinya dan ke sepatunya.,Ketika dia melihat darah dia berlari pulang.,"Gina berlari di belakangnya, tapi tidak bisa mengikutinya.",Ketika mereka sampai di rumah mereka semua makan es krim.,Kakak Gina pergi ke dokter.,2
19,Seorang anak laki-laki kecil sedang di kelas tiga.,Dia sangat pintar tapi berjuang dengan membaca.,"Setiap kali ia membaca dengan keras, teman-temannya di kelas menertawakan dia.",Dia mulai berlatih membaca setiap hari.,Anak kecil itu menerima bahwa ia tidak akan pernah membaik.,"Pada akhir tahun, ia berhasil dalam tes membaca.",2
20,Kelas Rosie mengadakan pesta kecil.,Dia memutuskan untuk membuat salad buah untuk semua orang.,Dia menghabiskan banyak uang untuk buah-buahan dan banyak waktu untuk menyiapkannya.,Pada hari pesta dia mengambil mangkuk besar salad buah.,Kelas Rosie berbagi salad buah.,Rosie menyimpan mangkuk salad buah di lemari esnya di rumah.,1
21,Kelly senang memiliki ponsel barunya.,Dia membawanya kemana-mana.,Sayangnya dia menghancurkan itu.,Untungnya dia bisa memperbaikinya.,Toko memberinya harga yang adil untuk memperbaikinya.,Kelly membeli ponsel baru.,1
22,"Saat kuliah, aku bertemu dengan seorang pria yang lebih tua dariku.",Aku berusia 22 tahun dan dia berusia 38 tahun.,Kami memiliki pemahaman yang baik dan memiliki waktu yang baik bersama-sama.,Kami tinggal bersama sepanjang waktu aku di sana.,Saya memiliki kenangan indah tentang masa itu.,Aku punya kenangan negatif dari waktu itu.,1
23,Bob ingin bermain di sekolah.,Dia mempelajari bagian itu dengan hati-hati.,Dia sering berlatih kalimatnya.,"Pada hari audisi, dia melakukan pekerjaan yang hebat.",Bob sangat bangga.,Bob sangat malu.,1
24,Jackie telah ditunjuk sebagai pengawas kelas delapan.,Dia iri hati seluruh kelas.,Teman sekelasnya sering membahayakan pekerjaannya.,Mereka akan mencuri tiket masuk Jackie.,Kepala sekolah menunda teman-temannya yang berisik.,Teman-temannya diberi penghargaan atas perilaku mereka.,1
25,Ayahku baru saja membeli mobil baru.,"Untuk merayakannya, kami pergi berkendara.",Mobil lain melewati tanda berhenti dan menabrak kami.,Aku memukul jendela cukup keras untuk memecahkannya.,Aku keluar dan aku dan ayahku baik-baik saja.,Kami berdua hancur oleh kendaraan.,1
26,Keponakanku suka film Frozen.,Dia selalu ingin memakainya.,Dia berjalan di sekitar rumah bernyanyi.,"Dia suka menjerit ""Biarkan saja"".",Dia menyanyikannya berulang-ulang.,Dia suka olahraga dan benci hal-hal putri.,1
27,"Alex menggiring bola di lapangan, dengan timnya kalah dua poin.","Dia melirik papan skor, dan melihat hanya ada 5 detik tersisa.",Pikirannya berlari saat dia mencoba menemukan pria terbuka.,Para pembela menempel pada rekan-rekannya seperti lem.,Suara bel berbunyi dan timnya memenangkan pertandingan.,Dia mencoba tiga poin dan gagal.,2
28,Aku datang ke perpustakaan dan duduk.,"Ketika aku melihat sekeliling, aku melihat seorang anak.",Dia menatapku sebentar.,Saya menjadi frustrasi dan bangun dari tempat duduk.,Aku tidak keberatan apa yang dilakukan anak itu.,Aku bertanya apa masalahnya.,2
29,Iva dan Brant sedang mencoba untuk hamil.,Mereka telah mencoba selama enam bulan tanpa sukses.,"Pada pertemuan dengan dokter, mereka menyatakan kekecewaan.",Tapi kemudian mereka melihat dokter tersenyum lebar.,Brant akan membatalkan rencananya untuk menculik anak.,Pasangan itu akan senang mengetahui mereka memiliki bayi dalam perjalanan.,2
30,Catherine selalu tertarik dengan olahraga Curling.,Catherine suka menonton atlet bermain olahraga di televisi.,"Suatu hari, Catherine memutuskan untuk mengunjungi sesi latihan Curling.","Pada latihan, salah satu atlet mengundang Catherine untuk bermain.",Catherine mulai berlatih setiap hari dan menjadi mahir.,Catherine pikir curling terlihat membosankan.,1
31,Francis selalu ingin belajar mengemudi.,Akhirnya dia cukup dewasa untuk mendapatkan SIM.,Francis belajar sangat keras untuk mendapatkan lisensi.,Dia lulus ujian mengemudi dengan mudah.,Francis benar-benar bangga dengan prestasinya.,Francis memutuskan dia lebih suka menggunakan transportasi umum.,1
32,Kemarin aku senang sekali menonton The Nutcracker.,Aku benar-benar menyukainya.,Saat para penari menghiasi panggung itu indah.,Aku merasa terhormat bisa melihat pertunjukan itu.,Aku bersumpah untuk tidak pernah melihatnya lagi.,Aku ingin melihatnya lagi.,2
33,Aku bangun untuk kelasku jam 8:30 pagi.,Saya mengantuk bangun dari tempat tidur dan mandi.,Saya cepat-cepat sarapan dan mulai berjalan ke kelas.,"Setelah 50 menit kelas, saya mulai berjalan kembali ke asrama saya.",Aku memutuskan untuk kembali ke kelas lagi.,"Ketika aku sampai di sana, aku tidur siang.",2
34,Gary ingin menarik perhatian Lisa.,Suatu hari dia memutuskan untuk menulis sebuah puisi untuk Lisa.,"Keesokan harinya di sekolah, Gary melihat Lisa di lorong.",Gary tersenyum lebar dan menyerahkan puisi itu.,"Gary menampar Lisa keras, dan berjalan pergi.",Lisa mengaku dia juga naksir Gary.,2
35,Carlos selalu ingin mengunjungi Perancis.,Dia memutuskan bahwa dia harus belajar berbicara bahasa Prancis sebelum dia pergi.,Dia mendaftar di kelas malam dan belajar sangat keras.,Carlos akhirnya bisa berbicara bahasa Perancis dengan baik.,Carlos memesan penerbangan ke Australia.,Carlos memanfaatkan bahasa Prancisnya saat perjalanan ke Paris.,2
36,Lars selalu ingin mencoba fotografi.,"Teman-temannya adalah fotografer yang sangat baik, tapi dia tidak pernah mencoba.","Suatu hari ia membeli sebuah kamera sederhana, namun berkualitas tinggi.","Sejak hari itu, Lars mengambil gambar alam setiap hari.",Lars jatuh cinta dengan fotografi.,Lars membenci fotografi.,1
37,Aku membeli televisi dari toko elektronik.,Ini adalah layar datar besar dengan kualitas gambar definisi tinggi.,"Karyawan itu meyakinkanku untuk membeli garansi untuk itu, untuk berjaga-jaga.",Seminggu kemudian televisi jatuh dari dinding rumahku dan rusak.,Aku bisa memperbaikinya dengan garansi.,Karyawan itu kemudian ditemukan tewas.,1
38,Ryan berada di taman.,Dan dia melihat seorang gadis kecil memegang balon.,"Saat ia meninggalkan taman, ia melihat balon yang sama terjebak di pohon.",Dia memanjat pohon untuk mengambil balon.,Ryan kemudian meledakkan balon dengan sengaja.,Ryan kemudian menemukan gadis itu dan memberinya balon yang hilang.,2
39,Manajer Jen memberitahunya dia perlu mengunggah resume-nya.,Dia menyadari resume nya tidak diformat dengan benar.,Dia mentransfer semua konten ke template yang tepat.,"Menambahkan informasi tentang pekerjaan terakhirnya, dia memperbarui resume.",Lalu dia mengirimnya ke manajernya.,Jen benci mencuci piring.,1
40,Neil sedang berkeliling kota Fez.,Dia mencicipi masakan etnis mereka.,Lalu dia pergi membeli suvenir.,"Fez juga memiliki seniman jalanan yang hebat, katanya.",Neil memiliki waktu yang hebat.,Neil dan Fez menjadi teman baik.,1
41,Aku perlu untuk membawa anjingku berjalan-jalan.,Lingkunganku membutuhkan tali.,Aku mencari tali di rumahku.,Aku tidak bisa menemukannya.,Aku memutuskan untuk membawa anjingku ke halaman belakang.,Aku membiarkan anjingku masuk ke dalam rumah.,1
42,Hari itu cerah dan hangat.,Jadi Joe pikir akan menyenangkan untuk berjalan-jalan.,Dia memutuskan untuk berjalan ke kedai kopi lokalnya.,"Tapi setengah jalan, dia mulai lelah.",Jadi dia berlari ke kedai kopi.,Joe menyesal pergi ke luar.,2
43,Jen menunggu paket sepanjang hari.,Akhirnya dia melihat orang UPS berjalan ke pintu.,Dia memberikan paket dan dia membawanya ke dalam.,Dia membuka paket dengan pisau.,Di dalam kotak itu ada bayi yang baru lahir.,Jen menemukan mantel barunya di dalam paket.,2
44,Frank tidak mau mengerjakan PR-nya.,Dia ingin bermain video game sebagai gantinya.,Orang tua Frank menyuruhnya untuk mengerjakan PR-nya dulu.,Frank membuat tantrum dan dihukum.,Frank kehilangan video game-nya selama seminggu.,Frank punya permainan baru.,1
45,Timmy berkompetisi dalam kompetisi 3 poin di sekolahnya.,Pemenang akan memiliki kesempatan untuk memenangkan beasiswa kuliah $ 1000.,Timmy berlatih menembak 3 poin sepanjang akhir pekan.,Dia sudah siap saat hari kompetisi tiba.,Timmy memenangkan kompetisi.,Timmy pergi ke lapangan mengemudi hari kompetisi.,1
46,Drake menghadiri pesta pada hari Jumat.,Dia menemukan bahwa dompetnya telah dicuri dari mantelnya.,"Drake segera menghubungi polisi, tapi dompetnya tidak ditemukan.",Drake berhadapan dengan tuan rumah pesta tentang masalah ini.,Dan tuan rumah mengatakan kepadanya bahwa ia tidak tahu baik.,Drake mengatakan kepada tuan rumah bahwa dia ingin menghadiri pesta-pesta nya lagi.,1
47,Bob menemukan truknya memiliki ban yang bocor.,Dia belum pernah mengganti ban sebelumnya.,Dia mengeluarkan jack ban dan besi.,Dia tidak bisa melepas bautnya.,Bob memanggil seseorang untuk memperbaiki ban yang pecah.,Bob mengendarai truknya ke pasar.,1
48,Jack lelah menulis email di komputer tabletnya.,Dia memutuskan dia perlu berinvestasi di laptop.,Dia meneliti berbagai laptop sampai menemukan yang sempurna.,Akhirnya dia membelinya.,Sekarang Jack benar-benar menikmati menjawab email.,Jack sekarang menggunakan layanan pos bukan email.,1
49,Rambut Jake semakin panjang.,Dia punya wawancara kerja yang akan datang.,Dia meminta ibunya untuk memotong rambutnya.,Ibunya memberinya potongan rambut yang terlihat profesional.,Jake mencuci tangannya.,Jake mendapat pekerjaan.,2
50,Sean datang hari ini.,"Sam, Sean, dan aku bermain game.",Mereka mulai marah padaku tentang betapa buruknya aku.,Mereka bilang aku tak bisa bermain lagi sampai aku sembuh.,Aku benar-benar terluka.,Aku sangat senang.,1
51,Sarah ingin mengirim kartu.,Dia pergi ke kantor pos.,Dia membayar untuk perangko.,Dia menaruh surat itu dalam amplop.,Sarah sendiri yang menyampaikan suratnya.,Surat Sarah segera menuju ke tempat tujuan.,2
52,Chuck lelah karena bekerja.,Dia menutup pekerjaannya untuk sementara waktu.,Dia membuka forum untuk mengobrol dengan rekan kerja.,"Setelah Zoltar memukulnya, dia butuh istirahat.",Chuck memutuskan untuk berhenti dari pekerjaannya.,Ia kemudian merasa terdorong untuk kembali bekerja.,2
53,Bob menggunakan kantong plastik untuk belanja.,"Lalu, temannya mengatakan bahwa plastik buruk bagi lingkungan.",Bob memutuskan untuk tidak menggunakan kantong plastiknya.,Bob berinvestasi dalam beberapa tas belanjaan yang dapat digunakan kembali.,Bob menggunakan tas belanjaannya untuk berbelanja.,Bob terus menggunakan kantong plastik untuk belanja.,1
54,Joe perlu mendapatkan potret dirinya untuk sebuah proyek.,Dia menelepon beberapa seniman lokal dan bertanya harga mereka.,Salah satu artis memiliki harga yang wajar.,Joe membuat janji dengan artis itu untuk membuat potret.,Joe sangat puas dengan hasilnya.,Artis melukis kucing Joe.,1
55,Ann mencoba berhenti merokok.,Dia membuat beberapa upaya tetapi selalu gagal.,Lalu dia menggunakan plester nikotin untuk membantunya.,Dan bantu dia melakukannya!,Ann menggandakan jumlah rokok yang dia merokok setiap hari.,Ann berhasil berhenti merokok.,2
56,Jen dikirim ke bibinya untuk musim panas.,Dia benci memikirkan untuk pergi dari perpustakaan setempat sepanjang musim panas.,Dia membawa beberapa buku dengannya tapi dia akan pergi melalui mereka dengan cepat.,"Ketika ia tiba, bibinya membawanya ke sebuah ruangan khusus di rumahnya.",Jen melihat bukunya terbakar di perapian.,Ruang itu penuh dengan rak buku yang menarik bagi para gadis.,2
57,Kemarin Rob membersihkan giginya.,Dia biasanya sangat takut pada dokter gigi.,Tapi ada perawat baru yang lucu di kantor.,Jadi dia sangat bersemangat untuk pergi.,Rob merasa segar setelah kolonoskopi nya.,Rob kecewa ketika perawat lucu tidak ada hari itu.,2
58,Joe suka makan kotoran.,Dia akan membuat kue lumpur setiap kesempatan yang dia dapatkan.,Dia sedang makan pai ketika dia merasakan sesuatu yang sangat keras di mulutnya.,Joe menggigit batu dan gigi-nya terputus.,Joe ingin mengunyah lebih banyak batu.,Joe memutuskan untuk tidak makan kotoran lagi.,2
59,Rob belum pernah naik rollercoaster.,Teman-temannya menawarkan tiket gratis ke Six Flags.,Rob memutuskan dia bisa bergabung.,Mereka semua pergi dan menunggu antrian panjang.,Rob punya teman yang murah hati.,Teman-teman Rob tidak berpikir.,1
60,Carly sedang menunggu Sam untuk meneleponnya.,Dia berjanji pada hari Jumat.,Sekarang sudah larut Sabtu dan dia tidak mendengar apa-apa.,Akhirnya dia memutuskan untuk meneleponnya.,Sam menjawab telepon.,Carly memesan makanan lewat telepon.,1
61,Amy pulang dari sekolah pada hari ulang tahunnya ke rumah kosong.,Dia marah karena semua orang lupa hari spesialnya.,Dia berjalan sedih ke ruang tamu.,"Tiba-tiba, teman-temannya dan keluarganya melompat keluar dari tempat persembunyian mereka.",Amy tersenyum dengan senang hati.,Amy keluar dari kamar dan meninggalkan rumah.,1
62,Pan mencoba memukulku tanpa alasan yang jelas.,"Karena marah, aku hanya membela pukulan dia.",Dia terus melempar tinjunya padaku.,"Dalam upaya untuk menghentikannya, saya melemparkannya ke tanah.",Pan akhirnya berhenti.,Aku memeluk Pan.,1
63,Becky punya sepupu bernama Ashley.,Becky dan Ashley dulu berteman saat mereka masih kecil.,Ashley mulai menjadi bodoh saat dia tumbuh dewasa.,Dia masuk penjara karena mencuri tampon dari toko dolar.,Becky kehilangan kontak dengannya.,Becky bangga dengan Ashley.,1
64,Bayi Pam dan Tom tidur nyenyak.,Tetangga mereka yang tidak bijaksana sering meninggalkan anjingnya di luar sambil menggonggong sepanjang hari.,"Setiap kali Pam membuat bayinya tidur, anjingnya mulai menggonggong.",Pam berfantasi tentang melepaskan anjing itu sehingga ia akan lari.,"Suatu malam, Pam membiarkan kucing-kucingnya masuk ke rumahnya.","Suatu malam, Pam memutuskan untuk melepaskan anjing-anjing itu.",2
65,May diterima di perguruan tinggi di Fredonia.,Dia naik bus ke sekolah barunya.,Dia menjelajahi kampus.,Dia menyukai semua yang dilihatnya.,Dia putus sekolah.,Dia bahkan menyukai semua dosennya.,2
66,Mary perlu mengeluarkan giginya.,Dia ingin dokter gigi untuk menidurinya.,Yang bisa dia lakukan adalah membuat area mati rasa dengan Novocaine.,Mary menatapnya dengan ngeri.,"Setelah melihat ekspresi wajahnya, dokter gigi itu dapat membantu Mary.",Mary meninggalkan dokter gigi dengan suasana hati yang baik.,1
67,Ford bangga dengan GPA yang tinggi.,Dia bekerja setiap malam pada tugas untuk meningkatkan itu.,Teman Ford memperingatkannya bahwa ia kehilangan kesenangan.,"Kemudian dalam hidupnya, Ford menjadi pengacara yang sukses.",Ford sedih karena dia mencapai begitu banyak.,Ford bangga dengan prestasinya.,2
68,Istriku bilang aku kurang gairah.,Bahwa aku tidak punya banyak hobi atau minat.,Aku mencoba untuk berdebat tapi tidak bisa.,Aku sadar dia benar.,Aku memutuskan untuk berubah.,Aku belum menikah.,1
69,Nina ingin kostum Halloween yang bagus.,Tapi dia tidak mampu membeli apapun yang mewah.,Dia mencari ide di rumahnya.,Lalu dia menemukan kostum yang bagus secara gratis.,Nina membeli mainan.,Nina sangat bersemangat.,2
70,Veronika suka hiking di hutan.,Suatu hari dia sedang berjalan dan menemukan sebuah rumah pohon.,Dia memanjat tangga dan kagum dengan semua barang di rumah.,Itu dilengkapi dengan perabotan dan selimut.,Veronika tidak suka rumah pohon itu.,Veronika memutuskan untuk mengunjungi rumah pohon lebih sering.,2
71,Itu adalah hari musim semi yang indah di awal Maret.,Tracey memutuskan untuk berjalan-jalan di hutan di belakang rumahnya.,Dia mendengar burung burung dan mulai mencari di pohon-pohon.,Dia tersandung akar dan jatuh di jalan.,Tracey berlari pulang.,Tracey menyerah saat jatuh.,2
72,Bob sangat haus dan ingin soda.,"Sayangnya, dia tidak punya uang.",Bob berjalan ke sebuah pompa bensin dan bertanya apakah dia bisa memiliki soda.,Kasir bertanya apakah dia punya uang.,Dia bilang tidak dan meninggalkan pompa bensin.,Dia memutuskan untuk berlari.,1
73,Jim sedang menunggu di bandara.,Istrinya akan berada di sana dalam satu jam.,Dia sangat bosan.,Dia kemudian memutuskan untuk mengejar ketertinggalan dengan bukunya.,Jim melihat istrinya setelah satu jam.,Jim pergi sebelum istrinya muncul.,1
74,Joe benar-benar ingin menghadiri Universitas Columbia.,"Dia bekerja sangat keras di sekolah, berada di tim sepak bola.",Dia masuk daftar tunggu.,"Meskipun dia kecewa, dia berusaha sebaik mungkin sampai akhir.",Joe masih sangat bangga dengan kerja kerasnya.,Joe memutuskan dia tidak ingin pergi ke perguruan tinggi.,1
75,"Tami, teman Gina, punya folder yang tidak ingin orang lain punya.",Gina ingin satu tapi tidak tahu di mana untuk membeli satu.,Sekarang Tami memiliki Lisa Frank Trapper Keeper yang baru.,Gina cemburu karena dia juga ingin satu.,Gina memeriksa di ebay dan menemukan satu dia mampu.,Gina memotong seluruh halaman dan tidak memiliki bantuan dari siapa pun.,1
76,Leah memiliki pohon Natal yang indah di rumahnya.,"Suatu hari, dia pergi ke toko.","Ketika dia kembali, pohon itu terguling.",Kucingnya memanjatnya dan menariknya turun!,Leah memutuskan dia lebih suka pohon di lantai daripada berdiri.,Leah menghukum kucingnya.,2
77,Peter telah menggunakan kursi yang sama selama bertahun-tahun.,Itu mulai usang.,Dia memutuskan untuk membeli kursi baru yang lebih nyaman.,"Ketika sampai, Peter sangat senang.",Peter pikir mungkin lebih nyaman dari yang lama.,Peter membiarkan anjingnya menggunakan kursi untuk dirinya sendiri.,1
78,Rex bersiap untuk pesta malam ini.,Dia menyadari bahwa dia tidak menyiapkan apa pun untuk para tamu untuk dimakan dengan keju.,Rex keluar untuk mendapatkan baguette.,Dia mengirisnya menjadi potongan tipis agar mudah dimakan.,Rex pergi dalam perjalanan panjang melintasi lautan.,Semua orang menikmati keju dan roti.,2
79,Ali selalu naik kereta api untuk pergi bekerja setiap hari.,"Suatu hari, ia sakit parah, tapi tetap saja pergi bekerja.",Dia bekerja keras sepanjang hari dan bahkan membawa pekerjaan ke rumah.,Dia naik kereta dan tertidur.,Dia adalah karyawan yang malas.,Dia melewatkan perhentiannya dan harus naik bus pulang.,2
80,Tim sepak bola telah bekerja keras sepanjang musim.,Mereka telah memenangkan setiap pertandingan dan berhasil ke kejuaraan.,Hanya ada beberapa detik tersisa di jam dan permainan itu sama.,Quarterback melalui umpan panjang dan penerima mencetak gol.,Orang banyak memaki tim dengan keras.,Semua orang berdiri dari tempat duduk mereka dan bertepuk tangan dengan keras.,2
81,Kami tinggal di gedung tinggi.,"Suatu hari angin kencang, sebagian karena ketinggian bangunan.",Angin bertiup cabang pohon begitu banyak istri saya tidak bisa tidur.,Angin juga menjatuhkan kabel internet.,Aku dan istriku sangat tidak senang kehilangan koneksi internet kami.,Kami menyukai angin kencang dan kurang tidur.,1
82,Kate ingin membeli keyboard baru untuk komputernya.,Dia menabung berbulan-bulan untuk membeli keyboard yang bagus.,Kate akhirnya online dan memesan keyboardnya!,Dia menunggu dengan bersemangat selama berhari-hari untuk kedatangannya.,Lalu dia membatalkan pesanan.,Lalu keyboardnya tiba di pos.,2
83,Jon lulus dari perguruan tinggi dan mulai mencari pekerjaan.,Dia mengajukan pekerjaan di bidangnya setiap hari.,"Tiga minggu setelah dia mulai, dia mendapat telepon.",Orang yang menelepon bertanya apakah dia akan tertarik untuk wawancara.,Jon menerima.,Jon menolak tawaran itu.,1
84,Julie suka membaca apa saja yang bisa dia dapatkan.,Sebagian besar waktunya dihabiskan di perpustakaan.,Perpustakaan favoritnya dikelola oleh Nona Watson.,Nona Watson melihat cinta Julie untuk buku dan menawarkan pekerjaan.,Julie dengan senang hati menerima!,Julie menampar matanya.,1
85,Keluarga Amy akan pergi ke Six Flags.,Dia duduk dengan sabar di mobil menunggu untuk tiba.,Ketika mereka tiba dia duduk di lututnya mengamati taman.,Dia menunggu berbaris selama satu jam untuk naik roller coaster terbesar.,Amy sangat senang berada di taman.,Amy pikir taman itu membosankan.,1
86,Steve terburu-buru untuk pergi ke pertandingan sepak bola.,"Di jalan raya, Steve mengendarai mobilnya dengan sangat cepat.",Patrol jalan raya menghentikan mobil Steve.,Petugas itu memberi Steve tiket karena terlalu cepat.,Steve senang.,Steve marah.,2
87,Putriku pergi ke pesta ulang tahun pertamanya untuk seorang teman.,Dia sangat bersemangat menuju ke pesta.,Dia tidak berbicara tentang hal lain selama seminggu.,Dia pergi ke pesta dan bersenang-senang.,Dia memutuskan untuk tidak pernah pergi ke pesta lagi.,"Ketika dia pulang dia langsung tertidur, kelelahan.",2
88,Bob membutuhkan uang untuk membeli makanan.,Dia sedih karena tidak bisa makan karena tidak punya uang.,Dia memutuskan untuk menulis buku tentang hidupnya yang sulit.,Orang-orang langsung memuji buku itu dan membeli ribuan eksemplar!,Keuntungan dari penjualan buku memberi Bob cukup uang untuk makan.,Reaksi publik terhadap buku itu berarti Bob masih kelaparan.,1
89,Aku baru saja menyelesaikan maraton pertamaku hari ini.,Itu sekitar enam mil dan aku bekerja keras.,Aku berlatih selama sekitar tiga bulan.,Itu selalu ada dalam daftar tugasku dalam hidup.,Aku tak pernah bahagia seperti ini.,Aku benar-benar kecewa pada diriku sendiri.,1
90,Bobby melipat buahnya menjadi bentuk pesawat.,Dia melukai lengannya dan melemparkan pesawat roll-up sekuat yang dia bisa.,"Itu terlalu berat, dan jatuh seperti batu bata.",Bobby memutuskan bahwa pesawat harus dibuat dari kertas.,Bobby berusia lima tahun.,Bobby berusia 35 tahun.,1
91,Sam sedang melihat bintang suatu malam.,Tiba-tiba dia duduk bolt tegak.,"Dia melihat bintang berkilau, bergerak!",Dia berlari untuk menunjukkannya kepada ayahnya.,Ayahnya tertawa karena bintang itu benar-benar jet dengan lampu.,Ayah Sam senang anaknya tertarik pada geologi.,1
