,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
22,"Когда я училась в колледже, я встретила пожилого мужчину.","Мне было 22, а ему 38.",Мы хорошо понимали друг друга и хорошо проводили время вместе.,"Мы были вместе все время, пока я была там.",У меня есть приятные воспоминания о том времени.,У меня есть негативные воспоминания о том времени.,1
23,Боб хотел быть в школьном спектакле.,Он тщательно изучил роль.,Он часто репетировал свои реплики.,В день прослушивания он отлично справился.,Боб был очень горд.,Боб очень стыдился.,1
24,Джеки назначена наблюдателем за ходом в восьмом классе.,Она завидуется всему классу.,Ее одноклассники часто подвергали ее работе опасности.,Они украли бы пропуск Джеки.,Директор отстранил от занятий ее шумных одноклассников.,Ее одноклассники получили награды за свое поведение.,1
25,Мой отец только что купил новую машину.,"Чтобы отпраздновать, мы все пошли на прогулку.","Другая машина проехала знак ""стоп"" и врезалась в нас.","Я ударил окно достаточно сильно, чтобы его разбить.",Я вылез и мы с папой были в порядке.,Мы оба были сбиты машиной.,1
26,"Моя племянница обожает фильм ""Замороженный"".","Она всегда хочет, чтобы его надевали.",Она ходит по дому и поёт.,"Она любит кричать ""Оставь это"".",Она поет его снова и снова.,"Она любит спорт и ненавидит все, что связано с принцессой.",1
27,"Алекс дриблировал по площадке, его команда проигрывала на два очка.","Он взглянул на табло и увидел, что осталось всего 5 секунд.",Его ум не мог найти открытого человека.,Защитники приклеивались к его товарищам как клей.,"Звонок зазвонил, и его команда выиграла игру.",Он пытался забить тройку и промахнулся.,2
28,Я вошёл в библиотеку и сел.,"Когда я огляделся, я заметил ребенка.",Он долго пялился на меня.,Я расстроился и встал с места.,"Мне было все равно, что делает ребенок.","Я спросил его, в чем проблема.",2
29,Ива и Брант пытались зачать ребенка.,"Они пытались это сделать в течение шести месяцев, но безрезультатно.",На встрече с врачом они выразили разочарование.,Но потом они увидели врача с широкой улыбкой.,Брант отменит свои планы похитить ребенка.,"Пара будет рада узнать, что у них на пути ребенок.",2
30,Кэтрин всегда интересовалась спортом - керлинг.,"Кэтрин любит смотреть спортсменов, играющих в спорт по телевизору.",Однажды Кэтрин решила посетить тренировку по керлингу.,На тренировке один из спортсменов пригласил Кэтрин играть.,Затем Кэтрин начала практиковаться каждый день и стала хорошо в этом разбираться.,"Кэтрин считала, что керлинг выглядит скучно.",1
31,"Фрэнсис всегда с нетерпением ждал, когда научится водить машину.","Наконец-то он достаточно взрослый, чтобы получить водительские права.","Фрэнсис усердно учится, чтобы получить лицензию.",Он легко сдаёт экзамен на водителя.,Фрэнсис очень гордится своим достижением.,"Франциск решил, что лучше воспользуется общественным транспортом.",1
32,"Вчера я отлично провел время, глядя ""Щелкунчик"".",Мне это очень понравилось.,"Танцоры украшали сцену, и все было прекрасно.",Я чувствовал себя удостоенным видеть шоу.,Я поклялся больше никогда его не видеть.,Я хотел увидеть его снова.,2
33,Я проснулся для занятий в 8:30 утра.,Я сонливо встал с постели и принял душ.,Я быстро позавтракал и начал идти в класс.,После 50 минут занятий я начал возвращаться в свой общежитие.,Я решил вернуться в класс.,"Когда я приехал, я вздремнул.",2
34,Гэри хотел привлечь внимание Лизы.,Однажды он решил написать Лизе стихотворение.,На следующий день в школе Гари видит Лизу в коридоре.,Гэри улыбается Лизе и передает ей стихотворение.,Гэри ударил Лизу и ушел.,"Лиза признается, что она тоже влюблена в Гэри.",2
35,Карлос всегда хотел посетить Францию.,"Он решил, что ему надо научиться говорить по-французски, прежде чем уйти.",Он записывается на вечерние занятия и очень усердно учится.,Наконец-то Карлос хорошо говорит по-французски.,Карлос забронировал рейс в Австралию.,Карлос максимально использует свой французский во время поездки в Париж.,2
36,Ларс всегда хотел попробовать фотографию.,"Его друг был отличным фотографом, но он никогда не пробовал.","Однажды он купил простую, но высококачественную камеру.",С этого дня Ларс каждый день снимал природу.,Ларс влюбился в фотографию.,Ларс ненавидел фотографию.,1
37,Я купил телевизор в магазине электроники.,Это большой экран с высоким качеством изображения.,Сотрудник убедил меня купить гарантии на него на всякий случай.,Через неделю телевизор упал с моей стены и сломался.,Я смог починить его с гарантии.,Сотрудник был позже найден мертвым.,1
38,Райан был в парке.,И он увидел маленькую девочку с воздушным шаром.,"Когда он покидал парк, он увидел тот же самый шарик, застрявший на дереве.","Он залез на дерево, чтобы забрать воздушный шар.",Райан специально разбил воздушный шар.,Райан нашел девушку и дал ей потерянный воздушный шар.,2
39,"Менеджер Джен сказал ей, что ей нужно загрузить резюме.","Она поняла, что ее резюме не было правильно отформатировано.",Она перенесла весь контент на правильный шаблон.,"Добавив информацию о своей последней работе, она обновила резюме.",Потом она отправила его своему менеджеру.,Джен ненавидела мыть посуду.,1
40,Нил ездил по городу Фес.,Он попробовал их национальную кухню.,Потом он пошел покупать сувениры.,"Он отметил, что в Фес также были отличные уличные артисты.",Нил отлично провел время.,Нил и Фез стали лучшими друзьями.,1
41,Мне нужно было вывести собаку на прогулку.,В моем районе требуется поводок.,Я искал по домам поводок.,Я не смог найти его.,Я решил вывести свою собаку на задний двор.,Я пустил свою собаку в дом.,1
42,"Был яркий, теплый день.","Джо подумал, что было бы неплохо прогуляться.",Он решил пойти пешком в местное кафе.,Но на полпути он начал уставать.,Он побежал в кафе.,"Джо сожалеет, что вышел на улицу.",2
43,Джен весь день ждала посылку.,"Наконец она увидела, как человек из UPS подходит к двери.","Он доставил посылку, а она принесла ее внутрь.",Она открыла пакет ножом.,В коробке был новорожденный ребенок.,Джен нашла свое новое пальто внутри пакета.,2
44,Фрэнк не хотел делать домашнее задание.,Он хотел играть в видеоигры.,Родители Фрэнка сказали ему сначала сделать домашнее задание.,Фрэнк впал в истерику и получил наказание.,Фрэнк потерял свои видеоигры на неделю.,Фрэнк получил новую игру.,1
45,Тимми участвовал в соревнованиях по тройке в своей школе.,Победитель получит шанс выиграть стипендию в 1000 долларов.,Тимми тренировался стрелять в три очка весь уик-энд.,"Он был готов, когда пришел день соревнований.",Тимми выиграл конкурс.,Тими пошел на гоночную площадку в день соревнований.,1
46,Дрейк был на вечеринке в пятницу.,"Он обнаружил, что у него украли кошелек из пальто.","Дрейк немедленно вызвал полицию, но кошелек так и не был найден.",Дрейк обратился к хозяину вечеринки с этим вопросом.,"И хозяин сказал ему, что он тоже не знает.","Дрейк сказал хозяину, что хочет снова посещать его вечеринки.",1
47,"Боб обнаружил, что у его грузовика пробоин.",Он никогда раньше не менял шину.,Он достал джак и подшипник.,Он не смог снять болты.,"Боб вызвал кого-то, чтобы починить его пробоенную шину.",Боб поехал на своем грузовике на рынок.,1
48,Джеку надоело писать электронные письма на своём планшетном компьютере.,"Он решил, что ему нужно вложить деньги в ноутбук.","Он исследует различные ноутбуки, пока не найдет идеальный.",Наконец-то он купился.,Теперь Джек на самом деле любит отвечать на письма.,Джек теперь пользуется почтовой службой вместо электронной почты.,1
49,Волосы Джейка стали слишком длинными.,У него скоро будет собеседование.,Он попросил свою мать подстричь ему волосы.,"Его мать сделала ему красивую, профессионально выглядящую стрижку.",Джейк вымыл руки.,Джейк получил работу.,2
50,Шон сегодня зашел.,"Сэм, Шон и я играли в игры.","Они начали злиться на меня из-за того, насколько я плоха.","Они сказали, что я не могу больше играть, пока мне не станет лучше.",Мне было очень больно.,Я был очень рад.,1
51,Сара хотела отправить открытку.,Она пошла на почту.,Она платила за марки.,Она положила письмо в конверт.,Сара сама доставила письмо.,Письмо Сары скоро отправилось к месту назначения.,2
52,Чак устал от работы.,Он закрыл свою работу на некоторое время.,"Он открыл форум, чтобы поболтать с коллегами.",После этих неприятных ударов Золтара ему нужен был перерыв.,Чак решил бросить работу.,"Затем он почувствовал, что должен вернуться к работе.",2
53,Боб использовал пластиковые пакеты для покупок.,"Тогда его друг сказал ему, что пластик вреден для окружающей среды.",Боб решил отказаться от пластиковых пакетов.,Боб вложил деньги в несколько многоразовых пакетов для покупки продуктов.,Боб использовал свои многоразовые пакеты для покупок.,Боб продолжал использовать свои пластиковые пакеты для покупок.,1
54,Джо нужно было сделать портрет себя для проекта.,Он позвонил местным артистам и спросил их цены.,У одного из художников были разумные цены.,"Джо назначил встречу с художником, чтобы сделать портрет.",Джо был очень доволен результатами.,Художник нарисовал кота Джо.,1
55,Энн пыталась бросить курить.,"Она делала несколько попыток, но всегда терпела неудачу.",Затем она обратилась за помощью к никотиновым пластырям.,И помог ей!,"Энн удвоила количество сигарет, которые она курила каждый день.",Энн смогла бросить курить.,2
56,Джен отправили к ее тете на лето.,"Она ненавидела мысль о том, чтобы быть вдали от своей местной библиотеки все лето.","Она взяла с собой несколько книг, но быстро их прочела.","Когда она приехала, ее тетя отвела ее в особую комнату в своем доме.","Джен видела, как ее книги горели в камине.","В комнате были полные полки книг, которые нравились девушкам.",2
57,Вчера у Роба была чистка зубов.,Он обычно очень боится стоматологов.,Но в офисе есть новая милая медсестра.,Он был рад пойти.,Роб почувствовал себя свежим после колоноскопии.,"Роб был расстроен, когда милую медсестру не было в тот день.",2
58,Джо любил есть грязь.,Он делал грязевые пироги при каждом удобном случае.,"Он ел пирог, когда почувствовал что-то очень твердое во рту.",Джо укусил камень и выбил себе зуб.,Джо хотел пережевать еще камней.,Джо решил больше не есть грязь.,2
59,Роб никогда не был на американских горках.,"Друзья Роба предложили ему бесплатный билет на ""Шесть флагов"".","Роб решил, что может присоединиться.",Они все вышли и стояли в длинной очереди.,У Роба были щедрые друзья.,Друзья Роба были небрежны.,1
60,"Карли ждала, когда Сэм ей позвонит.",Он обещал в пятницу.,"Было поздно вечером в субботу, и она ничего не слышала.",Наконец она решила ему позвонить.,Сэм ответил на звонок.,Карли заказала еду с собой по телефону.,1
61,Эми вернулась из школы в свой день рождения в пустой дом.,"Она расстроилась, что все забыли о ее особом дне.",Она с грустью вошла в гостиную.,Внезапно друзья и родственники выскочили из укрытий.,Эми улыбнулась от восторга.,Эми вышла из комнаты и покинула дом.,1
62,Пан пытался ударить меня без видимой причины.,"Я был так зол, что просто защищал ее удар.",Она продолжала бросать в меня кулаком.,"Чтобы остановить ее, я бросил ее на землю.",Пан наконец остановился.,Я обняла Пэна.,1
63,У Бекки есть кузина по имени Эшли.,"Бекки и Эшли были друзьями, когда были детьми.","Эшли стала глупой, когда выросла.",Она попала в тюрьму за кражу тампонов из магазина.,Бекки потеряла с ней связь.,Бекки гордится Эшли.,1
64,Ребёнок Пэм и Тома легко спал.,Их бездумный сосед часто оставлял собаку на улице весь день лаять.,"Каждый раз, когда Пэм усыпляла своего ребенка, собака начинала лаять.","Пэм мечтала о том, чтобы отпустить собаку, чтобы она убежала.",Однажды ночью Пэм впустила кошек в свой дом.,Однажды вечером Пэм решила отпустить собак.,2
65,Мэй поступила в колледж в Фредонии.,Она поехала в новую школу на автобусе.,Она осмотрела кампус.,"Ей нравилось все, что она видела.",Она бросила школу.,Ей даже нравились все ее профессора.,2
66,Мэри нужно было вытащить зубы.,"Она хотела, чтобы стоматолог усыпил ее.","Все, что он мог сделать, это обезболить область новокаином.",Мэри смотрела на него в ужасе.,"Увидев ее выражение лица, дантист смог помочь Мэри.",Мэри ушла от стоматолога в отличном настроении.,1
67,Форд гордился своим высоким средним баллом.,"Он работал каждый вечер над заданиями, чтобы улучшить его.","Друзья Форда предупредили его, что он упускает удовольствие.",Позже в жизни Форд стал успешным адвокатом.,"Форд был грустным, что он достиг стольких успехов.",Форд гордился своими достижениями.,2
68,"Моя жена говорит, что мне не хватает страсти.",Что у меня нет много хобби или интересов.,"Я пытался спорить, но не смог.","Я понял, что она была права.",Я решил измениться.,Я неженатый.,1
69,Нина хотела красивый костюм на Хэллоуин.,Но она не могла позволить себе ничего роскошного.,Она искала идеи в своем доме.,Потом она нашла отличный костюм бесплатно.,Нина купила игрушку.,Нина была взволнована.,2
70,Вероника любила пешие прогулки в лесу.,Однажды она была на тропе и нашла домик на дереве.,"Она поднялась по лестнице и была поражена всем, что было в доме.",Она была полностью обставлена мебелью и одеялами.,Вероника не очень любила дом на дереве.,Вероника решает чаще посещать домик на дереве.,2
71,Это был прекрасный весенний день в начале марта.,Трейси решила прогуляться в лесу за своим домом.,Она услышала дробь и начала искать ее на деревьях.,Она споткнулась о корень и упала на тропу.,Трейси побежала домой.,Трейси не заметила падения.,2
72,Боб очень хотел пить и хотел соду.,"К сожалению, у него не было денег.","Боб зашел на заправку и спросил, можно ли ему соду.","Кассир спросил его, есть ли у него деньги.",Он сказал нет и ушел с заправки.,Он решил пойти пробежать.,1
73,Джим ждал меня в аэропорту.,Его жена будет там через час.,Ему было очень скучно.,Затем он решил заняться своей книгой.,Джим увидел свою жену через час.,"Джим уехал, прежде чем его жена появилась.",1
74,Джо очень хотел поступить в Колумбийский университет.,"Он очень усердно учился в школе, был в футбольной команде.",Его внесли в список ожидания.,"Хотя он был разочарован, он старался изо всех сил до самого конца.",Джо все еще гордился своей тяжелой работой.,"Джо решил, что не хочет поступать в колледж.",1
75,"У подруги Джины, Тами, была папка, которую она не хотела, чтобы кто-то другой имел.","Джина хотела, но не знала, где купить.","Теперь у Тами появилась новая Лиза Фрэнк, хранительница ловушек.","Джина ревновала, потому что она тоже хотела.","Джина проверила на eBay и нашла один, который она могла себе позволить.",Джина косила весь двор и не получила ни от кого помощи.,1
76,У Лии в доме была красивая рождественская елка.,Однажды она ушла в магазин.,"Когда она вернулась, дерево было опрокинуто.",Ее кошка забралась на него и вытащила его!,"Лия решила, что ей больше нравится дерево на полу, чем стояние.",Лия наказала своего кота.,2
77,Питер использовал один и тот же стул в течение многих лет.,Она стала изнашиваться.,"Он решил купить новое, более удобное кресло.","Когда он прибыл, Питер был очень рад.","Питер подумал, что он может быть даже удобнее, чем старый.",Питер позволил своей собаке использовать стул для себя.,1
78,Рекс готовится к вечеринке сегодня вечером.,"Он понимает, что не приготовил ничего для гостей, чтобы поесть с сыром.",Рекс выбежал за багеттом.,"Он разрезает его на тонкие, равномерные кусочки, чтобы его было легко съесть.",Рекс отправился в долгое путешествие через океан.,Все насладились сыром и хлебом.,2
79,Али каждый день ездит на работу на поезде.,"Однажды она сильно заболела, но все же пошла на работу.",Она усердно работала весь день и даже брала работу домой.,Она села в поезд и заснула.,Она была ленивой сотрудницей.,Она пропустила остановку и ехала домой на автобусе.,2
80,Футбольная команда усердно работала весь сезон.,Они выиграли все игры и вышли в финал.,"Оставалось всего несколько секунд, и игра была ничьей.","Квартербек продал длинный пас, и ресивер забил.",Толпа громко выкрикивала команду.,Все собравшиеся встали со своих мест и взволнованно аплодировали.,2
81,Мы живём в многоэтажном здании.,"Однажды ветер был сильным, отчасти из-за высоты здания.","Ветер так сильно дует по ветвям деревьев, что моя жена не может спать.",Ветер также сбил интернет-кабель.,Мы с женой были очень недовольны потерей интернет-соединения.,Мы любили сильный ветер и отсутствие сна.,1
82,Кейт хотела купить новую клавиатуру для своего компьютера.,"Она месяцами копила, чтобы купить хорошую клавиатуру.",Кейт наконец-то зашла в интернет и заказала клавиатуру!,Она с нетерпением ждала его прибытия несколько дней.,Потом она отменила свой заказ.,Потом ее клавиатура пришла по почте.,2
83,Джон закончил колледж и начал искать работу.,Он каждый день подавал заявления на работу в своей области.,Через три недели после начала его работы ему позвонили.,"Тот, кто звонил, спросил, не будет ли он заинтересован в интервью.",Джон согласился.,Джон отклонил предложение.,1
84,"Джули любила читать все, что попадалось ей в руки.",Большую часть времени она проводила в библиотеке.,Ее любимая библиотека была у миссис Уотсон.,Мисс Уотсон увидела любовь Джули к книгам и предложила ей работу.,Джули с радостью согласилась!,Джули ударила своего друга в глаз.,1
85,"Семья Эми собиралась в ""Шесть флагов"".","Она терпеливо сидела в машине и ждала, когда приедет.","Когда они прибыли, она села на колени и осмотрела парк.","Она часа стояла в очереди, чтобы покататься на самом большом американском горке.",Эми была очень рада быть в парке.,Эми считала парк скучным.,1
86,Стив спешил на футбольный матч.,На шоссе Стив очень быстро ехал на машине.,Патруль шоссе остановил машину Стива.,Полицейский выписал Стивену штраф за превышение скорости.,Стив был доволен.,Стив был расстроен.,2
87,Моя дочь пошла на свой первый день рождения для подруги.,"Она была так взволнована, когда мы шли на вечеринку.",Она не говорила ни о чем другом в течение недели.,Она пошла на вечеринку и отлично повеселилась.,Она решила больше никогда не ходить на вечеринки.,"Когда она пришла домой, она сразу же заснула, измученная.",2
88,Бобу нужны были деньги на еду.,"Ему было грустно, что он не мог есть, потому что у него не было денег.",Он решил написать книгу о своей тяжелой жизни.,Люди сразу же похвалили книгу и купили тысячи экземпляров!,"Прибыль от продажи книг давала Бобу достаточно денег, чтобы есть.","Реакция общественности на книгу означает, что Боб все еще голоден.",1
89,Я только что пробежал свой первый марафон.,"Это было около шести миль, и я очень много работал.",Я готовилась к этому три месяца.,Это всегда было в моем списке дел в жизни,Я никогда не была счастливее.,Я очень разочарован в себе.,1
90,Бобби сложил свою фруктовую рулетку в форму самолета.,"Он закружил руку и бросил самолет так сильно, как только мог.",Но он был слишком тяжелым и упал как кирпич.,"Бобби решил, что самолеты должны быть сделаны из бумаги.",Бобби было пять лет.,Бобби было тридцать пять лет.,1
91,Однажды ночью Сэм смотрел на звезды.,Внезапно он сел болт прямо.,"Он увидел мерцающую, движущуюся звезду!","Он побежал, чтобы показать его отцу.","Его отец смеялся, потому что звезда была на самом деле самолетом с огнями.","Отец Сэма был рад, что его сын интересуется геологией.",1
