"  
Yes";
  तपाईंलाई थाहा छ, हो, म हिजो पुस्तकालयमा गएँ र मैले पी.जे. ओ'रुर्कको नयाँ पुस्तक भेट्टाएँ;"द पार्लियामेन्ट अफ हरोर' । 
परिकल्पना:  म कहिल्यै पुस्तकालयमा जान्दिनँ। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
Yes"
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
  उनले भने;"केही समयपछि स्पष्टीकरण दिइएको छ । 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
नहीं"
"  
हाँ";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
