"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नाही";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
नाही";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
Yes";
"  
नहीं";
"  
नाही";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
नाही";
"  
न";
"  
नाही";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
न";
"  
नाही";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
नाही";
"  
नाही";
"  
न";
"  
नाही";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
नाही";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
न";
"  
नाही";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
नाही";
"  
न";
"  
न";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नाही";
"  
नाही";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
नाही";
"  
न";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नाही";
"  
नाही";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
नाही";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
नाही";
"  
नाही";
"  
नाही";
"  
नाही";
"  
न";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
Yes";
"  
न";
"  
नाही";
"  
नाही";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
नाही";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नाही";
"  
नहीं";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नाही";
"  
Yes";
"  
न";
"  
नाही";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
नाही";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
Yes";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
Yes";
"  
न";
"  
न";
"  
नाही";
"  
नाही";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
न";
"  
न";
"  
Yes";
"  
न";
"  
नाही";
"  
नाही";
"  
नाही";
"  
नाही";
"  
न";
"  
न";
"  
नहीं";
"  
नाही";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नाही";
"  
न";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
Yes";
"  
न";
"  
न";
"  
Yes";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
न";
"  
Yes";
"  
न";
"  
नाही";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
नाही";
"  
न";
"  
न";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
न";
"  
Yes";
"  
न";
"  
Yes";
"  
न";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
न";
"  
नहीं";
"  
नाही";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
न";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
नाही";
"  
नाही";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
नाही";
"  
नहीं";
"  
न";
"  
Yes";
"  
Yes";
"  
नाही";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
नाही";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
नाही";
"  
नाही";
"  
न";
"  
नाही";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नाही";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
नाही";
"  
नाही";
"  
न";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नाही";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
Yes";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
न";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नाही";
"  
नाही";
"  
न";
"  
न";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
न";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
Yes";
"  
न";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
न";
"  
Yes";
"  
नहीं";
"  
नाही";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
न";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
न";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
न";
"  
न";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
न";
"  
Yes";
"  
न";
"  
न";
"  
न";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
Yes";
"  
नहीं";
"  
न";
"  
न";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
न";
"  
नहीं";
"  
नाही";
"  
नाही";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
नहीं";
"  
न";
"  
नाही";
"  
न";
"  
न";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
न";
"  
Yes";
"  
न";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
न";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
न";
"  
न";
"  
न";
"  
नाही";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
न";
"  
न";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
न";
"  
Yes";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
न";
"  
नहीं";
"  
न";
"  
न";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
न";
"  
Yes";
"  
न";
"  
Yes";
"  
न";
"  
न";
"  
न";
"  
न";
"  
न";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
