" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neet";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Nein";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ne";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
nee";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ne";;
" 
Nein";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Nein";;
" 
Ja";;
" 
Ne";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
ja";;
" 
nee";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  En daar is, dink ek;"n molekulêre leidraad dat die biosfeer homself volhardend saam bou in die oorlewende regime vir 'n reeks voortplanting van geslagte. 
Hipotese:  Die biosfeer verander baie. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  En daar is, dink ek;"n molekulêre leidraad dat die biosfeer homself volhardend saam bou in die oorlewende regime vir 'n reeks voortplanting van geslagte. 
Hipotese:  Die biosfeer verander nooit nie. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Yes";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Dit is langs 'n studente-slaapkamer wat bekend staan as die Quad;"n skilderagtige Jakobynse herlewingskompleks wat rondom 'n reeks binneplase beplan is. 
Hipotese:  Die Quad is 'n kapperswinkel. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  Dit is langs 'n studente-slaapkamer wat bekend staan as die Quad;"n skilderagtige Jakobynse herlewingskompleks wat rondom 'n reeks binneplase beplan is. 
Hipotese:  Die Quad is 'n studente-slaaphuis. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
  Die belangrikste gevolgtrekking wat uit ons simulasie getrek kan word, is dat outonome agente wat een of meer outokatalistiese en werk siklusse koppel;"n heeltemal redelike, indien nuwe, vorm van nie-balans, oop chemiese reaksie netwerk is. 
Hipotese:  Ons kan 'n gevolgtrekking maak uit ons simulasie. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  Die belangrikste gevolgtrekking wat uit ons simulasie getrek kan word, is dat outonome agente wat een of meer outokatalistiese en werk siklusse koppel;"n heeltemal redelike, indien nuwe, vorm van nie-balans, oop chemiese reaksie netwerk is. 
Hipotese:  Ons kan geen gevolgtrekkings maak nie. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  In sommige variante oortree 'n jong meisie spesifiek godsdienstige oortuigings deur daarop te staan om op Goeie Vrydag na 'n dans te gaan;"n godsdienstige heilige dag en 'n eerbiedige dag van gebed in Chicano Katolieke huishoudings. 
Hipotese:  'n Meisie wou op Goeie Vrydag dans. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  In sommige variante oortree 'n jong meisie spesifiek godsdienstige oortuigings deur daarop te staan om op Goeie Vrydag na 'n dans te gaan;"n godsdienstige heilige dag en 'n eerbiedige dag van gebed in Chicano Katolieke huishoudings. 
Hipotese:  Die meisie het geweet dat sy niks anders kon doen as om kerk toe te gaan nie. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Dit was nie 'n bikultuur of binasionale posisie nie, maar eerder 'n posisie tussen kulture;"n hangende posisie in die ruimte. 
Hipotese:  Dit is algemeen bekend dat daar net een kultuur was. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  Dit was nie 'n bikultuur of binasionale posisie nie, maar eerder 'n posisie tussen kulture;"n hangende posisie in die ruimte. 
Hipotese:  Daar was twee of meer kulture betrokke, met verskillende posisies. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Hy het uiteindelik 'n klooster;"n galery en 'n toring bygevoeg. 
Hipotese:  Hy het drie dinge bygevoeg. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  Hy het uiteindelik 'n klooster;"n galery en 'n toring bygevoeg. 
Hipotese:  Hy het nooit iets bygevoeg nie. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Sy het toe Mexican Village geskryf;"n roman wat baie van die Mexikaanse volksgewoontes en tradisies ingesluit het. 
Hipotese:  Sy het nie veel van Meksikane geweet nie. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  Sy het toe Mexican Village geskryf;"n roman wat baie van die Mexikaanse volksgewoontes en tradisies ingesluit het. 
Hipotese:  Sy het Mexikaanse dorpie geskryf. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Die pachuco-taal;"n kombinasie van Engels en Spaans, wat ook cale genoem word, was 'n fassinerende samesmelting wat uit baie taalkundige bronne getrek is. 
Hipotese:  Die boustene van die pachuco-taal is Engels en Spaans. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  Die pachuco-taal;"n kombinasie van Engels en Spaans, wat ook cale genoem word, was 'n fassinerende samesmelting wat uit baie taalkundige bronne getrek is. 
Hipotese:  Die pachuco-taal is 'n samesmelting van Duits en Spaans. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Aan die hoof van die metgesel, Ogle gevind sy vordering geblokkeer deur bloed, wat hom gekonfronteer;"n skielike strengheid in sy gesig en in elke lyn van hom. 
Hipotese:  Ogle het geen teenstand ondervind terwyl hy vordering gemaak het nie. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  Aan die hoof van die metgesel, Ogle gevind sy vordering geblokkeer deur bloed, wat hom gekonfronteer;"n skielike strengheid in sy gesig en in elke lyn van hom. 
Hipotese:  Ogle se vooruitgang is deur bloed geblokkeer, wat hom streng aangekyk het terwyl hy hom met argumentatiewe bedoeling ontmoet het. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Wolverstone se stem het die ander se selfversekerde opgewondenheid traag en bespotend beantwoord, en terwyl hy gepraat het, het hy na Bloed se kant toe gevorder;"n onverwagte bondgenoot. 
Hipotese:  Wolverstone het sy mening uitgespreek in 'n toon wat stadig was as hy op pad na Bloed. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  Wolverstone se stem het die ander se selfversekerde opgewondenheid traag en bespotend beantwoord, en terwyl hy gepraat het, het hy na Bloed se kant toe gevorder;"n onverwagte bondgenoot. 
Hipotese:  Wolverstone het stil gebly terwyl hy van Blood weggeloop het. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Hy waargeneem haar bleek en gespanne, met gesplete lippe en geskrik oë wat gefokus op hom;"n angstige getuie van hierdie besluit van haar lot. 
Hipotese:  Sy het geweier om selfs na hom te kyk. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  Hy waargeneem haar bleek en gespanne, met gesplete lippe en geskrik oë wat gefokus op hom;"n angstige getuie van hierdie besluit van haar lot. 
Hipotese:  Sy het na hom gekyk. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
